UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,BGRP,RGRP,GRP,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
94LA00001,94,00000,00,00,,00000,00,0.0,00,2,2,,,0513,133,8,0,2,12.5,5,1,Z3195,81,00,00,,0,,T194944,-,,?ORPHAN T9105,,,,J,0,3,0,0,0,1,1,0.5,98,0,48,181,2,1994-05-13,0.0
94LA00002,94,00000,00,00,,00000,00,0.0,00,1,0,,,0329,88,8,0,2,9.0,1,1,Z2867,81,00,00,,0,,S298910,-,,?LAMB,,,,Y,0,3,0,0,0,1,1,0.5,74,0,0,0,H,1994-03-29,0.0
94LA00003,94,00000,00,00,,00000,00,0.0,00,1,0,,,0402,92,8,0,2,8.4,1,1,Z2894,81,00,00,,0,,S081810,-,,?LAMB,,,,J,0,3,0,0,0,1,1,0.5,73,0,60,181,2,1994-04-02,0.0
94LA00004,94,A0004,04,00,R.4,L8624,03,1.0,30,y,1,B,,,0,,,,0.0,,,,,00,30,,0,,,,,,,,BLK,,1,3,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00005,94,A0006,04,81,R.5,L8788,03,1.0,30,y,0,,M,,0,,,,0.0,,,,,88,30,,0,,,,,,,,,,1,,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00006,94,A0013,04,82,R.3,L9273,03,1.0,30,y,0,,C,0416,106,5,4,2,10.6,1,1,A0955,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,86,1,58,180,1,1994-04-16,0.053
94LA00007,94,A0021,04,81,R.4,L8624,03,1.0,30,y,0,,M,0424,114,8,2,1,8.9,1,1,A1446,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,75,1,42,181,2,1994-04-24,0.061
94LA00008,94,A0021,04,81,R.4,L8624,03,1.0,30,y,0,,M,0424,114,8,2,2,7.8,1,1,A1447,04,88,30,,0,,,,,HAIRY,,,,J,2,,0,0,0,1,1,1.0,65,1,37,181,2,1994-04-24,0.061
94LA00009,94,A0036,04,82,R.5,L8788,03,1.0,30,y,0,,C,0414,104,8,2,3,6.1,1,2,A0842,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,50,1,34,181,2,1994-04-14,0.053
94LA00010,94,A0036,04,82,R.5,L8788,03,1.0,30,y,0,,C,0414,104,8,2,2,9.6,1,2,A0843,04,88,30,,0,,,,,FUZZY,,,,J,2,,0,0,0,1,1,1.0,59,1,43,181,2,1994-04-14,0.053
94LA04289,94,T1993,44,48,-2,S1048,10,3.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04290,94,T2001,44,48,-0,S1497,10,3.0,02,2,2,A,c,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04291,94,T2383,44,48,-0,S1048,10,3.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04292,94,T2434,44,48,-2,S1048,10,3.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04293,94,T9105,43,48,-2,S1048,10,7.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04294,94,T9463,43,48,-0,S1878,10,6.0,02,2,2,A,c,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04295,94,T9565,43,48,-2,S1048,10,6.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04296,94,T9672,43,48,-0,L6868,03,6.0,02,2,2,A,h,,0,,,,0.0,,,,,ch,32,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.001
94LA04297,94,T9982,43,48,-0,S1878,10,6.0,02,2,2,A,c,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA04298,94,T9996,43,48,-2,S1878,10,6.0,02,2,2,A,c,,0,,,,0.0,,,,,ch,01,,0,,,,range as dry,,,,,,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
