UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
95LA00001,95,00000,00,00,,00000,00,2.0,00,,,y,X,0510,130,9,0,3,8.0,1,1,Z3502,81,00,00,3,135,93,,,,GOK LISA BUM,,,.,J,0,3,0,0,0,0,0,0.0,0,0,0,0,,1995-05-10,0.0
95LA00002,95,00000,00,,,00000,00,0.0,00,,,,,0421,111,,,,0.0,,,A2473,04,00,00,5,111,95,,,,TAG DESTROYED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1995-04-21,0.0
95LA00003,95,A0004,04,00,971,09217,00,2.0,30,1,1,y,,0405,95,5,2,2,11.2,5,1,Z3273,81,00,80,,0,,,,BLACK,,,,BLK,J,1,3,1,1,1,1,1,1.0,97,1,74,181,2,1995-04-05,0.0
95LA00004,95,A0013,04,82, 20,A0118,04,2.0,30,2,0,y,C,0402,92,2,3,,0.0,,,,,82,30,0,0,,K794563,+,,,,,,J,1,,1,1,2,0,0,0.5,0,,0,0,,1995-04-02,0.0
95LA00005,95,A0013,04,82, 20,A0118,04,2.0,30,2,0,y,C,0402,92,2,3,,0.0,,,,,82,30,0,0,,,,,,,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1995-04-02,0.0
95LA00006,95,A0037,04,82, 21,L9859,03,2.0,30,2,0,n,C,0421,111,8,2,2,6.4,1,2,A2495,04,82,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,51,1,31,181,2,1995-04-21,0.063
95LA00007,95,A0037,04,82, 21,L9859,03,2.0,30,2,0,n,C,0421,111,8,2,1,6.5,1,1,A2496,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,63,1,34,181,2,1995-04-21,0.063
95LA00008,95,A0039,04,81, 01,00000,97,2.0,30,2,0,y,X,0429,119,8,3,2,9.4,5,3,Z3365,81,00,80,,0,,,,,,,,,J,1,2,1,1,2,1,1,1.0,76,1,41,181,2,1995-04-29,0.0
95LA00009,95,A0039,04,81, 01,00000,97,2.0,30,2,0,y,X,0429,119,8,3,2,9.3,5,1,Z3366,81,00,80,,0,,,,,,,,,J,2,2,0,0,0,1,1,1.0,76,1,41,181,2,1995-04-29,0.0
95LA00010,95,A0050,04,82, 22,L9786,03,2.0,30,2,0,n,C,0412,102,8,3,2,7.3,1,1,A2038,04,82,30,,0,,,,DYSTOCIA95,,,,,J,1,,1,1,2,1,1,1.0,75,1,52,181,2,1995-04-12,0.061
95LA04158,95,T4100,44,48,  0,L6868,03,2.0,02,2,2,n,h,,0,,,,0.0,,,,81,ch,32,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04159,95,T4104,44,48,  2,S1048,10,2.0,02,2,2,n,h,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04160,95,T4118,44,41,  0,S1497,10,2.0,02,2,2,n,c,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,N,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04161,95,T9053,43,41,  2,S1878,10,8.0,02,2,2,n,c,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04162,95,T9105,43,48,  0,S1048,10,8.0,02,2,2,n,h,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04163,95,T9308,43,48,  0,S1497,10,8.0,02,2,2,n,c,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04164,95,T9331,43,41,  2,S1497,10,8.0,02,2,2,n,c,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04165,95,T9567,43,41,  0,L6868,03,7.0,02,2,2,n,h,,0,,,,0.0,,,,81,ch,32,,0,,,,spec 1 card,,,,JIM,J,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04166,95,S9752,19,11, 32,S2359,10,6.0,07,1,0,y,R,,0,,,,0.0,,,,81,11,07,,0,,,,spec 1 card,,,,,N,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
95LA04167,95,T9480,43,48,  2,S1878,10,7.0,02,2,2,n,c,,0,,,,0.0,,,,81,ch,01,,0,,,,spec 1 card,,,,JIM,B,1,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
