UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
01LA00001,01,K1407,64,68,e.5,K9603,63,1.0,1,06,05,NN,CC,4,7,y,H,0321,80,5,0,2,9.1,1,1,K1537,64,00,05,,0,,K0170,-,,,,,.,J,1,,,1,1,1,1,1,0.5,67,1,63,179,1,2001-03-21,0.01
01LA00002,01,K9475,63,68,08,K0714,64,4.0,4,06,06,,,1,7,y,G,0320,79,8,4,3,8.1,1,1,K1536,64,68,06,,0,,,,,HAIRY,,,.,J,2,,,0,0,0,1,1,1.0,63,1,58,179,1,2001-03-20,0.065
01LA00003,01,K9475,63,68,08,K0714,64,4.0,4,06,06,,,1,7,y,G,0320,79,8,4,2,9.3,1,1,K1535,64,68,06,,0,,,,LTS,HAIRY,,,.,J,1,,,1,1,2,1,1,1.0,72,1,66,179,1,2001-03-20,0.065
01LA00004,01,K9559,63,68,08,K0714,64,4.0,4,06,06,,,1,7,n,G,0320,79,8,3,2,10.0,1,1,K1533,64,68,06,,0,,,,,,,,.,J,1,,,1,1,2,1,1,1.0,57,1,63,179,1,2001-03-20,0.04
01LA00005,01,K9559,63,68,08,K0714,64,4.0,4,06,06,,,1,7,n,G,0320,79,8,3,2,8.9,1,1,K1534,64,68,06,,0,,,,,ENTR,,,.,J,2,,,0,0,0,1,1,1.0,83,1,71,179,1,2001-03-20,0.04
01LA00006,01,S8699,10,18,52,K0299,64,4.0,4,07,05,NN,CN,1,0,y,H,0320,79,9,2,3,8.6,1,1,Z6985,81,00,05,,0,,S9278,-,,,,,.,J,3,,,0,0,0,1,1,0.5,68,1,47,179,1,2001-03-20,0.0
01LA00007,01,S8699,10,18,52,K0299,64,4.0,4,07,05,NN,CN,1,0,y,H,0320,79,9,2,3,7.5,1,1,Z6984,81,00,05,6,83,19,,,,WEAK,,,.,J,1,,,1,1,3,1,0,0.0,0,0,0,0,,2001-03-20,0.0
01LA00008,01,S8699,10,18,52,K0299,64,4.0,4,07,05,NN,CN,1,0,y,H,0320,79,9,2,2,7.5,1,1,,,00,05,6,79,67,,,,WEAK,,,.,J,2,,,0,0,0,1,0,0.0,0,0,0,0,,2001-03-20,0.0
01LA00009,01,S9230,10,12,80,R0118,11,3.0,3,43,07,,,1,0,y,C,0322,81,7,1,3,8.2,1,1,,,12,07,6,81,84,,,,,,,.,J,1,,,1,1,2,1,0,0.0,0,0,0,0,,2001-03-22,0.032
01LA00010,01,S9230,10,12,80,R0118,11,3.0,3,43,07,,,1,0,y,C,0322,81,7,1,2,8.2,1,1,,,12,07,1,81,84,,,,,,,.,J,2,,,0,0,0,0,0,0.0,0,0,0,0,,2001-03-22,0.032
01LA05782,01,T6855,44,42,842,T7480,44,3.0,3,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.074
01LA05783,01,T7214,44,ID,43T,T5505,44,2.0,2,02,02,,,1,I,n,I,,,,,,0.0,,,,,ID,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.067
01LA05784,01,T7280,44,42,842,T7480,44,2.0,2,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.065
01LA05785,01,T7415,44,42,852,T7675,44,2.0,2,02,02,,,2,2,y,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.073
01LA05786,01,T7530,44,42,802,T7407,44,2.0,2,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.067
01LA05787,01,T7560,44,42,842,T7480,44,2.0,2,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.069
01LA05788,01,T7587,44,42,852,T7675,44,2.0,2,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.074
01LA05789,01,Z4355,81,00,30,A6994,04,4.0,4,80,30,,,2,0,y,B,,,,,,0.0,,,,,00,80,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.0
01LA05790,01,Z4361,81,00,03,A6934,04,4.0,4,80,30,,,2,0,y,B,,,,,,0.0,,,,,00,80,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.0
01LA05791,01,Z4512,81,00,28,A6198,04,4.0,4,81,30,,,2,0,y,B,,,,,,0.0,,,,,00,80,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,0,0,0,,,0.0
