UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
09LA00001,09,A8662,04,82,AI,X0000,82,8.0,,30,00,1,0,y,X,030909,68,8,0,3,7.5,1,2,X7198,82,,00,6,70,93,,8,DIED,4TEATS,1,1,..,AI,J,1,,1,1,2,1,0,0.0,0,2009-03-09,0.0,,,,,
09LA00002,09,A8662,04,82,AI,X0000,82,8.0,,30,00,1,0,y,X,030909,68,8,0,3,7.4,5,1,X7199,82,,00,6,70,93,,8,.,BORN AT MLAKE,1,1,..,AI,J,2,,0,0,0,1,0,0.0,0,2009-03-09,0.0,,,,,
09LA00003,09,H3954,05,88,e22,H3126,05,1.0,,30,30,4,0,y,.,030609,65,2,0,2,0.0,1,1,,,,30,0,65,27,,,.,.,.,.,..,.,J,1,,1,1,2,0,0,0.0,0,2009-03-06,0.068,,,,,
09LA00004,09,H3954,05,88,e22,H3126,05,1.0,,30,30,4,0,y,.,030609,65,2,0,2,0.0,1,1,,,,30,0,65,27,,,.,.,.,.,..,.,J,2,,0,0,0,0,0,0.0,0,2009-03-06,0.068,,,,,
09LA00005,09,R6517,11,18,57,R6538,11,3.0,,07,07,2,0,N,.,030909,68,2,0,2,0.0,1,1,,,,07,0,68,27,,,.,.,.,.,..,PTH,J,1,,1,1,2,0,0,0.0,0,2009-03-09,0.037,,,,,
09LA00006,09,R6517,11,18,57,R6538,11,3.0,,07,07,2,0,N,.,030909,68,2,0,1,0.0,1,1,,,,07,0,68,27,,,.,.,.,.,..,PTH,J,2,,0,0,0,0,0,0.0,0,2009-03-09,0.037,,,,,
09LA00007,09,H3111,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,030509,64,2,0,2,0.0,1,1,,,,30,0,64,27,,,.,.,.,.,..,BLD,J,1,,1,1,2,0,0,0.0,0,2009-03-05,0.053,,,,,
09LA00008,09,H3111,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,030509,64,2,0,1,0.0,1,1,,,,30,0,64,27,,,.,.,.,.,..,BLD,J,2,,0,0,0,0,0,0.0,0,2009-03-05,0.053,,,,,
09LA00009,09,Z9747,81,00,br1,X0000,82,6.0,,33,00,1,0,y,X,011809,18,5,4,2,16.0,2,1,X7197,82,,00,,,,,,MARC3 LOOKING,HAIRY,.,.,..,BR1,J,1,,1,1,1,1,1,1.0,82,2009-01-18,0.0,59,113,1,108,182
09LA00010,09,K4143,64,6M,17,00625,00,2.0,,06,97,1,0,N,M,031109,70,9,0,1,6.2,5,1,,,,SC,1,70,44,,,DOWN,DEAD,7,5,..,Mat,J,1,,1,1,3,0,0,0.0,0,2009-03-11,0.0,,,,,
09LA03817,09,R6366,11,18,37,X0000,82,3.0,,07,00,2,0,N,.,050409,124,8,3,2,14.8,5,1,X8412,82,,00,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,66,2009-05-04,0.0,19,140,H,39,181
09LA03818,09,R6366,11,18,37,X0000,82,3.0,,07,00,2,0,N,.,050409,124,8,3,2,12.0,5,1,X8413,82,,00,,,,,,.,E2E,.,.,..,.,J,2,,0,0,0,1,1,1.0,67,2009-05-04,0.0,18,140,H,40,181
09LA03819,09,T2274,45,42,T1,T1486,45,1.0,,02,02,2,0,y,.,050409,124,5,1,2,9.8,1,1,T2844,45,,02,,,,,,LOW MILK,.,.,.,..,.,J,1,,1,1,1,1,1,1.0,77,2009-05-04,0.061,16,140,H,36,181
09LA03820,09,R7368,11,18,e16,R6942,11,1.0,,07,07,4,0,y,.,050409,124,5,1,3,9.8,1,1,R8053,11,,07,,,,,,.,.,.,.,..,.,J,1,,1,1,1,1,1,1.0,75,2009-05-04,0.062,16,140,H,48,181
09LA03821,09,R4248,11,18,59,X0000,82,5.0,,07,00,2,0,N,.,050509,125,5,1,2,15.0,5,1,X8414,82,,00,,,,,,R.T.BLANK,8622,.,.,..,.,J,1,,1,1,1,1,1,1.0,78,2009-05-05,0.0,17,140,H,46,181
