UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
14LA00001,14,Z1604,83,,e2,Z1226,83,1.0,1,CM,CM,4,0,N,,021914,50,0,0,.,.,.,0.0,.,.,.,,,,0,50,27,,,LAMBNOTFOUND,IMM,1,1,..,OR,M,1,,1,1,1,0,0,0.0,0,2014-02-19,0.05,,,,,
14LA00002,14,Z1585,83,,e10,Z1449,00,1.0,1,97,97,4,0,N,,022414,55,0,0,.,.,.,0.0,.,.,.,,,,0,55,27,,,LAMBNOTFOUND,IMM,1,1,..,GRN,M,1,,1,1,1,0,0,0.0,0,2014-02-24,0.0,,,,,
14LA00003,14,Z1611,83,,25,X9851,82,1.0,1,S3,C3,4,0,N,,030614,65,0,0,1,.,.,4.9,5,1,.,,,,0,65,27,,,.,IMM,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2014-03-06,0.01,,,,,
14LA00004,14,L0993,70,,e7,L0289,70,1.0,1,PC,PC,4,,N,,030614,65,0,0,.,.,.,0.0,.,.,.,,,,0,65,27,,,RP,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2014-03-06,0.003,,,,,
14LA00005,14,Z1482,83,,e10,Z1449,00,1.0,1,97,97,4,,N,,030714,66,0,0,2,.,.,5.3,6,1,.,,,,0,66,27,,,.,IMM,1,1,..,GRN,J,1,,1,1,1,0,0,0.0,0,2014-03-07,0.0,,,,,
14LA00006,14,Z1807,83,,26,X9661,82,1.0,1,C3,S3,4,0,N,,030814,67,2,0,1,.,.,4.0,5,1,.,,,,0,67,27,,,.,IMM,1,1,..,OR,J,1,,1,1,2,0,0,0.0,0,2014-03-08,0.0,,,,,
14LA00007,14,Z1807,83,,26,X9661,82,1.0,1,C3,S3,4,0,N,,030814,67,2,0,2,.,.,4.4,5,1,.,,,,0,67,27,,,.,IMM,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2014-03-08,0.0,,,,,
14LA00008,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,2,.,.,6.9,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,1,,1,1,3,0,0,0.0,0,2014-03-09,0.0,,,,,
14LA00009,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,2,.,.,6.3,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,2,,0,0,0,0,0,0.0,0,2014-03-09,0.0,,,,,
14LA00010,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,1,.,.,6.2,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,3,,0,0,0,0,0,0.0,0,2014-03-09,0.0,,,,,
14LA02520,14,R9911,11,,e12,Z0000,83,1.0,1,07,97,4,0,Y,,042314,113,5,3,3,0,3,11.8,5,1,Z2671,83,,00,,,,,,.,SMBALLSHyperthm,1,1,..,.,J,1,,1,1,1,1,1,1.0,96,2014-04-23,0.0,29,136,2,,
14LA02521,14,T4909,45,,e6,T4336,45,1.0,1,02,02,4,7,N,,042314,113,5,3,1,0,2,12.9,1,1,T5821,45,,02,,,,,,.,.,1,1,..,CTL,J,1,,1,1,1,1,1,1.0,72,2014-04-23,0.07,21,136,2,,
14LA02522,14,K4931,64,,e11,K4858,64,1.0,1,06,06,4,0,N,,042314,113,5,3,2,0,2,13.5,1,1,K5089,64,,06,6,194,01,,,.,.,1,1,..,.,J,1,,1,1,1,1,0,,,2014-04-23,0.035,28,136,2,,
14LA02523,14,T5176,45,,e6,T4336,45,1.0,1,02,02,4,7,N,,042414,114,5,3,2,0,2,12.4,1,1,T5822,45,,02,,,,,,.,.,1,1,..,CTL,J,1,,1,1,1,1,1,1.0,88,2014-04-24,0.059,25,136,2,,
14LA02524,14,T4006,45,,38,X0000,82,3.0,3,02,97,2,7,N,.,042414,114,5,3,3,0,3,18.0,5,1,Z2672,83,,00,,,,,,.,CU,1,1,..,SEL,J,1,,1,1,1,1,1,1.0,110,2014-04-24,0.029,37,136,2,,
14LA02525,14,T4451,45,,32,X0000,82,2.0,2,02,97,2,0,N,,042614,116,8,3,3,0,2,11.8,5,1,Z2673,83,,00,6,117,48,,,.,AbomasitisEuth,1,1,..,CTL,J,1,,1,1,2,1,0,0.0,0,2014-04-26,0.048,,,,,
14LA02526,14,T4451,45,,32,X0000,82,2.0,2,02,97,2,0,N,,042614,116,8,3,3,0,2,12.1,2,1,Z2674,83,,00,,,,,,.,CU,1,1,..,CTL,J,2,,0,0,0,1,1,1.0,124,2014-04-26,0.048,26,136,2,,
14LA02527,14,R8035,11,,18,X0000,11,5.0,5,07,07,1,,N,,042614,116,1,3,1,.,.,15.8,5,1,.,,,,1,116,44,,,.,.,1,1,..,GRN,J,1,,1,1,1,0,0,0.0,0,2014-04-26,0.042,,,,,
14LA02528,14,R9578,11,,e12,Z0000,83,1.0,1,07,97,4,0,Y,,021814,49,2,0,.,.,.,0.0,5,.,.,,,,0,49,27,,,ABORT@MUDLAKE,.,1,1,..,.,M,1,,1,1,2,0,0,0.0,0,2014-02-18,0.0,,,,,
14LA02529,14,R9578,11,,e12,Z0000,83,1.0,1,07,97,4,0,Y,,021814,49,2,0,.,.,.,0.0,5,.,.,,,,0,49,27,,,.,.,1,1,..,.,M,2,,0,0,0,0,0,0.0,0,2014-02-18,0.0,,,,,
