UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
22LA00001,22,Z8643,83,A,e4,Z0000,83,1.0,1,BL,97,4,0,Y,,011122,11,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,11,27,,,IMM.NO.DATA,.,1,1,..,,J,1,,1,1,1,0,,,,2022-01-11,0.0,,,,,
22LA00002,22,S3723,12,,e2,L0000,70,1.0,1,43,PC,4,0,Y,,011822,18,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,18,27,,,IMM.NO.DATA,.,1,1,..,,J,1,,1,1,1,0,,,,2022-01-18,0.0,,,,,
22LA00003,22,A1043,06,,38,A0792,06,2.0,2,30,30,1,0,N,,030222,61,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,61,27,,,IMM.NO.DATA,.,1,1,..,,J,1,,1,1,1,0,,,,2022-03-02,,,,,,
22LA00004,22,Y0152,00,,73,Y0155,00,4.0,4,Kt,Kt,5,,Y,,030222,61,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,61,27,,,IMM.NO.DATA,.,1,1,..,PUR,J,1,,1,1,1,0,,,,2022-03-02,0.0,,,,,
22LA00005,22,L2574,70,,30,L2491,70,2.0,2,PC,PC,1,0,N,,030222,61,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,61,27,,,IMM.NO.DATA,.,1,1,..,OR,J,1,,1,1,1,0,,,,2022-03-02,,,,,,
22LA00006,22,S1134,12,,56,S3226,12,5.0,5,07,07,2,,N,,030222,61,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,61,27,,,IMM.NO.DATA,.,1,1,..,RED,J,1,,1,1,1,0,,,,2022-03-02,,,,,,
22LA00007,22,Z9021,83,,e3,L0000,70,1.0,1,00,PC,4,0,Y,,030222,61,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,61,27,,,IMM.NO.DATA,.,1,1,..,,J,1,,1,1,1,0,,,,2022-03-02,0.0,,,,,
22LA00008,22,Z8750,83,,e3,L0000,70,1.0,1,LT,PC,4,0,Y,,030322,62,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,62,27,,,IMM.NO.DATA,.,1,1,..,,J,1,,1,1,1,0,,,,2022-03-03,0.0,,,,,
22LA00009,22,Z8708,83,A,e3,L0000,70,1.0,1,97,PC,4,,Y,,030422,63,0,0.0,0,.,2,5,0.0,.,.,.,,,,0,63,27,,,IMM.NO.DATA,.,1,1,..,RPR,J,1,,1,1,1,0,,,,2022-03-04,0.0,,,,,
22LA00010,22,L2783,70,A,e3,L0000,70,1.0,1,PC,PC,4,0,Y,,030522,64,5,4.5,2,1,.,.,7.5,5,1,L3156,70,A,PC,6,65,27,,,.,.,1,1,..,OR,J,1,,1,1,1,1,,,,2022-03-05,0.0,,,,,
22LA03009,22,L2696,70,,23,L0000,70,2.0,2,PC,PC,1,0,N,,041422,104,8,3.0,3,2,0,3,13.0,5,1,L3651,70,,PC,,,,,,.,CU,1,1,..,OR,J,1,,1,1,2,1,1,1.0,132,2022-04-14,0.0,41,132,H,,
22LA03010,22,L2696,70,,23,L0000,70,2.0,2,PC,PC,1,0,N,,041422,104,8,3.0,3,2,0,3,10.5,5,1,L3652,70,,PC,6,115,13,,,.,CU.Predator,1,1,..,OR,J,2,,0,0,0,1,,,,2022-04-14,0.0,,,,,
22LA03011,22,L2809,70,A,e2,L0000,70,1.0,1,PC,PC,4,0,Y,,041422,104,1,2.0,1,2,.,.,10.5,5,1,.,,,,1,104,44,,,FETOTOMY,FETOTOMY,8,5,..,OR,J,1,,1,1,1,0,,,,2022-04-14,0.0,,,,,
22LA03012,22,T7615,45,,47,L0000,70,2.0,2,02,PC,2,0,N,,041522,105,5,3.0,3,3,0,2,16.4,1,1,X0566,84,,LT,,,,,,.,.,1,1,..,RED,J,1,,1,1,1,1,1,1.0,277,2022-04-15,0.0,43,132,2,,
22LA03013,22,T7359,45,,44,L0000,70,3.0,3,02,PC,2,0,N,,041622,106,5,4.0,5,3,0,2,17.5,7,2,X0567,84,,LT,,,,,,.,.,4,4,..,,J,1,,1,1,1,1,1,1.0,117,2022-04-16,0.0,37,132,2,,
