ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2018510001,18LA00001,18,H8768,05,,40,Z0000,83,4.0,4,30,00,1,,N,,011918,19,8,2,3,0,2,15.4,1,1,M0001,51,,00,,,,,,.,NO.PROBIOTIC,1,1,..,TX,J,1,,1,1,2,1,1,1.0,76,2018-01-19,0.0,77,122,1,,
2018510002,18LA00002,18,H8768,05,,40,Z0000,83,4.0,4,30,00,1,,N,,011918,19,8,2,3,0,2,14.4,1,1,M0002,51,,00,,,,,,.,NO.PROBIOTIC,1,1,..,TX,J,2,,0,0,0,1,1,1.0,76,2018-01-19,0.0,76,122,1,,
2018510003,18LA00003,18,T5341,45,,54,Z0000,83,4.0,4,02,00,2,0,N,,012218,22,8,2,3,0,2,12.1,1,1,M0003,51,,00,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,1,1.0,70,2018-01-22,0.0,68,122,1,,
2018510004,18LA00004,18,T5341,45,,54,Z0000,83,4.0,4,02,00,2,0,N,,012218,22,8,2,2,0,2,13.1,1,1,M0004,51,,00,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,1,1.0,72,2018-01-22,0.0,76,122,1,,
2018510005,18LA00005,18,T5379,45,,10,Z0000,83,4.0,4,02,00,1,,Y,,012318,23,8,2,3,0,3,12.6,1,1,M0005,51,,00,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,1,1.0,76,2018-01-23,0.0,73,122,1,,
2018510006,18LA00006,18,T5379,45,,10,Z0000,83,4.0,4,02,00,1,,Y,,012318,23,8,2,3,0,3,13.7,1,1,M0006,51,,00,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,1,1.0,72,2018-01-23,0.0,70,122,1,,
2018510007,18LA00007,18,H8722,05,,33,Z0000,83,4.0,4,30,00,1,7,Y,,012418,24,8,3,3,0,2,15.3,1,1,M0007,51,,00,,,,,,.,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,77,2018-01-24,0.0,68,122,1,,
2018510008,18LA00008,18,H8722,05,,33,Z0000,83,4.0,4,30,00,1,7,Y,,012418,24,8,3,3,0,2,12.9,1,1,M0008,51,,00,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,74,2018-01-24,0.0,67,122,1,,
2018510009,18LA00009,18,S0664,,,58,Z0000,83,3.0,3,01,00,2,,N,,012418,24,8,2,3,0,2,8.8,1,1,M0009,51,,00,,,,,,SM.BAG,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,56,2018-01-24,0.0,59,122,1,,
2018510010,18LA00010,18,S0664,,,58,Z0000,83,3.0,3,01,00,2,,N,,012418,24,8,2,2,2,2,7.9,1,1,M0010,51,,00,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,66,2018-01-24,0.0,63,122,1,,
2018510011,18LA00011,18,Z1610,83,,BR1,Z0000,83,5.0,5,S3,00,5,,Y,,012518,25,5,3,3,0,2,20.0,2,1,M0011,51,,00,,,,,,.,HUGE,1,1,..,PUR,J,1,,1,1,1,1,1,1.0,95,2018-01-25,0.0,98,122,1,,
2018510012,18LA00012,18,H8495,05,,38,Z0000,83,4.0,4,30,00,1,7,N,,012518,25,8,2,3,0,2,14.3,1,1,M0012,51,,00,,,,,,.,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,84,2018-01-25,0.0,85,122,1,,
2018510013,18LA00013,18,H8495,05,,38,Z0000,83,4.0,4,30,00,1,7,N,,012518,25,8,2,2,0,2,15.4,1,1,M0013,51,,00,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,86,2018-01-25,0.0,80,122,1,,
2018510014,18LA00014,18,T6034,45,,54,Z0000,83,3.0,3,02,00,2,7,N,,012618,26,5,3,2,0,2,11.0,1,1,M0014,51,,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,83,2018-01-26,0.0,81,122,1,,
2018510015,18LA00015,18,Z0420,83,,BR2,Z0000,83,7.0,7,33,00,5,7,Y,,012618,26,9,2,3,0,4,10.5,1,1,M0015,51,,00,,,,,,.,.,1,1,..,PUR,J,1,,1,1,3,1,1,1.0,66,2018-01-26,0.0,57,122,1,,
2018510016,18LA00016,18,Z0420,83,,BR2,Z0000,83,7.0,7,33,00,5,7,Y,,012618,26,9,2,3,0,4,8.5,1,1,M0016,51,,00,,,,,,.,THIN,1,1,..,PUR,J,2,,0,0,0,1,1,1.0,56,2018-01-26,0.0,48,122,1,,
2018510017,18LA00017,18,Z0420,83,,BR2,Z0000,83,7.0,7,33,00,5,7,Y,,012618,26,9,2,2,0,2,7.4,1,1,M0017,51,,00,6,26,27,,,.,L/D,1,1,..,PUR,J,3,,0,0,0,1,0,0.0,0,2018-01-26,0.0,,,,,
2018510018,18LA00018,18,S0662,12,,72,Z0000,83,3.0,3,07,00,2,0,N,,020118,32,5,3,3,0,2,13.4,1,1,M0018,51,,00,,,,,,.,.,1,1,..,RED,J,1,,1,1,1,1,1,1.0,91,2018-02-01,0.0,74,122,1,,
2018510019,18LA00019,18,K5091,00,,6,Z0000,83,7.0,7,06,00,1,,N,,020218,33,5,3,2,0,2,14.0,1,1,M0019,51,,00,,,,,,.,.,1,1,..,OR,J,1,,1,1,1,1,1,1.0,86,2018-02-02,0.0,81,122,1,,
2018702012,18LA00020,18,Z3234,83,,2,Z3484,83,2.0,2,SY,CT,1,0,N,,030418,63,6,2,2,.,.,8.8,5,1,L2012,70,,PC,6,66,27,,,LameRF,L/D,1,1,..,OR,J,1,,1,1,2,1,0,0.0,0,2018-03-04,0.019,,,,,
D18LA00021,18LA00021,18,Z3234,83,,2,Z3484,83,2.0,2,SY,CT,1,0,N,,030418,63,6,2,.,.,.,0.0,.,.,.,,,,0,63,27,,,.,NO.DATA,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2018-03-04,0.019,,,,,
2018835172,18LA00022,18,H9341,05,,22,Z4086,00,2.0,2,30,97,1,,Y,,030718,66,8,3,3,0,4,9.5,5,1,Z5172,83,,80,,,,,,.,ScoursTx,1,1,..,RED,J,1,,1,1,2,1,1,1.0,90,2018-03-07,0.0,42,122,1,,
2018835173,18LA00023,18,H9341,05,,22,Z4086,00,2.0,2,30,97,1,,Y,,030718,66,8,3,2,.,.,7.4,5,1,Z5173,83,,80,6,67,27,,,.,L/D,1,1,..,RED,J,2,,0,0,0,1,0,0.0,0,2018-03-07,0.0,,,,,
2018059968,18LA00024,18,H9438,05,,40,H9420,05,2.0,2,30,30,1,0,N,,030718,66,8,4,2,0,2,8.0,1,1,H9968,05,,30,,,,,,LTS,NO.PROBIOTIC,1,1,..,RED,J,1,,1,1,2,1,1,1.0,67,2018-03-07,0.033,34,122,1,,
2018059969,18LA00025,18,H9438,05,,40,H9420,05,2.0,2,30,30,1,0,N,,030718,66,8,4,3,0,2,6.1,1,1,H9969,05,,30,6,70,67,,,.,FailureToThrive,1,1,..,RED,J,2,,0,0,0,1,0,0.0,0,2018-03-07,0.033,,,,,
2018510020,18LA00026,18,H9745,05,,e7,L0000,70,1.0,1,30,PC,4,0,Y,,030918,68,8,3,2,.,.,7.4,1,1,M0020,51,,LP,6,68,66,,,.,SevereTrauma,1,1,..,,J,1,,1,1,2,1,0,0.0,0,2018-03-09,0.0,,,,,
2018510021,18LA00027,18,H9745,05,,e7,L0000,70,1.0,1,30,PC,4,0,Y,,030918,68,8,3,2,2,3,7.9,2,1,M0021,51,,LP,,,,,,.,ScoursTx,1,1,..,,J,2,,0,0,0,1,1,1.0,55,2018-03-09,0.0,30,122,1,,
2018510022,18LA00028,18,H9584,05,,e8,Z0000,83,1.0,1,30,97,4,,Y,,030918,68,5,3,3,0,2,10.5,.,2,M0022,51,,80,,,,,,.,BandingPrblmTx,1,1,..,,J,1,,1,1,1,1,1,1.0,74,2018-03-09,0.0,36,122,1,,
D18LA00029,18LA00029,18,H9601,05,,e11,H9065,05,1.0,1,30,30,4,0,N,,030918,68,2,1,1,.,.,6.1,.,1,.,,,,0,68,27,,,.,.,1,1,..,TX,J,1,,1,1,2,0,0,0.0,0,2018-03-09,,,,,,
D18LA00030,18LA00030,18,H9601,05,,e11,H9065,05,1.0,1,30,30,4,0,N,,030918,68,2,1,1,.,.,5.9,.,1,.,,,,0,68,27,,,.,.,1,1,..,TX,J,2,,0,0,0,0,0,0.0,0,2018-03-09,,,,,,
D18LA00031,18LA00031,18,H9816,05,,e8,Z0000,83,1.0,1,30,97,4,,Y,,030918,68,2,1,2,.,.,6.6,.,1,.,,,,0,68,27,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2018-03-09,,,,,,
D18LA00032,18LA00032,18,H9816,05,,e8,Z0000,83,1.0,1,30,97,4,,Y,,030918,68,2,1,1,.,.,8.0,.,1,.,,,,0,68,27,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2018-03-09,,,,,,
D18LA00033,18LA00033,18,Z4599,83,,1,Z3332,83,1.0,1,CT,SY,4,0,N,,030918,68,0,0,1,.,.,5.9,5,1,.,,,,0,68,27,,,.,.,1,1,..,YOR,J,1,,1,1,1,0,0,0.0,0,2018-03-09,,,,,,
2018835174,18LA00034,18,H8293,05,,22,Z4086,00,5.0,5,30,97,1,0,Y,,030918,68,5,3,2,R,4,13.2,5,1,Z5174,83,,80,,,,,,HD.LUMP.LFLANK,RFFootAbscess,1,1,..,,J,1,,1,1,1,1,1,1.0,97,2018-03-09,0.0,50,122,1,,
D18LA00035,18LA00035,18,H9728,05,,e10,H8894,05,1.0,1,30,30,4,0,N,,030918,68,2,1,2,.,.,6.3,2,1,.,,,,0,68,27,,,.,.,1,1,..,TX,J,1,,1,1,2,0,0,0.0,0,2018-03-09,,,,,,
D18LA00036,18LA00036,18,H9728,05,,e10,H8894,05,1.0,1,30,30,4,0,N,,030918,68,2,1,1,.,.,7.0,2,1,.,,,,0,68,27,,,.,.,1,1,..,TX,J,2,,0,0,0,0,0,0.0,0,2018-03-09,,,,,,
2018059970,18LA00037,18,H9095,05,,40,H9420,05,3.0,3,30,30,1,7,N,,030918,68,8,3,3,0,3,9.8,1,1,H9970,05,,30,,,,,,LTS,NOPROBIOTICPINK,1,1,..,RED,J,1,,1,1,2,1,1,1.0,83,2018-03-09,0.025,43,122,1,,
2018059971,18LA00038,18,H9095,05,,40,H9420,05,3.0,3,30,30,1,7,N,,030918,68,8,3,1,0,2,6.6,1,1,H9971,05,,30,6,70,67,,,.,FailureToThrive,1,1,..,RED,J,2,,0,0,0,1,0,0.0,0,2018-03-09,0.025,,,,,
2018702013,18LA00039,18,L1751,70,,12,L1834,70,2.0,2,PC,PC,1,0,N,,031018,69,5,3,2,0,2,11.1,2,1,L2013,70,,PC,,,,,,.,ScoursTx,1,1,..,OR,J,1,,1,1,1,1,1,1.0,84,2018-03-10,0.01,40,122,H,,
D18LA00040,18LA00040,18,Z4287,83,,BL,Z3688,83,1.0,1,BL,BL,4,0,Y,,031018,69,0,1,2,.,.,7.8,5,1,.,,,,0,69,27,,,.,.,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2018-03-10,,,,,,
2018702014,18LA00041,18,Z3792,83,,2,Z3484,83,2.0,2,SY,CT,1,,N,,031018,69,8,3,1,0,4,12.6,2,1,L2014,70,,PC,,,,,,.,05BR,1,1,..,OR,J,1,,1,1,2,1,1,1.0,100,2018-03-10,0.065,50,122,H,,
2018702015,18LA00042,18,Z3792,83,,2,Z3484,83,2.0,2,SY,CT,1,,N,,031018,69,8,3,1,0,4,11.0,5,1,L2015,70,,PC,,,,,,.,5-10BL,1,1,..,OR,J,2,,0,0,0,1,1,1.0,96,2018-03-10,0.065,52,122,H,,
2018835175,18LA00043,18,Z3588,83,A,22,Z4086,00,2.0,2,97,97,1,,N,,031018,69,8,3,2,R,3,11.9,6,1,Z5175,83,,97,,,,,,.,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,68,2018-03-10,0.0,35,122,H,,
2018835176,18LA00044,18,Z3588,83,A,22,Z4086,00,2.0,2,97,97,1,,N,,031018,69,8,3,2,0,2,12.1,6,1,Z5176,83,,97,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,68,2018-03-10,0.0,37,122,H,,
