ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
D24LA00001,24LA00001,24,Y0386,52,,e4,X0012,84,1.0,,Kt,97,4,,Y,,030724,67,0,N,0.0,0,1,.,.,0.0,.,.,.,,,,0,67,27,,,HD.PULL,.,6,1,..,,J,1,,1,1,1,0,0,0.0,0,2024-03-07,0.0,,,,,
D24LA00002,24LA00002,24,A1907,06,,e3,A1624,06,1.0,,30,30,4,,Y,,030824,68,2,N,0.0,0,1,.,.,0.0,.,.,.,,,,0,68,27,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2024-03-08,0.067,,,,,
D24LA00003,24LA00003,24,A1907,06,,e3,A1624,06,1.0,,30,30,4,,Y,,030824,68,2,N,0.0,0,2,.,.,0.0,.,.,.,,,,0,68,27,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2024-03-08,0.067,,,,,
D24LA00004,24LA00004,24,Z5001,83,A,10,Z9811,83,7.0,,97,97,1,,N,,030824,68,4,N,0.0,0,.,.,.,0.0,.,.,.,,A,,1,68,44,,,.,.,1,1,..,PUR,J,1,,1,1,2,0,0,0.0,0,2024-03-08,0.0,,,,,
D24LA00005,24LA00005,24,Z5001,83,A,10,Z9811,83,7.0,,97,97,1,,N,,030824,68,4,N,0.0,0,.,.,.,0.0,.,.,.,,A,,0,68,27,,,.,.,1,1,..,PUR,J,2,,0,0,0,0,0,0.0,0,2024-03-08,0.0,,,,,
2024841517,24LA00006,24,M0690,51,,36,Z8587,83,2.0,,LP,TC,1,0,Y,,030824,68,5,2,4.0,3,2,0,3,8.7,5,1,X1517,84,,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,103,2024-03-08,0.0,59,127,1,,
D24LA00007,24LA00007,24,A1144,06,,37,A1164,06,3.0,,30,30,1,,Y,,030924,69,1,N,4.5,2,2,.,.,7.0,1,1,.,,,,1,69,44,,,.,.,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2024-03-09,0.092,,,,,
2024841518,24LA00008,24,M0676,51,,35,Z7663,83,2.0,,LP,TS,1,0,Y,,031024,70,5,2,3.5,3,2,0,2,8.3,2,2,X1518,84,A,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,90,2024-03-10,0.0,44,127,1,,
D24LA00009,24LA00009,24,L3868,70,A,e9,X0000,00,1.0,,PC,00,4,,Y,,031124,71,0,N,4.0,1,1,.,.,4.0,5,1,.,,A,00,0,71,27,,,.,.,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2024-03-11,0.0,,,,,
D24LA00010,24LA00010,24,X1103,84,,e9,X0000,00,1.0,,00,00,4,,Y,,031124,71,4,N,2.5,2,2,.,.,6.5,5,1,.,,,,1,71,44,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2024-03-11,0.0,,,,,
