UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
10PE00001,10,05,H5553,05,H4211,05,H4680,30,2010055553,2008054211,2009054680
10PE00002,10,05,H5554,05,H4211,05,H4680,30,2010055554,2008054211,2009054680
10PE00003,10,05,H5555,05,H4337,05,H4968,30,2010055555,2008054337,2009054968
10PE00004,10,05,H5556,05,H4211,05,H4961,30,2010055556,2008054211,2009054961
10PE00005,10,05,H5557,05,H4357,05,H5036,30,2010055557,2008054357,2009055036
10PE00006,10,05,H5558,05,H3921,05,H5316,30,2010055558,2008053921,2009055316
10PE00007,10,05,H5559,05,H4357,05,H5248,30,2010055559,2008054357,2009055248
10PE00008,10,05,H5560,05,H4357,05,H5248,30,2010055560,2008054357,2009055248
10PE00009,10,05,H5561,05,H3921,05,H5332,30,2010055561,2008053921,2009055332
10PE00010,10,05,H5562,05,H3921,05,H5332,30,2010055562,2008053921,2009055332
10PE00011,10,05,H5563,05,H3967,05,H4715,30,2010055563,2008053967,2009054715
10PE00012,10,05,H5564,05,H3967,05,H4715,30,2010055564,2008053967,2009054715
10PE00013,10,05,H5565,05,H4357,05,H4891,30,2010055565,2008054357,2009054891
10PE00014,10,05,H5566,05,H4357,05,H4891,30,2010055566,2008054357,2009054891
10PE00015,10,05,H5567,05,H4211,05,H4886,30,2010055567,2008054211,2009054886
10PE00016,10,05,H5568,05,H4337,05,H4687,30,2010055568,2008054337,2009054687
10PE00017,10,05,H5569,05,H4337,05,H4687,30,2010055569,2008054337,2009054687
10PE00018,10,05,H5570,05,H3967,05,H4838,30,2010055570,2008053967,2009054838
10PE00019,10,05,H5571,05,H3921,05,H5347,30,2010055571,2008053921,2009055347
10PE00020,10,05,H5572,05,H3921,05,H4841,30,2010055572,2008053921,2009054841
10PE00021,10,05,H5573,05,H3921,05,H4639,30,2010055573,2008053921,2009054639
10PE00022,10,05,H5574,05,H3921,05,H4639,30,2010055574,2008053921,2009054639
10PE00023,10,05,H5575,00,00965,05,H3114,30,2010055575,2008000965,2007053114
10PE00024,10,05,H5576,05,H4155,04,H4107,30,2010055576,2008054155,2008054107
10PE00025,10,05,H5577,05,H4155,04,H4107,30,2010055577,2008054155,2008054107
10PE00026,10,05,H5578,05,H4164,05,H0780,30,2010055578,2008054164,2004050780
10PE00027,10,05,H5579,05,H4164,05,H0780,30,2010055579,2008054164,2004050780
10PE00028,10,05,H5580,05,H4164,05,H0780,30,2010055580,2008054164,2004050780
10PE00029,10,05,H5581,05,H3921,05,H5169,30,2010055581,2008053921,2009055169
10PE00030,10,05,H5582,05,H4211,05,H5038,30,2010055582,2008054211,2009055038
10PE00031,10,05,H5583,05,H4357,05,H4571,30,2010055583,2008054357,2009054571
10PE00032,10,05,H5584,05,H4337,05,H4660,30,2010055584,2008054337,2009054660
10PE00033,10,05,H5585,05,H4337,05,H4660,30,2010055585,2008054337,2009054660
10PE00034,10,05,H5586,05,H3921,05,H4614,30,2010055586,2008053921,2009054614
10PE00035,10,05,H5587,05,H3779,04,H3869,30,2010055587,2008053779,2008053869
10PE00036,10,05,H5588,05,H3779,04,H3869,30,2010055588,2008053779,2008053869
10PE00037,10,05,H5589,05,H3779,04,H3869,30,2010055589,2008053779,2008053869
10PE00038,10,05,H5590,05,H3779,05,H4244,30,2010055590,2008053779,2008054244
10PE00039,10,05,H5591,05,H3779,05,H4244,30,2010055591,2008053779,2008054244
10PE00040,10,05,H5592,05,H4155,05,H4369,30,2010055592,2008054155,2008054369
10PE00041,10,05,H5593,05,H4155,05,H4369,30,2010055593,2008054155,2008054369
10PE00042,10,05,H5594,05,H4386,05,H3898,30,2010055594,2008054386,2008053898
10PE00043,10,05,H5595,05,H4386,05,H3898,30,2010055595,2008054386,2008053898
10PE00044,10,05,H5596,05,H4337,05,H4925,30,2010055596,2008054337,2009054925
10PE00045,10,05,H5597,00,00172,05,H2787,30,2010055597,2008000172,2006052787
10PE00046,10,05,H5598,00,00172,05,H2787,30,2010055598,2008000172,2006052787
10PE00047,10,05,H5599,00,00172,05,H2787,30,2010055599,2008000172,2006052787
10PE00048,10,05,H5600,00,00706,05,H1898,30,2010055600,2007000706,2005051898
10PE00049,10,05,H5602,00,00706,05,H1898,30,2010055602,2007000706,2005051898
10PE00050,10,05,H5603,00,00706,05,H1898,30,2010055603,2007000706,2005051898
10PE00051,10,05,H5604,05,H4337,05,H5160,30,2010055604,2008054337,2009055160
10PE00052,10,05,H5605,05,H4386,05,H3554,30,2010055605,2008054386,2007053554
10PE00053,10,05,H5606,05,H3545,05,H1397,30,2010055606,2007053545,2005051397
10PE00054,10,05,H5607,05,H3545,05,H1397,30,2010055607,2007053545,2005051397
10PE00055,10,05,H5608,05,H4386,05,H3418,30,2010055608,2008054386,2007053418
10PE00056,10,05,H5609,00,07142,05,H4435,30,2010055609,2007007142,2008054435
10PE00057,10,05,H5610,05,H3872,05,H3538,30,2010055610,2008053872,2007053538
10PE00058,10,05,H5611,05,H3872,05,H3538,30,2010055611,2008053872,2007053538
10PE00059,10,05,H5612,05,H3872,05,H3538,30,2010055612,2008053872,2007053538
10PE00060,10,05,H5613,05,H3858,05,H3110,30,2010055613,2008053858,2007053110
10PE00061,10,05,H5614,05,H3858,05,H3110,30,2010055614,2008053858,2007053110
10PE00062,10,05,H5615,00,00647,05,H3794,30,2010055615,2007000647,2008053794
10PE00063,10,05,H5616,00,00647,05,H3794,30,2010055616,2007000647,2008053794
10PE00064,10,05,H5617,00,00706,05,H3146,30,2010055617,2007000706,2007053146
10PE00065,10,05,H5618,00,00706,05,H3146,30,2010055618,2007000706,2007053146
10PE00066,10,05,H5619,00,00706,05,H3146,30,2010055619,2007000706,2007053146
10PE00067,10,05,H5620,05,H3872,05,H4501,30,2010055620,2008053872,2008054501
10PE00068,10,05,H5621,05,H3872,05,H4501,30,2010055621,2008053872,2008054501
10PE00069,10,05,H5622,00,00101,05,H2258,30,2010055622,2008000101,2006052258
10PE00070,10,05,H5623,00,00101,05,H2258,30,2010055623,2008000101,2006052258
10PE00071,10,05,H5624,05,H3779,05,H4381,30,2010055624,2008053779,2008054381
10PE00072,10,05,H5625,05,H3779,05,H4381,30,2010055625,2008053779,2008054381
10PE00073,10,05,H5626,05,H3779,05,H4381,30,2010055626,2008053779,2008054381
10PE00074,10,05,H5627,05,H4164,05,H4368,30,2010055627,2008054164,2008054368
10PE00075,10,05,H5628,05,H4164,05,H3081,30,2010055628,2008054164,2007053081
10PE00076,10,05,H5629,05,H4164,05,H3081,30,2010055629,2008054164,2007053081
10PE00077,10,05,H5630,00,00706,05,H2873,30,2010055630,2007000706,2006052873
10PE00078,10,05,H5631,00,00706,05,H2873,30,2010055631,2007000706,2006052873
10PE00079,10,05,H5632,00,00706,05,H2873,30,2010055632,2007000706,2006052873
10PE00080,10,05,H5633,00,00647,04,A9458,30,2010055633,2007000647,2002049458
10PE00081,10,05,H5634,00,00647,04,A9458,30,2010055634,2007000647,2002049458
10PE00082,10,05,H5635,00,00101,05,H3540,30,2010055635,2008000101,2007053540
10PE00083,10,05,H5636,00,00101,05,H3540,30,2010055636,2008000101,2007053540
10PE00084,10,05,H5637,00,00101,05,H3540,30,2010055637,2008000101,2007053540
10PE00085,10,05,H5638,00,00647,05,H4500,30,2010055638,2007000647,2008054500
10PE00086,10,05,H5639,00,00647,05,H4500,30,2010055639,2007000647,2008054500
10PE00087,10,05,H5640,00,00712,05,H1822,30,2010055640,2007000712,2005051822
10PE00088,10,05,H5641,00,00712,05,H1822,30,2010055641,2007000712,2005051822
10PE00089,10,05,H5642,00,00965,05,H1451,30,2010055642,2008000965,2005051451
10PE00090,10,05,H5643,00,00965,05,H1451,30,2010055643,2008000965,2005051451
10PE00091,10,05,H5644,00,00965,05,H1451,30,2010055644,2008000965,2005051451
10PE00092,10,05,H5645,05,H3779,05,H4400,30,2010055645,2008053779,2008054400
10PE00093,10,05,H5646,05,H4155,05,H3910,30,2010055646,2008054155,2008053910
10PE00094,10,05,H5647,05,H4155,05,H3910,30,2010055647,2008054155,2008053910
10PE00095,10,05,H5648,05,H4155,05,H3910,30,2010055648,2008054155,2008053910
10PE00096,10,05,H5649,05,H3872,05,H4469,30,2010055649,2008053872,2008054469
10PE00097,10,05,H5650,05,H4386,05,H1431,30,2010055650,2008054386,2005051431
10PE00098,10,05,H5651,05,H4386,05,H1431,30,2010055651,2008054386,2005051431
10PE00099,10,05,H5652,00,00101,05,H2401,30,2010055652,2008000101,2006052401
10PE00100,10,05,H5653,05,H4164,05,H4537,30,2010055653,2008054164,2008054537
10PE00101,10,05,H5654,05,H4164,05,H4537,30,2010055654,2008054164,2008054537
10PE00102,10,05,H5655,05,H3779,05,H4544,30,2010055655,2008053779,2008054544
10PE00103,10,05,H5656,05,H4155,05,H3715,30,2010055656,2008054155,2007053715
10PE00104,10,05,H5657,05,H4155,05,H3715,30,2010055657,2008054155,2007053715
10PE00105,10,05,H5658,05,H4155,05,H3715,30,2010055658,2008054155,2007053715
10PE00106,10,05,H5659,05,H4155,05,H3981,30,2010055659,2008054155,2008053981
10PE00107,10,05,H5660,00,00420,05,H2397,30,2010055660,2008000420,2006052397
10PE00108,10,05,H5661,00,00420,05,H2397,30,2010055661,2008000420,2006052397
10PE00109,10,05,H5662,05,H3779,05,H3526,30,2010055662,2008053779,2007053526
10PE00110,10,05,H5663,05,H3779,05,H3526,30,2010055663,2008053779,2007053526
10PE00111,10,05,H5664,05,H4186,05,H3604,30,2010055664,2008054186,2007053604
10PE00112,10,05,H5665,05,H4186,05,H3604,30,2010055665,2008054186,2007053604
10PE00113,10,05,H5666,05,H4186,05,H3604,30,2010055666,2008054186,2007053604
10PE00114,10,05,H5667,00,00647,05,H4349,30,2010055667,2007000647,2008054349
10PE00115,10,05,H5668,00,00647,05,H4349,30,2010055668,2007000647,2008054349
10PE00116,10,05,H5669,00,H9057,05,H3284,30,2010055669,2008009057,2007053284
10PE00117,10,05,H5670,00,H9057,05,H3284,30,2010055670,2008009057,2007053284
10PE00118,10,05,H5671,00,H9057,05,H3284,30,2010055671,2008009057,2007053284
10PE00119,10,05,H5672,00,H9057,05,H3284,30,2010055672,2008009057,2007053284
10PE00120,10,05,H5673,05,H4386,04,H4395,30,2010055673,2008054386,2008054395
10PE00121,10,05,H5674,05,H4386,04,H4395,30,2010055674,2008054386,2008054395
10PE00122,10,05,H5675,05,H4155,05,H3862,30,2010055675,2008054155,2008053862
10PE00123,10,05,H5676,05,H4155,05,H3862,30,2010055676,2008054155,2008053862
10PE00124,10,05,H5677,00,00647,05,H3924,30,2010055677,2007000647,2008053924
10PE00125,10,05,H5678,00,00647,05,H3924,30,2010055678,2007000647,2008053924
10PE00126,10,05,H5679,00,07142,05,H3216,30,2010055679,2007007142,2007053216
10PE00127,10,05,H5680,05,H3872,05,H4212,30,2010055680,2008053872,2008054212
10PE00128,10,05,H5681,05,H3872,05,H4212,30,2010055681,2008053872,2008054212
10PE00129,10,05,H5682,05,H3872,05,H4212,30,2010055682,2008053872,2008054212
10PE00130,10,05,H5683,05,H3545,05,H1547,30,2010055683,2007053545,2005051547
10PE00131,10,05,H5684,05,H3545,05,H1547,30,2010055684,2007053545,2005051547
10PE00132,10,05,H5685,05,H4164,05,H3752,30,2010055685,2008054164,2008053752
10PE00133,10,05,H5686,00,00965,05,H1008,30,2010055686,2008000965,2004051008
10PE00134,10,05,H5687,00,00965,05,H1008,30,2010055687,2008000965,2004051008
10PE00135,10,05,H5688,00,00101,05,H0419,30,2010055688,2008000101,2003050419
10PE00136,10,05,H5689,00,00101,05,H0419,30,2010055689,2008000101,2003050419
10PE00137,10,05,H5690,00,00101,05,H0419,30,2010055690,2008000101,2003050419
10PE00138,10,05,H5691,05,H3967,05,H4759,30,2010055691,2008053967,2009054759
10PE00139,10,05,H5692,05,H3967,05,H4759,30,2010055692,2008053967,2009054759
10PE00140,10,05,H5693,05,H4186,05,H3466,30,2010055693,2008054186,2007053466
10PE00141,10,05,H5694,05,H4186,05,H3466,30,2010055694,2008054186,2007053466
10PE00142,10,05,H5695,05,H3872,05,H4539,30,2010055695,2008053872,2008054539
10PE00143,10,05,H5696,05,H3779,05,H2559,30,2010055696,2008053779,2006052559
10PE00144,10,05,H5697,05,H3779,05,H2559,30,2010055697,2008053779,2006052559
10PE00145,10,05,H5698,05,H3779,05,H3055,30,2010055698,2008053779,2007053055
10PE00146,10,05,H5699,05,H4164,05,H4451,30,2010055699,2008054164,2008054451
10PE00147,10,05,H5700,05,H4164,05,H4451,30,2010055700,2008054164,2008054451
10PE00148,10,05,H5701,05,H4386,05,H3031,30,2010055701,2008054386,2007053031
10PE00149,10,05,H5702,05,H4386,05,H3031,30,2010055702,2008054386,2007053031
10PE00150,10,05,H5703,00,00101,05,H3266,30,2010055703,2008000101,2007053266
10PE00151,10,05,H5704,00,07142,05,H3456,30,2010055704,2007007142,2007053456
10PE00152,10,05,H5705,00,07142,05,H3456,30,2010055705,2007007142,2007053456
10PE00153,10,05,H5706,00,07142,05,H3456,30,2010055706,2007007142,2007053456
10PE00154,10,05,H5707,05,H3872,04,A9545,30,2010055707,2008053872,2002049545
10PE00155,10,05,H5708,05,H3872,04,A9545,30,2010055708,2008053872,2002049545
10PE00156,10,05,H5709,00,00706,05,H3328,30,2010055709,2007000706,2007053328
10PE00157,10,05,H5710,00,00706,05,H3328,30,2010055710,2007000706,2007053328
10PE00158,10,05,H5711,00,00706,05,H3328,30,2010055711,2007000706,2007053328
10PE00159,10,05,H5712,00,00647,05,H4341,30,2010055712,2007000647,2008054341
10PE00160,10,05,H5713,00,00647,05,H4341,30,2010055713,2007000647,2008054341
10PE00161,10,05,H5714,00,H9057,05,H1733,30,2010055714,2008009057,2005051733
10PE00162,10,05,H5715,00,H9057,05,H1733,30,2010055715,2008009057,2005051733
10PE00163,10,05,H5716,00,H9057,05,H1733,30,2010055716,2008009057,2005051733
10PE00164,10,05,H5717,05,H3921,05,H5520,30,2010055717,2008053921,2009055520
10PE00165,10,05,H5718,05,H4337,05,H4840,30,2010055718,2008054337,2009054840
