UID,LAMB,SIRE,DAM
55PE00001,55101801,51910116,48101638
55PE00002,55101802,53140935,52101691
55PE00003,55101803,52140511,52101693
55PE00004,55101804,53177473,52101704
55PE00005,55101805,52177019,52101677
55PE00006,55101806,53141037,49101639
55PE00007,55101807,53141240,52101701
55PE00008,55101808,52140693,53101792
55PE00009,55101809,52140396,52101654
55PE00010,55101810,53141209,52101651
55PE00011,55101811,53177473,49101797
55PE00012,55101812,53177473,49101797
55PE00013,55101813,53140939,52101661
55PE00014,55101814,53141008,51101647
55PE00015,55101815,53141008,51101647
55PE00016,55101816,53141037,52101679
55PE00017,55101817,52177019,52101702
55PE00018,55101818,51910116,52101653
55PE00019,55101819,52140693,51101646
55PE00020,55101820,53141008,52101706
55PE00021,55101821,53141008,52101707
55PE00022,55101822,53141008,52101707
55PE00023,55101823,53141505,50101643
55PE00024,55101824,53141240,49101640
55PE00025,55101825,53141240,49101640
55PE00026,55101826,53140939,52101672
55PE00027,55101827,53140939,52101672
55PE00028,55101828,52910117,52101692
55PE00029,55101829,53141037,52101682
55PE00030,55101830,53141348,52101697
55PE00031,55101831,53141348,52101662
55PE00032,55101832,53141037,51101648
55PE00033,55101833,52910117,52101673
55PE00034,55101834,53177231,52101683
55PE00035,55101835,53177231,52101683
55PE00036,55101836,52177019,52101705
55PE00037,55101837,47910107,50101642
55PE00038,55101838,52140781,53101794
55PE00039,55101839,52140781,52101687
55PE00040,55101840,53140939,49101795
55PE00041,55101841,53140939,49101795
55PE00042,55101842,52140396,52101694
55PE00043,55101843,52910117,52101658
55PE00044,55101844,53177473,52101663
55PE00045,55101845,53141348,49101799
55PE00046,55101846,53141348,49101799
55PE00047,55101847,52140396,49101796
55PE00048,55101848,52140396,49101796
55PE00049,55101849,53177231,46101624
55PE00050,55101850,53177231,46101624
55PE00051,55101851,53141348,52101675
55PE00052,55101852,53140939,52101696
55PE00053,55101853,53141323,47101632
55PE00054,55101854,53141209,51101649
55PE00055,55101855,53141209,51101649
55PE00056,55101856,53140935,52101699
55PE00057,55101857,53140935,52101699
55PE00058,55101858,53141008,52101689
55PE00059,55101859,53141008,52101689
55PE00060,55101860,53141323,52101680
55PE00061,55101861,53141323,52101680
55PE00062,55101862,53141209,52101665
55PE00063,55101863,52140693,52101685
55PE00064,55101864,52140693,52101685
55PE00065,55101865,53140935,52101657
55PE00066,55101866,51910116,52101650
55PE00067,55101867,53177231,52101655
55PE00068,55101868,53177231,52101655
55PE00069,55101869,52140511,49101798
55PE00070,55101870,52140511,49101798
55PE00071,55101871,53141505,52101686
55PE00072,55101872,52140511,52101670
55PE00073,55101873,52140511,52101670
55PE00074,55101874,47910107,52101666
55PE00075,55101875,52140781,52101703
55PE00076,55101876,53177473,52101676
55PE00077,55101877,53141505,53101793
55PE00078,55101878,52140396,52101671
55PE00079,55101879,52140693,52101664
55PE00080,55101880,53141037,52101690
55PE00081,55101881,53141037,46101629
55PE00082,55101882,53141037,46101629
55PE00083,55101883,53141240,52101695
55PE00084,55101884,53141240,52101695
55PE00085,55101885,53141323,52101700
55PE00086,55101886,52140511,52101659
55PE00087,55101886,52140511,52101659
55PE00088,55101887,53141037,52101667
55PE00089,55101888,53141209,52101688
55PE00090,55114364,47910107,50113098
55PE00091,55114365,53113931,51113562
55PE00092,55114366,53113837,52113731
55PE00093,55114367,53113837,48112571
55PE00094,55114368,53113837,48112571
55PE00095,55114369,53113837,53113971
55PE00096,55114370,52113643,50113130
55PE00097,55114371,52113643,50113130
55PE00098,55114372,53113837,52113681
55PE00099,55114373,53000000,51113501
55PE00100,55114374,47910107,50113235
55PE00101,55114375,53113837,52113628
55PE00102,55114376,53113925,51113575
55PE00103,55114377,51113302,51113519
55PE00104,55114378,51113446,53113988
55PE00105,55114379,53113868,49113015
55PE00106,55114380,53113975,51113322
55PE00107,55114381,53113975,53113857
55PE00108,55114382,53113856,53113924
55PE00109,55114383,53113837,48112518
55PE00110,55114384,51113302,52113686
55PE00111,55114385,53113837,52113755
55PE00112,55114386,47910107,49113037
55PE00113,55114387,53113795,49112985
55PE00114,55114388,53113795,49112985
55PE00115,55114389,53113975,48112634
55PE00116,55114390,53113837,53113993
55PE00117,55114391,47910107,49112775
55PE00118,55114392,53113856,51113365
55PE00119,55114393,47910107,53113861
55PE00120,55114394,53113975,52113760
55PE00121,55114395,53113837,53113918
55PE00122,55114396,51113446,47112397
55PE00123,55114397,51113446,47112397
55PE00124,55114398,53113989,49113018
55PE00125,55114399,53113865,50113183
55PE00126,55114400,51113446,49112882
55PE00127,55114401,51113446,47112482
55PE00128,55114402,47910107,50113138
