UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM
00PE00001,00000001,97044849,99090071,00,00,00001,04,A4849,09,90071
00PE00002,00000002,97044849,99090005,00,00,00002,04,A4849,09,90005
00PE00003,00000003,98008036,99090333,00,00,00003,00, 8036,09,90333
00PE00004,00000004,98008036,99090333,00,00,00004,00, 8036,09,90333
00PE00005,00000005,98008036,99091149,00,00,00005,00, 8036,09,91149
00PE00006,00000006,98008036,99091149,00,00,00006,00, 8036,09,91149
00PE00007,00000007,97044849,99090833,00,00,00007,04,A4849,09,90833
00PE00008,00000008,98109166,99090256,00,00,00008,10,S9166,09,90256
00PE00009,00000009,98109166,99090256,00,00,00009,10,S9166,09,90256
00PE00010,00000010,98008036,99090035,00,00,00010,00, 8036,09,90035
00PE00011,00000011,98440000,99090114,00,00,00011,44,T0000,09,90114
00PE00012,00000012,97044849,99090684,00,00,00012,04,A4849,09,90684
00PE00013,00000013,97044849,99090679,00,00,00013,04,A4849,09,90679
00PE00014,00000014,97044849,99090694,00,00,00014,04,A4849,09,90694
00PE00015,00000015,98440000,99091429,00,00,00015,44,T0000,09,91429
00PE00016,00000016,97044849,99090745,00,00,00016,04,A4849,09,90745
00PE00017,00000017,97044849,99090745,00,00,00017,04,A4849,09,90745
00PE00018,00000018,98008036,99090375,00,00,00018,00, 8036,09,90375
00PE00019,00000019,98008036,99090375,00,00,00019,00, 8036,09,90375
00PE00020,00000020,98109348,99091265,00,00,00020,10,S9348,09,91265
00PE00021,00000021,98440000,99090080,00,00,00021,44,T0000,09,90080
00PE00022,00000022,98440000,99090080,00,00,00022,44,T0000,09,90080
00PE00023,00000023,97044849,99090006,00,00,00023,04,A4849,09,90006
00PE00024,00000024,98440000,99815907,00,00,00024,44,T0000,81,Z5907
00PE00025,00000025,98440000,99815907,00,00,00025,44,T0000,81,Z5907
00PE00026,00000026,98440000,99090146,00,00,00026,44,T0000,09,90146
00PE00027,00000027,98440000,99090146,00,00,00027,44,T0000,09,90146
00PE00028,00000028,98008036,99090589,00,00,00028,00, 8036,09,90589
00PE00029,00000029,98008036,99090589,00,00,00029,00, 8036,09,90589
00PE00030,00000030,98008036,99091268,00,00,00030,00, 8036,09,91268
00PE00031,00000031,98440000,99090111,00,00,00031,44,T0000,09,90111
00PE00032,00000032,98440000,99090101,00,00,00032,44,T0000,09,90101
