UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00001,07,05,H2925,64,K3073,04,A8714,33,2007052925,2004643073,2001048714
07PE00002,07,05,H2926,64,K3073,04,A8714,33,2007052926,2004643073,2001048714
07PE00003,07,05,H2927,05,H0596,05,H2199,30,2007052927,2003050596,2006052199
07PE00004,07,05,H2928,05,H1063,05,H2283,30,2007052928,2004051063,2006052283
07PE00005,07,05,H2929,05,H0596,05,H2244,30,2007052929,2003050596,2006052244
07PE00006,07,05,H2930,05,H0596,05,H2397,30,2007052930,2003050596,2006052397
07PE00007,07,05,H2931,05,H1063,05,H2354,30,2007052931,2004051063,2006052354
07PE00008,07,05,H2932,05,H1063,05,H2354,30,2007052932,2004051063,2006052354
07PE00009,07,05,H2933,05,H1611,05,H2874,30,2007052933,2005051611,2006052874
07PE00010,07,05,H2934,64,K3132,05,H0954,33,2007052934,2004643132,2004050954
07PE00011,07,05,H2935,64,K3132,05,H0954,33,2007052935,2004643132,2004050954
07PE00012,07,05,H2936,64,K3132,05,H0954,33,2007052936,2004643132,2004050954
07PE00013,07,05,H2937,05,H1063,05,H2699,30,2007052937,2004051063,2006052699
07PE00014,07,05,H2938,05,H1063,05,H2699,30,2007052938,2004051063,2006052699
07PE00015,07,05,H2939,05,H0596,05,H2266,30,2007052939,2003050596,2006052266
07PE00016,07,05,H2940,64,K3132,05,H0478,33,2007052940,2004643132,2003050478
07PE00017,07,05,H2941,64,K3132,05,H0478,33,2007052941,2004643132,2003050478
07PE00018,07,05,H2942,05,H1611,05,H2404,30,2007052942,2005051611,2006052404
07PE00019,07,05,H2943,05,H1611,05,H2404,30,2007052943,2005051611,2006052404
07PE00020,07,05,H2944,05,H1611,05,H2458,30,2007052944,2005051611,2006052458
07PE00021,07,05,H2945,05,H1611,05,H2458,30,2007052945,2005051611,2006052458
07PE00022,07,05,H2946,64,K3132,04,A8801,33,2007052946,2004643132,2001048801
07PE00023,07,05,H2947,64,K3132,04,A8801,33,2007052947,2004643132,2001048801
07PE00024,07,05,H2948,64,K3132,04,A8801,33,2007052948,2004643132,2001048801
07PE00025,07,05,H2949,05,H1611,05,H2267,30,2007052949,2005051611,2006052267
07PE00026,07,05,H2950,05,H1611,05,H2267,30,2007052950,2005051611,2006052267
