UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00001,1950113041,1948112656,1948112532,1950113041,07,2656,2532
EEPE00002,1950113042,1948910110,1948112571,1950113042,07,0110,2571
EEPE00003,1950113043,1948910110,1947112332,1950113043,07,0110,2332
EEPE00004,1950113044,1948910110,1947112332,1950113044,07,0110,2332
EEPE00005,1950113045,1947910107,1948112608,1950113045,07,0107,2608
EEPE00006,1950113046,1948910110,1946111996,1950113046,07,0110,1996
EEPE00007,1950113047,1948910110,1946111996,1950113047,07,0110,1996
EEPE00008,1950113048,1948910110,1948112518,1950113048,07,0110,2518
EEPE00009,1950113049,1948112531,1946112129,1950113049,07,2531,2129
EEPE00010,1950113050,1947112377,1948112561,1950113050,07,2377,2561
EEPE00011,1950113051,1948910110,1947112241,1950113051,07,0110,2241
EEPE00012,1950113052,1947112232,1945111878,1950113052,07,2232,1878
EEPE00013,1950113053,1947112296,1948112577,1950113053,07,2296,2577
EEPE00014,1950113054,1947910106,1948112607,1950113054,07,0106,2607
EEPE00015,1950113055,1947112232,1945111731,1950113055,07,2232,1731
EEPE00016,1950113056,1947112296,1948112634,1950113056,07,2296,2634
EEPE00017,1950113057,1947112232,1947112295,1950113057,07,2232,2295
EEPE00018,1950113058,1948112531,1948112575,1950113058,07,2531,2575
EEPE00019,1950113059,1948910110,1947112230,1950113059,07,0110,2230
EEPE00020,1950113060,1947112296,1947112422,1950113060,07,2296,2422
EEPE00021,1950113061,1947910107,1943111243,1950113061,07,0107,1243
EEPE00022,1950113062,1947910107,1948112752,1950113062,07,0107,2752
EEPE00023,1950113063,1947910106,1946111948,1950113063,07,0106,1948
EEPE00024,1950113064,1948112656,1948112619,1950113064,07,2656,2619
EEPE00025,1950113065,1948910110,1947112433,1950113065,07,0110,2433
EEPE00026,1950113066,1948112744,1948112643,1950113066,07,2744,2643
EEPE00027,1950113067,1948112744,1947112453,1950113067,07,2744,2453
EEPE00028,1950113068,1948112594,1948112639,1950113068,07,2594,2639
EEPE00029,1950113069,1948112740,1947112260,1950113069,07,2740,2260
EEPE00030,1950113070,1947112296,1946112202,1950113070,07,2296,2202
EEPE00031,1950113071,1947910107,1945111717,1950113071,07,0107,1717
EEPE00032,1950113072,1947112232,1946111972,1950113072,07,2232,1972
EEPE00033,1950113073,1947910107,1948112573,1950113073,07,0107,2573
EEPE00034,1950113074,1948910110,1944111459,1950113074,07,0110,1459
EEPE00035,1950113075,1947112232,1948112516,1950113075,07,2232,2516
EEPE00036,1950113076,1947112232,1948112546,1950113076,07,2232,2546
EEPE00037,1950113077,1948112594,1946112057,1950113077,07,2594,2057
EEPE00038,1950113078,1947910107,1946112005,1950113078,07,0107,2005
EEPE00039,1950113079,1947112232,1948112625,1950113079,07,2232,2625
EEPE00040,1950113080,1947910106,1942111089,1950113080,07,0106,1089
EEPE00041,1950113081,1947910106,1942111089,1950113081,07,0106,1089
EEPE00042,1950113082,1948112531,1944111472,1950113082,07,2531,1472
EEPE00043,1950113083,1948112531,1944111472,1950113083,07,2531,1472
EEPE00044,1950113084,1948112531,1945111872,1950113084,07,2531,1872
EEPE00045,1950113085,1947112296,1946112135,1950113085,07,2296,2135
EEPE00046,1950113086,1947112296,1946112135,1950113086,07,2296,2135
EEPE00047,1950113087,1948112656,1948112533,1950113087,07,2656,2533
EEPE00048,1950113088,1948112531,1944111484,1950113088,07,2531,1484
EEPE00049,1950113089,1948112744,1946112115,1950113089,07,2744,2115
EEPE00050,1950113090,1948112531,1946112091,1950113090,07,2531,2091
EEPE00051,1950113091,1948112531,1944111523,1950113091,07,2531,1523
EEPE00052,1950113092,1947910107,1948112720,1950113092,07,0107,2720
EEPE00053,1950113093,1948112740,1948112638,1950113093,07,2740,2638
EEPE00054,1950113094,1947910106,1944111418,1950113094,07,0106,1418
EEPE00055,1950113095,1947910106,1944111418,1950113095,07,0106,1418
EEPE00056,1950113096,1947910107,1947112307,1950113096,07,0107,2307
EEPE00057,1950113097,         0,1947112228,1950113097,07,   0,2228
EEPE00058,1950113098,1947910107,1945111913,1950113098,07,0107,1913
EEPE00059,1950113099,1947112296,1942110930,1950113099,07,2296,0930
EEPE00060,1950113100,1948112531,1942110974,1950113100,07,2531,0974
EEPE00061,1950113101,1948112531,1946111999,1950113101,07,2531,1999
EEPE00062,1950113102,1948112531,1942111057,1950113102,07,2531,1057
EEPE00063,1950113103,1948112531,1947112418,1950113103,07,2531,2418
