UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00001,50130882,48000000,43135552,1950130882,US00485552,1943135552,50,13,0882,48,00,0000,43,13,5552
50PE00002,50130760,48000000,43135905,1950130760,US00485905,1943135905,50,13,0760,48,00,0000,43,13,5905
50PE00003,50131037,48000000,44136319,1950131037,US00486319,1944136319,50,13,1037,48,00,0000,44,13,6319
50PE00004,50130914,48000000,44136713,1950130914,US00486713,1944136713,50,13,0914,48,00,0000,44,13,6713
50PE00005,50130773,48000000,44136718,1950130773,US00486718,1944136718,50,13,0773,48,00,0000,44,13,6718
50PE00006,50131015,48000000,45137725,1950131015,US00487725,1945137725,50,13,1015,48,00,0000,45,13,7725
50PE00007,50131125,48000000,46137874,1950131125,US00487874,1946137874,50,13,1125,48,00,0000,46,13,7874
50PE00008,50130808,48000000,46138106,1950130808,US00488106,1946138106,50,13,0808,48,00,0000,46,13,8106
50PE00009,50130844,48000000,46138230,1950130844,US00488230,1946138230,50,13,0844,48,00,0000,46,13,8230
50PE00010,50131044,48000000,46138278,1950131044,US00488278,1946138278,50,13,1044,48,00,0000,46,13,8278
50PE00011,50130733,48000000,46138287,1950130733,US00488287,1946138287,50,13,0733,48,00,0000,46,13,8287
50PE00012,50130917,48000000,47138715,1950130917,US00488715,1947138715,50,13,0917,48,00,0000,47,13,8715
50PE00013,50131367,48000000,47138729,1950131367,US00488729,1947138729,50,13,1367,48,00,0000,47,13,8729
50PE00014,50130984,48000000,47138771,1950130984,US00488771,1947138771,50,13,0984,48,00,0000,47,13,8771
50PE00015,50130862,48000000,47138980,1950130862,US00488980,1947138980,50,13,0862,48,00,0000,47,13,8980
50PE00016,50131025,48000000,47139162,1950131025,US00489162,1947139162,50,13,1025,48,00,0000,47,13,9162
50PE00017,50131435,48000000,48139361,1950131435,US00489361,1948139361,50,13,1435,48,00,0000,48,13,9361
50PE00018,50130819,48000000,48139365,1950130819,US00489365,1948139365,50,13,0819,48,00,0000,48,13,9365
50PE00019,50131423,48000000,48139453,1950131423,US00489453,1948139453,50,13,1423,48,00,0000,48,13,9453
50PE00020,50130891,48000000,48139638,1950130891,US00489638,1948139638,50,13,0891,48,00,0000,48,13,9638
50PE00021,50130832,48000000,48139667,1950130832,US00489667,1948139667,50,13,0832,48,00,0000,48,13,9667
50PE00022,50130750,48000000,48139712,1950130750,US00489712,1948139712,50,13,0750,48,00,0000,48,13,9712
50PE00023,50130807,48000000,48139715,1950130807,US00489715,1948139715,50,13,0807,48,00,0000,48,13,9715
50PE00024,50130845,48000000,48139728,1950130845,US00489728,1948139728,50,13,0845,48,00,0000,48,13,9728
