UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YYYY,LAMB_BRD,LAMB_ETAG,SIRE_YYYY,SIRE_BRD,SIRE_ETAG,DAM_YYYY,DAM_BRD,DAM_ETAG,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
95PE00001,95000001,93000000,90100619,1995000001,US00930619,1990100619,1995,00,0001,1993,00,0000,1990,10,0619,0,0
95PE00002,95000002,93000000,92102351,1995000002,US00932351,1992102351,1995,00,0002,1993,00,0000,1992,10,2351,0,0
95PE00003,95041762,93039716,94040858,1995041762,1993039716,1994040858,1995,04,1762,1993,03,9716,1994,04,0858,0,0
95PE00004,95041763,93039716,94041250,1995041763,1993039716,1994041250,1995,04,1763,1993,03,9716,1994,04,1250,0,0
95PE00005,95041764,93039716,94041085,1995041764,1993039716,1994041085,1995,04,1764,1993,03,9716,1994,04,1085,0,0
95PE00006,95041765,93039716,94041085,1995041765,1993039716,1994041085,1995,04,1765,1993,03,9716,1994,04,1085,0,0
95PE00007,95041766,93039716,94040774,1995041766,1993039716,1994040774,1995,04,1766,1993,03,9716,1994,04,0774,0,0
95PE00008,95041767,93039716,94040719,1995041767,1993039716,1994040719,1995,04,1767,1993,03,9716,1994,04,0719,0,0
95PE00009,95041768,93039720,93040051,1995041768,1993039720,1993040051,1995,04,1768,1993,03,9720,1993,04,0051,0,0
95PE00010,95041769,94637245,93039807,1995041769,1994637245,1993039807,1995,04,1769,1994,63,7245,1993,03,9807,0,0
95PE00011,95041770,93040560,93040445,1995041770,1993040560,1993040445,1995,04,1770,1993,04,0560,1993,04,0445,0,0
95PE00012,95041771,92009217,87031622,1995041771,1992009217,1987031622,1995,04,1771,1992,00,9217,1987,03,1622,0,0
95PE00013,95041772,92009217,87031622,1995041772,1992009217,1987031622,1995,04,1772,1992,00,9217,1987,03,1622,0,0
95PE00014,95041773,93039898,90034873,1995041773,1993039898,1990034873,1995,04,1773,1993,03,9898,1990,03,4873,0,0
95PE00015,95041774,93039898,90034873,1995041774,1993039898,1990034873,1995,04,1774,1993,03,9898,1990,03,4873,0,0
95PE00016,95041775,93039716,94040911,1995041775,1993039716,1994040911,1995,04,1775,1993,03,9716,1994,04,0911,0,0
95PE00017,95041776,93040485,93040252,1995041776,1993040485,1993040252,1995,04,1776,1993,04,0485,1993,04,0252,0,0
95PE00018,95041777,93040485,93040252,1995041777,1993040485,1993040252,1995,04,1777,1993,04,0485,1993,04,0252,0,0
95PE00019,95041778,93039883,90034699,1995041778,1993039883,1990034699,1995,04,1778,1993,03,9883,1990,03,4699,0,0
95PE00020,95041779,93039883,90034699,1995041779,1993039883,1990034699,1995,04,1779,1993,03,9883,1990,03,4699,0,0
95PE00021,95041780,93040099,92038869,1995041780,1993040099,1992038869,1995,04,1780,1993,04,0099,1992,03,8869,0,0
95PE00022,95041781,93040099,92038869,1995041781,1993040099,1992038869,1995,04,1781,1993,04,0099,1992,03,8869,0,0
95PE00023,95041782,91810468,87031641,1995041782,1991810468,1987031641,1995,04,1782,1991,81,0468,1987,03,1641,0,0
95PE00024,95041783,91810468,87031641,1995041783,1991810468,1987031641,1995,04,1783,1991,81,0468,1987,03,1641,0,0
95PE00025,95041784,91810468,87031641,1995041784,1991810468,1987031641,1995,04,1784,1991,81,0468,1987,03,1641,0,0
95PE00026,95041785,93040038,91036655,1995041785,1993040038,1991036655,1995,04,1785,1993,04,0038,1991,03,6655,0,0
