UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID,ID10,SIREID10,DAMID10,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
21PE00001,21,06,A1054,06,A0013,06,A0432,30,2021061054,2018060013,2019060432,2021061054,2018060013,2019060432,0,0
21PE00002,21,06,A1055,06,A0397,06,A0512,30,2021061055,2019060397,2019060512,2021061055,2019060397,2019060512,0,0
21PE00003,21,06,A1056,06,A0397,06,A0512,30,2021061056,2019060397,2019060512,2021061056,2019060397,2019060512,0,0
21PE00004,21,06,A1057,06,A0013,05,H9692,30,2021061057,2018060013,2017059692,2021061057,2018060013,2017059692,0,0
21PE00005,21,06,A1058,06,A0013,05,H9692,30,2021061058,2018060013,2017059692,2021061058,2018060013,2017059692,0,0
21PE00006,21,06,A1059,06,A0645,05,H8571,30,2021061059,2019060645,2014058571,2021061059,2019060645,2014058571,0,0
21PE00007,21,06,A1060,06,A0645,05,H8571,30,2021061060,2019060645,2014058571,2021061060,2019060645,2014058571,0,0
21PE00008,21,06,A1061,06,A0645,05,H8571,30,2021061061,2019060645,2014058571,2021061061,2019060645,2014058571,0,0
21PE00009,21,06,A1062,06,A0013,06,A0354,30,2021061062,2018060013,2019060354,2021061062,2018060013,2019060354,0,0
21PE00010,21,06,A1063,06,A0678,06,A0435,30,2021061063,2019060678,2019060435,2021061063,2019060678,2019060435,0,0
21PE00011,21,06,A1064,06,A0678,06,A0435,30,2021061064,2019060678,2019060435,2021061064,2019060678,2019060435,0,0
21PE00012,21,06,A1065,06,A0645,06,A0433,30,2021061065,2019060645,2019060433,2021061065,2019060645,2019060433,0,0
21PE00013,21,06,A1066,06,A0645,06,A0433,30,2021061066,2019060645,2019060433,2021061066,2019060645,2019060433,0,0
21PE00014,21,06,A1067,06,A0645,06,A0433,30,2021061067,2019060645,2019060433,2021061067,2019060645,2019060433,0,0
21PE00015,21,06,A1068,06,A0699,06,A0499,30,2021061068,2019060699,2019060499,2021061068,2019060699,2019060499,0,0
21PE00016,21,06,A1069,06,A0699,06,A0443,30,2021061069,2019060699,2019060443,2021061069,2019060699,2019060443,0,0
21PE00017,21,06,A1070,06,A0397,06,A0564,30,2021061070,2019060397,2019060564,2021061070,2019060397,2019060564,0,0
21PE00018,21,06,A1071,06,A0397,06,A0564,30,2021061071,2019060397,2019060564,2021061071,2019060397,2019060564,0,0
21PE00019,21,06,A1072,06,A0645,51,M0098,30,2021061072,2019060645,2018510098,2021061072,2019060645,2018510098,0,0
21PE00020,21,06,A1073,06,A0645,51,M0098,30,2021061073,2019060645,2018510098,2021061073,2019060645,2018510098,0,0
21PE00021,21,06,A1074,06,A0013,06,A0287,30,2021061074,2018060013,2018060287,2021061074,2018060013,2018060287,0,0
21PE00022,21,06,A1075,06,A0013,06,A0287,30,2021061075,2018060013,2018060287,2021061075,2018060013,2018060287,0,0
21PE00023,21,06,A1076,06,A0013,06,A0287,30,2021061076,2018060013,2018060287,2021061076,2018060013,2018060287,0,0
