original_id10,hx_id10,birth_year,breed,etag
1939401467,HX00000001,1939,40,1467
1939670331,HX00000002,1939,67,0331
1940171856,HX00000003,1940,17,1856
1940401782,HX00000004,1940,40,1782
1940401843,HX00000005,1940,40,1843
1941133934,HX00000006,1941,13,3934
1941134093,HX00000007,1941,13,4093
1941134291,HX00000008,1941,13,4291
1941134370,HX00000009,1941,13,4370
1941172776,HX00000010,1941,17,2776
1941402001,HX00000011,1941,40,2001
1941680753,HX00000012,1941,68,0753
1942110868,HX00000013,1942,11,0868
1942110906,HX00000014,1942,11,0906
1942110930,HX00000015,1942,11,0930
1942110962,HX00000016,1942,11,0962
1942110974,HX00000017,1942,11,0974
1942110981,HX00000018,1942,11,0981
1942111054,HX00000019,1942,11,1054
1942111057,HX00000020,1942,11,1057
1942111084,HX00000021,1942,11,1084
1942111089,HX00000022,1942,11,1089
1942134568,HX00000023,1942,13,4568
1942134624,HX00000024,1942,13,4624
1942134640,HX00000025,1942,13,4640
1942134720,HX00000026,1942,13,4720
1942134731,HX00000027,1942,13,4731
1942134733,HX00000028,1942,13,4733
1942134807,HX00000029,1942,13,4807
1942134836,HX00000030,1942,13,4836
1942135011,HX00000031,1942,13,5011
1942135013,HX00000032,1942,13,5013
1942135023,HX00000033,1942,13,5023
1942135157,HX00000034,1942,13,5157
1942135161,HX00000035,1942,13,5161
1942135176,HX00000036,1942,13,5176
1942135179,HX00000037,1942,13,5179
1942135189,HX00000038,1942,13,5189
1942135252,HX00000039,1942,13,5252
1942135287,HX00000040,1942,13,5287
1942135290,HX00000041,1942,13,5290
1942135292,HX00000042,1942,13,5292
1942135294,HX00000043,1942,13,5294
1942135350,HX00000044,1942,13,5350
1942135372,HX00000045,1942,13,5372
1942172979,HX00000046,1942,17,2979
1942173126,HX00000047,1942,17,3126
1942173130,HX00000048,1942,17,3130
1942173131,HX00000049,1942,17,3131
1942173194,HX00000050,1942,17,3194
1942173209,HX00000051,1942,17,3209
1942173222,HX00000052,1942,17,3222
1942173233,HX00000053,1942,17,3233
1942173277,HX00000054,1942,17,3277
1942173392,HX00000055,1942,17,3392
1942173481,HX00000056,1942,17,3481
1942173495,HX00000057,1942,17,3495
1942173532,HX00000058,1942,17,3532
1942173560,HX00000059,1942,17,3560
1942173750,HX00000060,1942,17,3750
1942402215,HX00000061,1942,40,2215
1942402250,HX00000062,1942,40,2250
1942402265,HX00000063,1942,40,2265
1942402304,HX00000064,1942,40,2304
1942603914,HX00000065,1942,60,3914
1942603942,HX00000066,1942,60,3942
1942603996,HX00000067,1942,60,3996
1942604077,HX00000068,1942,60,4077
1942604147,HX00000069,1942,60,4147
1942604168,HX00000070,1942,60,4168
1942670810,HX00000071,1942,67,0810
1942670815,HX00000072,1942,67,0815
1942670857,HX00000073,1942,67,0857
1942670958,HX00000074,1942,67,0958
1942670964,HX00000075,1942,67,0964
1942680781,HX00000076,1942,68,0781
1942690361,HX00000077,1942,69,0361
1942690391,HX00000078,1942,69,0391
1943111173,HX00000079,1943,11,1173
1943111191,HX00000080,1943,11,1191
1943111211,HX00000081,1943,11,1211
1943111225,HX00000082,1943,11,1225
1943111229,HX00000083,1943,11,1229
1943111243,HX00000084,1943,11,1243
1943111297,HX00000085,1943,11,1297
1943111298,HX00000086,1943,11,1298
1943111333,HX00000087,1943,11,1333
1943111373,HX00000088,1943,11,1373
1943135479,HX00000089,1943,13,5479
1943135481,HX00000090,1943,13,5481
1943135483,HX00000091,1943,13,5483
1943135511,HX00000092,1943,13,5511
1943135544,HX00000093,1943,13,5544
1943135552,HX00000094,1943,13,5552
1943135555,HX00000095,1943,13,5555
1943135557,HX00000096,1943,13,5557
1943135585,HX00000097,1943,13,5585
1943135600,HX00000098,1943,13,5600
1943135606,HX00000099,1943,13,5606
1943135630,HX00000100,1943,13,5630
1943135678,HX00000101,1943,13,5678
1943135698,HX00000102,1943,13,5698
1943135725,HX00000103,1943,13,5725
1943135783,HX00000104,1943,13,5783
1943135822,HX00000105,1943,13,5822
1943135882,HX00000106,1943,13,5882
1943135887,HX00000107,1943,13,5887
1943135905,HX00000108,1943,13,5905
1943135916,HX00000109,1943,13,5916
1943135918,HX00000110,1943,13,5918
1943135953,HX00000111,1943,13,5953
1943135958,HX00000112,1943,13,5958
1943136087,HX00000113,1943,13,6087
1943136088,HX00000114,1943,13,6088
1943136093,HX00000115,1943,13,6093
1943136107,HX00000116,1943,13,6107
1943136111,HX00000117,1943,13,6111
1943136118,HX00000118,1943,13,6118
1943136127,HX00000119,1943,13,6127
1943136149,HX00000120,1943,13,6149
1943173793,HX00000121,1943,17,3793
1943173801,HX00000122,1943,17,3801
1943173820,HX00000123,1943,17,3820
1943173837,HX00000124,1943,17,3837
1943173868,HX00000125,1943,17,3868
1943173898,HX00000126,1943,17,3898
1943173917,HX00000127,1943,17,3917
1943173948,HX00000128,1943,17,3948
1943173986,HX00000129,1943,17,3986
1943174003,HX00000130,1943,17,4003
1943174027,HX00000131,1943,17,4027
1943174035,HX00000132,1943,17,4035
1943174091,HX00000133,1943,17,4091
1943174128,HX00000134,1943,17,4128
1943174147,HX00000135,1943,17,4147
1943174192,HX00000136,1943,17,4192
1943174228,HX00000137,1943,17,4228
1943174314,HX00000138,1943,17,4314
1943174340,HX00000139,1943,17,4340
1943174365,HX00000140,1943,17,4365
1943402421,HX00000141,1943,40,2421
1943402424,HX00000142,1943,40,2424
1943402470,HX00000143,1943,40,2470
1943402472,HX00000144,1943,40,2472
1943402535,HX00000145,1943,40,2535
1943402537,HX00000146,1943,40,2537
1943402541,HX00000147,1943,40,2541
1943402620,HX00000148,1943,40,2620
