UID,LAMB,SIRE,DAM
59PE00001,59102216,57115017,54101728
59PE00002,59102217,57115017,54101728
59PE00003,59102218,57115017,54101728
59PE00004,59102219,56142933,54101759
59PE00005,59102220,56142933,54101759
59PE00006,59102221,56143198,54101743
59PE00007,59102222,56143198,54101743
59PE00008,59102223,57143891,55101816
59PE00009,59102224,57143891,55101816
59PE00010,59102225,57143455,52101685
59PE03464,59900093,57980000,57411886
59PE03465,59900094,57980000,56410711
59PE03466,59900095,57980000,55482024
59PE03467,59900096,57980000,53609117
59PE03468,59900097,57980000,52608766
59PE03469,59900098,57980000,52406873
59PE03470,59900099,57980000,52406873
59PE03471,59900100,57980000,57411944
59PE03472,59900101,57610000,57114886
59PE03473,59900102,57980000,55409700
