UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM
00PE00001,00000001,97044849,99090071,00,00,00001,04,A4849,09,90071
00PE00002,00000002,97044849,99090005,00,00,00002,04,A4849,09,90005
00PE00003,00000003,98008036,99090333,00,00,00003,00, 8036,09,90333
00PE00004,00000004,98008036,99090333,00,00,00004,00, 8036,09,90333
00PE00005,00000005,98008036,99091149,00,00,00005,00, 8036,09,91149
00PE00006,00000006,98008036,99091149,00,00,00006,00, 8036,09,91149
00PE00007,00000007,97044849,99090833,00,00,00007,04,A4849,09,90833
00PE00008,00000008,98109166,99090256,00,00,00008,10,S9166,09,90256
00PE00009,00000009,98109166,99090256,00,00,00009,10,S9166,09,90256
00PE00010,00000010,98008036,99090035,00,00,00010,00, 8036,09,90035
00PE05686,00816974,98970000,97044134,00,81,Z6974,97,00000,04,A4134
00PE05687,00816975,98814741,99815532,00,81,Z6975,81,Z4741,81,Z5532
00PE05688,00816976,98970000,96445668,00,81,Z6976,97,00000,44,T5668
00PE05689,00816977,98970000,96445668,00,81,Z6977,97,00000,44,T5668
00PE05690,00816978,98970000,97446093,00,81,Z6978,97,00000,44,T6093
00PE05691,00816979,98970000,97446093,00,81,Z6979,97,00000,44,T6093
00PE05692,00816980,98970000,97639380,00,81,Z6980,97,00000,63,K9380
00PE05693,00816981,98970000,93443825,00,81,Z6981,97,00000,44,T3825
00PE05694,00816982,98640386,99110680,00,81,Z6982,64,K0386,11,R0680
00PE05695,00816983,98970000,96106960,00,81,Z6983,97,00000,10,S6960
