UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
19PE00001,19,83,Z7154,45,T6556,45,T4510,02,2019837154,2016456556,2012454510
19PE00002,19,06,A0347,05,H9917,05,H9692,30,2019060347,2017059917,2017059692
19PE00003,19,06,A0348,05,H9917,05,H9692,30,2019060348,2017059917,2017059692
19PE00004,19,06,A0349,05,H9845,05,H9647,30,2019060349,2017059845,2017059647
19PE00005,19,06,A0350,05,H9845,05,H9647,30,2019060350,2017059845,2017059647
19PE00006,19,06,A0351,05,H9879,05,H9194,30,2019060351,2017059879,2015059194
19PE00007,19,06,A0352,05,H9879,05,H9194,30,2019060352,2017059879,2015059194
19PE00008,19,06,A0353,05,H9641,05,H9653,30,2019060353,2017059641,2017059653
19PE00009,19,06,A0354,05,H9641,05,H9653,30,2019060354,2017059641,2017059653
19PE00010,19,06,A0355,05,H9917,05,H9443,30,2019060355,2017059917,2016059443
19PE02942,19,83,Z7461,64,K0000,45,T7076,05,2019837461,         0,2018457076
19PE02943,19,83,Z7462,83,Z0000,83,Z5987,00,2019837462,         0,2018835987
19PE02944,19,83,Z7463,83,Z0000,83,Z4013,10,2019837463,         0,2016834013
19PE02945,19,83,Z7464,83,Z0000,83,Z4013,10,2019837464,         0,2016834013
19PE02946,19,83,Z7465,83,Z0000,12,S1513,10,2019837465,         0,2018121513
19PE02947,19,83,Z7466,70,L0000,83,Z6096,LT,2019837466,         0,2018836096
19PE02948,19,83,Z7467,83,Z0000,12,S0250,10,2019837467,         0,2014120250
19PE02949,19,83,Z7468,83,Z0000,12,S0250,10,2019837468,         0,2014120250
19PE02950,19,83,Z7469,83,Z0000,12,S0250,10,2019837469,         0,2014120250
19PE02951,19,83,Z7470,83,Z0000,12,S1845,00,2019837470,         0,2018121845
