UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00001,1950113041,1948112656,1948112532,1950113041,07,2656,2532
EEPE00002,1950113042,1948910110,1948112571,1950113042,07,0110,2571
EEPE00003,1950113043,1948910110,1947112332,1950113043,07,0110,2332
EEPE00004,1950113044,1948910110,1947112332,1950113044,07,0110,2332
EEPE00005,1950113045,1947910107,1948112608,1950113045,07,0107,2608
EEPE00006,1950113046,1948910110,1946111996,1950113046,07,0110,1996
EEPE00007,1950113047,1948910110,1946111996,1950113047,07,0110,1996
EEPE00008,1950113048,1948910110,1948112518,1950113048,07,0110,2518
EEPE00009,1950113049,1948112531,1946112129,1950113049,07,2531,2129
EEPE00010,1950113050,1947112377,1948112561,1950113050,07,2377,2561
EEPE307688,2024842409,         0,2023704046,2024842409,00,   0,4046
EEPE307689,2024842410,         0,2023458323,2024842410,00,   0,8323
EEPE307690,2024842411,         0,2016121095,2024842411,LR,   0,1095
EEPE307691,2024842412,         0,2016121095,2024842412,LR,   0,1095
EEPE307692,2024842413,         0,2023458248,2024842413,00,   0,8248
EEPE307693,2024842414,         0,2023841077,2024842414,00,   0,1077
EEPE307694,2024842415,         0,2023841302,2024842415,00,   0,1302
EEPE307695,2024842416,         0,2023841302,2024842416,00,   0,1302
EEPE307696,2024842417,         0,2021457793,2024842417,LT,   0,7793
EEPE307697,2024842418,         0,2021457793,2024842418,LT,   0,7793
