UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN00001,0,00001,00,00001,08,1,,,Tx,,,,,,,,,,,M,,0,0,0,,,,,,,2.0,Tx,,,0,,,0.0,,2010
10IN00002,0,00026,00,00026,07,1,,,07,,,,,,,,,3,,M,,0,0,0,,93,0304,,,,3.0,B. ovis pos.,,,0,,,0.0,,2010
10IN00003,0,00027,00,00027,08,1,,,Tx,,,,,,,,,3,,M,,0,0,0,,93,0115,,,,2.0,B. ovis pos.,,,0,,,0.0,,2010
10IN00004,0,00091,00,00091,08,1,,,Tx,,,,,,,,,,,M,,0,0,0,,,,,,,2.0,Tx,,,0,,,0.0,,2010
10IN00005,0,00639,00,00639,06,1,00,1,Tx,,,,,,0,,,,.,M,.,0,0,0,,,,.,,,4.0,SMALL,Term,,0,1,OR59,0.0,,2010
10IN00006,2007000647,00647,00,00647,07,1,,,30,,,,,,,,,3,,M,,0,0,0,,93,0304,,,,3.0,B. ovis pos.,,,0,,,0.0,,2010
10IN00007,2007000712,00712,00,00712,07,1,,,30,,,,,,,,,3,,M,,0,0,0,,93,0115,,,,3.0,B. ovis pos.,,,0,,,0.0,,2010
10IN00008,2007000740,00740,00,00740,07,1,,,30,,,,,,,,,,,M,,0,0,0,,,,,,,3.0,Purchased,,,0,,,0.0,,2010
10IN00009,2003303022,03022,30,03022,03,2,00,2,33,FL-,K0000,64,A6732,04,7,,,3,RN,T,.,0,188,2,,93,1019,X,,,6.5,,CxP,Albmn,9930,1,,0.0,,2010
10IN00010,2003303058,03058,30,03058,03,2,00,2,33,FL-,K0000,64,A8751,04,7,,,6,RN,T,.,0,0,0,,09,0324,X,,,6.5,TRM CSECTION,CxP,Albmn,0,1,,0.0,,2010
10IN00011,2003303060,03060,30,03060,03,2,00,2,33,FL-,K0000,64,A5606,04,7,,,3,RN,T,.,0,239,2,,93,1019,X,,,6.5,,CxP,Albmn,9852,1,,0.0,,2010
10IN00012,2003303083,03083,30,03083,03,2,00,2,33,FL-,K0000,64,A2884,04,7,,,3,RN,T,.,0,174,2,,93,1019,X,,,6.5,Lazarus,CxP,Albmn,9840,1,,0.0,,2010
10IN00013,2003303085,03085,30,03085,03,2,00,2,33,FL-,K0000,64,A5320,04,7,,,3,RN,T,.,0,152,2,,93,1019,X,,,6.5,,CxP,,9968,1,,0.0,,2010
10IN00014,2003303160,03160,30,03160,03,2,00,2,33,FL-,K0000,64,A3952,04,7,,,O,OVX,D,.,181,0,0,,,,X,Ovx,O,6.5,LATEtoMIL,CxP,,0,1,,0.0,,2010
10IN00015,0,07022,00,07022,07,1,,,07,,,,,,,,,,,M,,0,0,0,,,,,,,3.0,Purchased,,,0,,,0.0,,2010
10IN00016,2007007142,07142,00,07142,07,1,,,30,,,,,,,,,3,,M,,0,0,0,,93,0115,,,,3.0,B. ovis pos.,,,0,,,0.0,,2010
10IN00017,0,07234,00,07234,07,1,,,07,,,,,,,,,3,,M,,258,0,0,,93,1212,,,,3.0,Purchased,,,0,,,0.0,,2010
10IN00018,0,08110,00,08110,08,1,,,97,,,,,,,,,6,,M,,0,0,0,,67,0219,,,,2.0,Lookslikeshit,,,0,,,0.0,,2010
10IN00019,2005003101,03101,00,03101,05,2,m3,1,m3,,03278,00,03030,00,0,,,3,III,H,.,138,205,1,,93,1019,.,,,5.0,NE23-5031,marc,,3101,5,NE23,0.0,AI-JA,2010
10IN00020,2005003178,03178,00,03178,05,2,m3,1,m3,,03183,00,03403,00,0,,,3,III,3,.,171,147,2,,93,1019,.,,,5.0,NE23-5031,marc,,9906,5,NE23,0.0,AI-JA,2010
10IN00021,2005003193,03193,00,03193,05,2,m3,1,m3,,03288,00,03760,00,0,,,3,III,D,.,168,196,1,,93,1007,.,,,5.0,NE23-5031,marc,,3193,5,NE23,0.0,AI-JA,2010
