UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
09LA00001,09,A8662,04,82,AI,X0000,82,8.0,,30,00,1,0,y,X,030909,68,8,0,3,7.5,1,2,X7198,82,,00,6,70,93,,8,DIED,4TEATS,1,1,..,AI,J,1,,1,1,2,1,0,0.0,0,2009-03-09,0.0,,,,,
09LA00002,09,A8662,04,82,AI,X0000,82,8.0,,30,00,1,0,y,X,030909,68,8,0,3,7.4,5,1,X7199,82,,00,6,70,93,,8,.,BORN AT MLAKE,1,1,..,AI,J,2,,0,0,0,1,0,0.0,0,2009-03-09,0.0,,,,,
09LA00003,09,H3954,05,88,e22,H3126,05,1.0,,30,30,4,0,y,.,030609,65,2,0,2,0.0,1,1,,,,30,0,65,27,,,.,.,.,.,..,.,J,1,,1,1,2,0,0,0.0,0,2009-03-06,0.068,,,,,
09LA00004,09,H3954,05,88,e22,H3126,05,1.0,,30,30,4,0,y,.,030609,65,2,0,2,0.0,1,1,,,,30,0,65,27,,,.,.,.,.,..,.,J,2,,0,0,0,0,0,0.0,0,2009-03-06,0.068,,,,,
09LA00005,09,R6517,11,18,57,R6538,11,3.0,,07,07,2,0,N,.,030909,68,2,0,2,0.0,1,1,,,,07,0,68,27,,,.,.,.,.,..,PTH,J,1,,1,1,2,0,0,0.0,0,2009-03-09,0.037,,,,,
09LA00006,09,R6517,11,18,57,R6538,11,3.0,,07,07,2,0,N,.,030909,68,2,0,1,0.0,1,1,,,,07,0,68,27,,,.,.,.,.,..,PTH,J,2,,0,0,0,0,0,0.0,0,2009-03-09,0.037,,,,,
09LA00007,09,H3111,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,030509,64,2,0,2,0.0,1,1,,,,30,0,64,27,,,.,.,.,.,..,BLD,J,1,,1,1,2,0,0,0.0,0,2009-03-05,0.053,,,,,
09LA00008,09,H3111,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,030509,64,2,0,1,0.0,1,1,,,,30,0,64,27,,,.,.,.,.,..,BLD,J,2,,0,0,0,0,0,0.0,0,2009-03-05,0.053,,,,,
09LA00009,09,Z9747,81,00,br1,X0000,82,6.0,,33,00,1,0,y,X,011809,18,5,4,2,16.0,2,1,X7197,82,,00,,,,,,MARC3 LOOKING,HAIRY,.,.,..,BR1,J,1,,1,1,1,1,1,1.0,82,2009-01-18,0.0,59,113,1,108,182
09LA00010,09,K4143,64,6M,17,00625,00,2.0,,06,97,1,0,N,M,031109,70,9,0,1,6.2,5,1,,,,SC,1,70,44,,,DOWN,DEAD,7,5,..,Mat,J,1,,1,1,3,0,0,0.0,0,2009-03-11,0.0,,,,,
09LA00011,09,K4143,64,6M,17,00625,00,2.0,,06,97,1,0,N,M,031109,70,9,0,1,5.8,5,1,,,,SC,1,70,44,,,.,DEAD,7,5,..,Mat,J,2,,0,0,0,0,0,0.0,0,2009-03-11,0.0,,,,,
09LA00012,09,K4143,64,6M,17,00625,00,2.0,,06,97,1,0,N,M,031109,70,9,0,1,6.4,5,1,,,,SC,1,70,44,,,.,DEAD,7,5,..,Mat,J,3,,0,0,0,0,0,0.0,0,2009-03-11,0.0,,,,,
09LA00013,09,X5276,82,97,18,07027,00,2.0,,97,Tx,1,0,N,.,031109,70,7,2,2,8.4,5,2,X7200,82,,TS,7,179,97,,,.,.,1,1,..,.,J,1,,1,1,2,1,0,0.0,0,2009-03-11,0.0,30,113,H,,
09LA00014,09,X5276,82,97,18,07027,00,2.0,,97,Tx,1,0,N,.,031109,70,7,2,1,8.0,5,2,,,,TS,1,71,44,,,.,DEAD,1,1,..,.,J,2,,0,0,0,0,0,0.0,0,2009-03-11,0.0,,,,,
09LA00015,09,T0602,45,48,24,T1319,45,4.0,,02,02,1,0,N,.,031209,71,0,0,.,0.0,1,1,,,,02,0,71,27,,,LAMBCUTOUTDEAD,DYS 8&4 FROZE,7,5,..,SPG,J,1,,1,1,1,0,0,0.0,0,2009-03-12,0.03,,,,,
