ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
D12LA00001,12LA00001,12,H4805,05,,M3,X0000,82,3.0,3,30,97,2,0,Y,.,022112,52,0,0,.,0.0,.,.,.,,,,0,52,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,MP,J,1,,1,1,1,0,0,0.0,0,2012-02-21,0.0,,,,,
D12LA00002,12LA00002,12,X5812,82,97,15,K4438,64,4.0,4,97,06,1,0,N,.,022312,54,9,0,.,0.0,.,.,.,,,,0,54,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,3,0,0,0.0,0,2012-02-23,0.0,,,,,
D12LA00003,12LA00003,12,X8791,82,,6,X7419,82,2.0,2,97,TC,1,0,N,.,022312,54,0,0,.,0.0,.,.,.,,,,0,54,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2012-02-23,0.0,,,,,
D12LA00004,12LA00004,12,H7061,05,,e10,H6258,05,1.0,1,30,30,4,0,Y,.,021512,46,0,0,.,0.0,.,.,.,,,,0,46,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2012-02-15,0.028,,,,,
D12LA00005,12LA00005,12,Z0340,83,,e6,X8686,82,1.0,1,CM,CM,4,0,N,.,021512,46,0,0,.,0.0,.,.,.,,,,0,46,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2012-02-15,0.019,,,,,
D12LA00006,12LA00006,12,Z0428,83,,e20,K0000,64,1.0,1,R3,06,4,0,Y,.,021512,46,0,0,.,0.0,.,.,.,,,,0,46,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,MP,J,1,,1,1,1,0,0,0.0,0,2012-02-15,0.0,,,,,
D12LA00007,12LA00007,12,X8947,82,00,brt,X0000,82,2.0,2,33,97,5,0,Y,.,022912,60,0,0,.,0.0,.,.,.,,,,0,60,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,brt,J,1,,1,1,1,0,0,0.0,0,2012-02-29,0.0,,,,,
D12LA00008,12LA00008,12,X8906,82,,37,X7276,82,2.0,2,SC,T3,1,0,N,.,022912,60,0,0,.,0.0,.,.,.,,,,0,60,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2012-02-29,0.003,,,,,
D12LA00009,12LA00009,12,T3213,45,,30,T3164,45,2.0,2,02,02,1,0,N,.,022912,60,0,0,.,0.0,.,.,.,,,,0,60,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2012-02-29,0.037,,,,,
D12LA00010,12LA00010,12,K4653,64,,15,K4438,64,2.0,2,06,06,1,0,N,.,022912,60,0,0,.,0.0,.,.,.,,,,0,60,27,,,ABORTED,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2012-02-29,0.065,,,,,
