ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
D13LA00001,13LA00001,13,H7448,05,,e19,H7324,05,1.0,1,30,30,4,0,Y,,021413,45,0,0,.,.,.,0.0,.,.,.,,,,0,45,27,,,ABORTED@ML,IMM,1,1,..,,M,1,,1,1,1,0,0,0.0,0,2013-02-14,0.044,,,,,
D13LA00002,13LA00002,13,L0667,70,,e9,L0289,70,1.0,1,PC,PC,4,0,N,,022113,52,0,0,.,.,.,0.0,.,.,.,,,,0,52,27,,,ABORTED@ML,IMM,1,1,..,OR,M,1,,1,1,1,0,0,0.0,0,2013-02-21,0.002,,,,,
D13LA00003,13LA00003,13,K4798,64,,1,X7486,82,2.0,2,06,TS,1,0,N,,022313,54,0,0,.,.,.,0.0,.,.,.,,,,0,54,27,,,ABORTED@ML,IMM,1,1,..,,M,1,,1,1,1,0,0,0.0,0,2013-02-23,0.0,,,,,
D13LA00004,13LA00004,13,X7120,82,99,15,Z0053,83,5.0,5,S3,C3,1,,N,,030213,61,4,0,.,.,.,0.0,.,.,.,,,,1,61,44,,,ABORTED@ML,DAB,1,1,..,OR,M,1,,1,1,2,0,0,0.0,0,2013-03-02,0.003,,,,,
2013831469,13LA00005,13,Z0760,83,,23,Z1459,00,2.0,2,97,Tx,1,0,N,,030313,62,5,2,2,0,3,9.4,5,1,Z1469,83,,TS,,,,,,LAMBED@ML,40BRN,1,1,..,GRN,M,1,,1,1,1,1,1,1.0,78,2013-03-03,0.0,39,115,3,,
D13LA00006,13LA00006,13,X7120,82,99,15,Z0053,83,5.0,5,S3,C3,1,,N,,030213,61,4,0,.,.,.,0.0,.,.,.,,,,1,61,44,,,.,DAB,1,1,..,OR,M,2,,0,0,0,0,0,0.0,0,2013-03-02,0.003,,,,,
D13LA00007,13LA00007,13,L0296,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,030713,66,4,0,2,.,.,10.4,5,1,.,,,,1,66,44,,,RP?,DAB,1,1,..,OR,J,1,,1,1,2,0,0,0.0,0,2013-03-07,0.002,,,,,
D13LA00008,13LA00008,13,L0296,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,030713,66,4,0,2,.,.,9.8,5,1,.,,,,1,66,44,,,.,DAB,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2013-03-07,0.002,,,,,
D13LA00009,13LA00009,13,L0514,70,,20,L0492,70,2.0,2,PC,PC,1,0,N,,030813,67,4,1,1,.,2,10.6,5,1,.,,,,1,67,44,,,2.DAB,DAB,1,1,..,OR,J,1,,1,1,2,0,0,0.0,0,2013-03-08,0.01,,,,,
D13LA00010,13LA00010,13,L0514,70,,20,L0492,70,2.0,2,PC,PC,1,0,N,,030813,67,4,1,2,.,2,9.0,5,1,.,,,,1,67,44,,,.,DAB,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2013-03-08,0.01,,,,,
