ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2025842419,25LA00001,25,S3969,12,,17,X0000,84,3.0,,07,00,1,0,N,,011525,15,8,1,3.0,2,3,0,2,11.0,1,1,X2419,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-15,,77,125,1,,
2025842420,25LA00002,25,S3969,12,,17,X0000,84,3.0,,07,00,1,0,N,,011525,15,8,1,3.0,2,3,0,2,12.2,1,1,X2420,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-15,,68,125,1,,
2025842421,25LA00003,25,A1548,06,,30,X0000,84,3.0,,30,00,1,0,N,,011725,17,8,1,3.0,3,3,0,2,8.8,1,1,X2421,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-17,,63,125,1,,
2025842422,25LA00004,25,A1548,06,,30,X0000,84,3.0,,30,00,1,0,N,,011725,17,8,1,3.0,3,2,0,2,9.4,1,1,X2422,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-17,,73,125,1,,
2025842423,25LA00005,25,S4034,12,,17,X0000,84,3.0,,07,00,1,0,N,,012225,22,8,1,4.5,2,2,0,4,12.8,1,1,X2423,84,,00,,,,,,.,.,1,1,..,RED,M,1,,1,1,2,1,,,,2025-01-22,,85,125,1,,
2025842424,25LA00006,25,S4034,12,,17,X0000,84,3.0,,07,00,1,0,N,,012225,22,8,1,4.5,2,2,.,.,9.8,1,1,X2424,84,,00,6,22,14,,,.,.,1,1,..,RED,M,2,,0,0,0,1,,,,2025-01-22,,,,,,
2025842425,25LA00007,25,S2963,12,,22,X0000,84,5.0,,07,00,1,0,N,,012325,23,8,1,3.0,2,3,0,2,14.5,1,1,X2425,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-23,,76,125,1,,
2025842426,25LA00008,25,S2963,12,,22,X0000,84,5.0,,07,00,1,0,N,,012325,23,8,1,3.0,2,3,0,2,14.2,1,1,X2426,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-23,,85,125,1,,
D25LA00009,25LA00009,25,Y0613,52,,e2,X0000,84,1.0,,Kt,97,4,,Y,,030125,60,2,0,0.0,0,1,.,.,0.0,.,.,.,,,,0,60,27,,,.,.,1,1,..,,J,1,,1,1,2,0,,,,2025-03-01,,,,,,
D25LA00010,25LA00010,25,Y0613,52,,e2,X0000,84,1.0,,Kt,97,4,,Y,,030125,60,2,0,0.0,0,1,.,.,0.0,.,.,.,,,,0,60,27,,,.,.,1,1,..,,J,2,,0,0,0,0,,,,2025-03-01,,,,,,
2025842427,25LA00011,25,Y0487,52,,9,X0012,84,2.0,,Kt,97,1,,Y,,030425,63,8,1,3.0,2,3,0,2,7.9,5,1,X2427,84,,00,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,,,,2025-03-04,,29,125,1,,
2025842428,25LA00012,25,Y0487,52,,9,X0012,84,2.0,,Kt,97,1,,Y,,030425,63,8,1,3.0,2,2,0,3,7.6,5,2,X2428,84,,00,,,,,,.,THIN,1,1,..,,J,2,,0,0,0,1,,,,2025-03-04,,39,125,1,,
