UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,MICRON,SD,CV,DIGR,RMK
97PR00001,A1821,1,30,81,95,1,2.0,0,M,,3,1-,8.0,3.1,29.58,7.23,24.5,50,
97PR00002,A1889,1,30,82,95,1,2.0,0,C,,2,3+,6.6,2.6,26.73,4.48,16.7,56,
97PR00003,A1901,1,30,82,95,1,2.0,0,C,,3,2-,8.3,3.3,26.14,5.02,19.2,58,X EPI
97PR00004,A1942,1,30,81,95,1,2.0,0,M,,1,1-,10.6,4.2,26.75,3.96,14.8,56,
97PR00005,A1985,1,30,82,95,1,2.0,0,C,,5,2,10.4,4.1,25.53,4.64,18.2,58,"X,HORN5"
97PR00006,A1994,1,30,81,95,1,2.0,0,M,,2,3+,10.0,3.9,26.49,5.05,19.0,56,W/ YRLG RAMS
97PR00007,A1999,1,30,82,95,1,2.0,0,C,,1,2,8.1,3.2,25.79,4.35,16.9,58,
97PR00008,A1780,1,30,82,95,1,2.0,0,C,,2,2+,7.5,3.0,26.29,4.76,18.1,58,
97PR00009,A3130,1,30,81,96,1,1.0,0,M,,3,3+,7.9,3.1,24.75,5.04,20.3,60,"HORN3,HVY"
97PR00010,A3138,1,30,82,96,1,1.0,0,C,,1,2,7.8,3.1,22.28,4.19,18.8,62,
97PR00011,A3129,1,30,81,96,1,1.0,0,M,,2,3+,7.5,3.0,25.78,5.13,19.9,58,
97PR00012,A3188,1,30,82,96,1,1.0,0,C,,2,2,6.8,2.7,24.01,3.6,15.0,60,
97PR00013,A3195,1,30,82,96,1,1.0,0,C,,4,2+,7.2,2.8,24.81,4.2,16.9,60,HORN4
97PR00014,A3176,1,30,82,96,1,1.0,0,C,,2,2-,7.0,2.8,21.38,4.69,21.9,64,
97PR00015,A3033,1,30,82,96,1,1.0,0,C,,2,1,7.9,3.1,26.55,5.25,19.8,56,
97PR00016,A3032,1,30,81,96,1,1.0,0,M,,2,2+,7.7,3.0,22.56,3.8,16.9,62,
97PR00017,A3052,1,30,82,96,1,1.0,0,C,,2,2,7.4,2.9,21.82,3.6,16.5,64,
97PR00018,A3025,1,30,82,96,1,1.0,0,C,,3,2-,8.5,3.3,25.97,5.7,21.9,58,
97PR00019,A3085,1,30,82,96,1,1.0,0,C,,2,3+,6.3,2.5,22.05,4.33,19.6,62,
97PR00020,A3087,1,30,82,96,1,1.0,0,C,,2,2-,9.0,3.5,24.74,4.65,18.8,60,
97PR00021,A3071,1,30,82,96,1,1.0,0,C,,2,2-,9.5,3.7,24.03,4.05,16.9,60,
97PR00022,A3079,1,30,81,96,1,1.0,0,M,,1,1-,8.2,3.2,24.07,4.66,19.4,60,
97PR00023,A3317,1,30,81,96,1,1.0,0,M,,2,2,6.2,2.4,24.46,4.07,16.6,60,NICE
97PR00024,A3303,1,30,82,96,1,1.0,0,C,,1,2-,7.0,2.8,22.36,4.88,21.8,62,NICE
97PR00025,A3304,1,30,82,96,1,1.0,0,C,,1,3+,7.2,2.8,24.87,5.84,23.5,60,NICE
97PR00026,A3325,1,30,82,96,1,1.0,0,C,,1,3+,5.9,2.3,22.78,4.08,17.9,62,
97PR00027,A3397,1,30,81,96,1,1.0,0,M,,3,2+,7.2,2.8,21.01,3.41,16.2,64,"HORN3,HVY"
97PR00028,A3377,1,30,81,96,1,1.0,0,M,,2,2,7.2,2.8,23.14,4.26,18.4,62,
97PR00029,A3413,1,30,82,96,1,1.0,0,C,,4,1-,8.4,3.3,24.61,4.39,17.8,60,HORN4
97PR00030,A3416,1,30,82,96,1,1.0,0,C,,1,2+,7.2,2.8,21.22,4.26,20.1,64,
97PR00031,A3401,1,30,82,96,1,1.0,0,C,,2,1-,5.6,2.2,21.75,3.73,17.2,64,
97PR00032,A3444,1,30,81,96,1,1.0,0,M,,2,2-,8.0,3.1,24.9,5.13,20.6,60,
97PR00033,A3450,1,30,82,96,1,1.0,0,C,,1,1-,4.5,1.8,21.86,3.7,16.9,64,
97PR00034,A3453,1,30,82,96,1,1.0,0,C,,2,3+,5.9,2.3,20.95,4.01,19.1,64,
97PR00035,A3461,1,30,82,96,1,1.0,0,C,,2,2,7.8,3.1,25.16,5.29,21.0,58,
97PR00036,A3468,1,30,81,96,1,1.0,0,M,,4,2+,7.5,3.0,25.31,5.1,20.1,58,HORN4
97PR00037,A3467,1,30,81,96,1,1.0,0,M,,2,2,8.0,3.1,25.11,5.17,20.6,58,NICE
97PR00038,A3480,1,30,81,96,1,1.0,0,M,,1,2+,7.8,3.1,25.33,5.29,20.9,58,4TEATS
97PR00039,A3494,1,30,82,96,1,1.0,0,C,,2,1-,6.2,2.4,22.11,3.73,16.9,62,
97PR00040,A3501,1,30,81,96,1,1.0,0,M,,2,1-,7.0,2.8,21.88,3.8,17.4,64,
97PR00041,A3503,1,30,81,96,1,1.0,0,M,,1,2-,6.6,2.6,24.4,4.54,18.6,60,
97PR00042,A3502,1,30,81,96,1,1.0,0,M,,1,1-,8.0,3.1,23.22,4.18,18.0,62,
97PR00043,A3545,1,30,81,96,1,1.0,0,M,,1,2,8.8,3.5,25.21,4.67,18.5,58,
97PR00044,A3552,1,30,82,96,1,1.0,0,C,,1,2-,6.8,2.7,21.49,3.73,17.3,64,
97PR00045,A3591,1,30,82,96,1,1.0,0,C,,2,2,6.8,2.7,21.65,4.16,19.2,64,NICE
97PR00046,A3571,1,30,81,96,1,1.0,0,M,,2,3+,6.5,2.6,20.66,3.84,18.6,64,RUNT
97PR00047,A3636,1,30,82,96,1,1.0,0,C,,4,2,6.3,2.5,22.73,3.9,17.2,62,"HORN4,1SIDE"
97PR00048,A3656,1,30,81,96,1,1.0,0,M,,1,2,7.7,3.0,23.85,3.97,16.6,60,
97PR00049,A3629,1,30,82,96,1,1.0,0,C,,4,2-,9.1,3.6,26.1,7.12,27.3,58,HORN4
97PR00050,A3205,1,30,81,96,1,1.0,0,M,,1,2-,5.5,2.2,24.25,4.71,19.4,60,
97PR00051,A3206,1,30,81,96,1,1.0,0,M,,2,2-,6.5,2.6,25.74,5.04,19.6,58,
97PR00052,A3234,1,30,81,96,1,1.0,0,M,,2,2,5.8,2.3,22.68,4.55,20.1,62,
97PR00053,A3246,1,30,82,96,1,1.0,0,C,,4,2,8.0,3.1,22.2,4.04,18.2,62,"DEAD,HORN4"
97PR00054,A2117,1,30,82,95,1,2.0,0,C,,1,1-,7.2,2.8,22.8,3.92,17.2,62,
97PR00055,A2146,1,30,81,95,1,2.0,0,M,,4,2+,9.0,3.5,26.69,4.83,18.1,56,HORN4
97PR00056,A2159,1,30,81,95,1,2.0,0,M,,1,2,9.2,3.6,26.18,4.49,17.1,58,
97PR00057,A2160,1,30,81,95,1,2.0,0,M,,2,2,9.5,3.7,24.38,5.13,21.0,60,LOW LIB
97PR00058,A2191,1,30,82,95,1,2.0,0,C,,1,2,8.0,3.1,25.7,5.17,20.1,58,
97PR00059,A2011,1,30,82,95,1,2.0,0,C,,1,2-,7.5,3.0,28.17,5.39,19.1,54,
97PR00060,A2001,1,30,81,95,1,2.0,0,M,,3,2+,9.0,3.5,25.84,5.01,19.4,58,X ABS SCROTUM
