UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
99PR00001, 8036,1,30,00,98,1,1.0,7,.,LIM,2,2,7.8,3.1,,Y,22.45,4.43,19.7,62
99PR00002, 8222,1,06,00,98,1,1.0,7,.,LIM,1,3-,7.2,2.8,"?,EPI,L.TSTS.",Y,23.18,4.83,20.8,62
99PR00003, 8225,1,06,00,98,1,1.0,7,.,LIM,2,3+,9.2,3.6,,Y,25.77,4.84,18.8,58
99PR00004, 8243,1,30,00,98,1,1.0,7,.,LIM,1,3,7.5,3.0,,Y,22.67,3.94,17.4,62
99PR00005, 8280,1,07,00,98,1,1.0,7,.,LIM,2,3,5.5,2.2,,Y,19.73,3.8,19.3,70
99PR00006, 8283,1,07,00,98,1,1.0,7,.,LIM,5,5,6.5,2.6,"X, H5, UGLY",Y,18.12,3.3,18.2,80
99PR00007, 8319,1,06,00,98,1,1.0,7,.,LIM,1,3-,8.2,3.2,,Y,23.71,4.7,19.8,60
99PR00008, 8324,1,30,00,98,1,1.0,7,.,LIM,2,2-,5.8,2.3,,Y,22.45,4.76,21.2,62
99PR00009, 8353,1,43,00,98,1,1.0,7,.,LIM,3,4+,6.2,2.4,,Y,22.37,4.29,19.2,62
99PR00010, 8357,1,07,00,98,1,1.0,7,.,LIM,2,3,6.0,2.4,NICE,Y,21.82,6.06,27.8,62
99PR00011, 8363,1,07,00,98,1,1.0,7,.,LIM,3,3-,7.5,3.0,,Y,20.97,3.24,15.5,64
99PR00012, 8386,1,06,00,98,1,1.0,7,.,LIM,1,3+,7.2,2.8,,Y,22.67,4.19,18.5,62
99PR00013, 8402,1,30,00,98,1,1.0,7,.,LIM,2,3-,7.6,3.0,,Y,24.85,4.11,16.5,60
99PR00014, 8429,1,06,00,98,1,1.0,7,.,LIM,1,3,7.5,3.0,"X,EPI,R.TSTS",Y,23.97,5.12,21.4,60
99PR00015, 8430,1,30,00,98,1,1.0,7,.,LIM,1,3+,7.8,3.1,"X, PEA NUTS",Y,23.93,4.81,20.1,60
99PR00016, 8445,1,06,00,98,1,1.0,7,.,LIM,1,3+,7.0,2.8,,Y,21.53,4.75,22.1,64
99PR00017, 8451,1,07,00,98,1,1.0,7,.,LIM,1,3-,6.8,2.7,FOLDS,Y,20.79,3.86,18.6,64
99PR00018, 8471,1,07,00,98,1,1.0,7,.,LIM,2,4+,5.2,2.0,,Y,21.12,3.97,18.8,64
99PR00019, 8508,1,06,00,98,1,1.0,7,.,LIM,1,3+,9.8,3.9,,Y,24.56,6.16,25.1,60
99PR00020, 8512,1,43,00,98,1,1.0,7,.,LIM,2,2-,6.5,2.6,,Y,19.85,3.6,18.1,70
99PR00021, 8523,1,30,00,98,1,1.0,7,.,LIM,1,2,8.3,3.3,,Y,23.02,5.71,24.8,62
99PR00022, 8538,1,07,00,98,1,1.0,7,.,LIM,2,3,7.9,3.1,,Y,21.35,4.16,19.5,64
99PR00023, 8542,1,30,00,98,1,1.0,7,.,LIM,1,2-,7.4,2.9,OK,Y,24.66,4.48,18.2,60
99PR00024, 8549,1,06,00,98,1,1.0,7,.,LIM,1,3-,7.2,2.8,,Y,22.79,4.89,21.4,62
99PR00025, 8581,1,06,00,98,1,1.0,7,.,LIM,1,3+,8.0,3.1,"X, JAW6",Y,22.56,5.76,25.5,62
99PR00026, 8619,1,43,00,98,1,1.0,7,.,LIM,3,3-,7.0,2.8,,Y,20.12,3.68,18.3,70
99PR00027, 8652,1,30,00,98,1,1.0,7,.,LIM,2,2,7.0,2.8,,Y,23.12,4.2,18.2,62
99PR00028, 8655,1,30,00,98,1,1.0,7,.,LIM,1,2,7.5,3.0,,Y,22.72,4.36,19.2,62
99PR00029, 8656,1,30,00,98,1,1.0,7,.,LIM,2,1-,6.6,2.6,,Y,22.38,4.13,18.5,62
99PR00030, 8657,1,06,00,98,1,1.0,7,.,LIM,1,3+,6.5,2.6,,Y,22.89,4.36,19.1,62
99PR00031, 8674,1,30,00,98,1,1.0,7,.,LIM,2,3,7.0,2.8,,Y,22.44,3.93,17.5,62
99PR00032, 8676,1,43,00,98,1,1.0,7,.,LIM,6,3,7.4,2.9,H4,Y,21.27,3.91,18.4,64
99PR00033, 8684,1,06,00,98,1,1.0,7,.,LIM,2,4,5.5,2.2,,Y,20.17,4.08,20.2,70
99PR00034, 8694,1,06,00,98,1,1.0,7,.,LIM,1,3+,6.9,2.7,,Y,23.47,4.33,18.5,62
99PR00035, 8770,1,06,00,98,1,1.0,7,.,LIM,1,3,8.0,3.1,,Y,22.69,5.12,22.6,62
99PR00036, 8898,1,30,00,98,1,1.0,7,.,LIM,2,3,6.3,2.5,,Y,23.91,4.94,20.7,60
99PR00037, 8900,1,06,00,98,1,1.0,7,.,LIM,1,3,7.0,2.8,,Y,24.61,5.16,21.0,60
99PR00038,A2854,1,30,82,96,1,3.0,0,C, .,2,2,8.9,3.5,"X, POOR",Y,29.05,5.3,18.3,54
99PR00039,A3079,1,30,81,96,1,3.0,0,M, .,1,1-,11.0,4.3,,Y,27.5,5.43,19.8,56
99PR00040,A3176,1,30,82,96,1,3.0,0,C, .,2,2,8.2,3.2,,Y,25.66,4.82,18.8,58
99PR00041,A3234,1,30,81,96,1,3.0,0,M, .,2,2+,9.6,3.8,,Y,28.33,5.19,18.3,54
99PR00042,A3453,1,30,82,96,1,3.0,0,C, .,2,2+,7.5,3.0,,Y,25.93,5.08,19.6,58
99PR00043,A3678,1,30,73,96,2,2.5,6,H,-FL,2,2+,9.6,3.8,          GxE,Y,26.63,4.14,15.5,56
99PR00044,A3713,1,30,73,96,2,2.5,6,H,-FL,2,2+,9.0,3.5,,Y,30.61,5.47,17.9,50
99PR00045,A3724,1,30,73,96,2,2.5,6,H,-FL,2,1-,10.0,3.9,          GxE,Y,28.79,5.04,17.5,54
99PR00046,A3748,1,30,73,96,2,2.5,6,H,-FL,1,2+,7.5,3.0,,Y,27.57,4.4,16.0,56
99PR00047,A3760,1,30,73,96,2,2.5,6,H,-FL,1,1-,10.2,4.0,,Y,32.74,6.24,19.1,46
99PR00048,A3880,1,30,73,96,2,2.5,6,H,-FL,1,2+,11.0,4.3,,Y,28.72,5.47,19.0,54
99PR00049,A3926,1,30,73,96,2,2.5,6,H,-FL,2,2,8.2,3.2,,Y,29.92,5.45,18.2,50
99PR00050,A3946,1,30,73,96,2,2.5,6,H,-FL,2,2-,7.2,2.8,,Y,26.46,4.67,17.6,56
99PR00051,A4074,2,71,00,97,1,2.0,0,F, .,., .,7.7,3.0,NICE EWE,Y,28.98,5.56,19.2,54
