UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00001, 8113,2,07,00,98,1,2.0,7,3,LIM,.,.,8.5,3.35,,Y,22.58,4.27,18.9,62
00PR00002, 8119,2,43,00,98,1,2.0,7,3,LIM,.,.,8.8,3.46,,Y,22.1,3.9,17.6,62
00PR00003, 8137,2,07,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,24.98,3.93,15.7,58
00PR00004, 8150,2,43,00,98,1,2.0,7,3,LIM,.,.,0.0,0.0,,n,,,,0
00PR00005, 8122,2,43,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,21.57,5.05,23.4,64
00PR00006, 8179,2,07,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,4TEATS,Y,22.3,4.63,20.8,62
00PR00007, 8013,2,43,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,,Y,23.16,3.73,16.1,62
00PR00008, 8019,2,43,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,WEAK,Y,22.23,3.79,17.0,62
00PR00009, 8036,1,30,00,98,1,2.0,7,M,LIM,2,2,9.0,3.54,ABS.BRISKET,Y,25.04,4.74,18.9,58
00PR00010, 8039,2,07,00,98,1,2.0,7,3,LIM,.,.,8.0,3.15,,Y,23.2,4.38,18.9,62
00PR00011, 8040,2,07,00,98,1,2.0,7,3,LIM,.,.,11.0,4.33,,Y,24.97,4.93,19.7,58
00PR00012, 8063,2,43,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,PNEUMONIA?,Y,24.41,5.67,23.2,60
00PR00013, 8027,2,07,00,98,1,2.0,7,3,LIM,.,.,9.8,3.86,,Y,24.38,3.45,14.2,60
00PR00014, 8084,2,07,00,98,1,2.0,7,3,LIM,.,.,0.0,0.0,BLK. EAR,n,,,,0
00PR00015, 8091,2,07,00,98,1,2.0,7,3,LIM,.,.,9.2,3.62,,Y,23.48,5.96,25.4,60
00PR00016, 8077,2,43,00,98,1,2.0,7,3,LIM,.,.,9.2,3.62,HAIRY,Y,24.23,6.9,28.5,58
00PR00017, 8319,1,06,00,98,1,2.0,7,M,LIM,1,3-,9.1,3.58,,Y,28.8,5.2,18.1,54
00PR00018, 8308,2,07,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,21.27,3.57,16.8,64
00PR00019, 8307,2,07,00,98,1,2.0,7,3,LIM,.,.,9.8,3.86,,Y,20.25,3.37,16.6,70
00PR00020, 8340,2,07,00,98,1,2.0,7,3,LIM,.,.,9.2,3.62,,Y,22.16,3.97,17.9,62
00PR00021, 8351,2,07,00,98,1,2.0,7,3,LIM,.,.,8.0,3.15,,Y,21.39,3.48,16.3,64
00PR00022, 8359,2,06,00,98,1,2.0,7,3,LIM,.,.,10.0,3.94,,Y,26.36,4.12,15.6,58
00PR00023, 8365,2,07,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,25.87,4.62,17.8,58
00PR00024, 8320,2,43,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,,Y,22.45,3.41,15.2,62
00PR00025, 8323,2,43,00,98,1,2.0,7,3,LIM,.,.,9.8,3.86,,Y,22.1,3.86,17.5,62
