UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00001,01117,1,30,88,00,1,1.0,7,Y,,1,2,6.0,2.4,Polypay Ram,Y,1,n,x,,21.59,4.55,21.1,8.1,4.3,64
01PR00002,01148,1,06,68,00,1,1.0,7,Y,,1,3-,5.6,2.2,Jarvis Ram,Y,1,n,x,,23.4,5.85,25.0,10.4,14.8,62
01PR00003,01179,1,06,68,00,1,1.0,7,Y,,1,4,7.1,2.8,Jarvis Ram,Y,1,n,x,,23.27,4.44,19.1,7.8,7.8,62
01PR00004,01465,1,06,68,00,1,1.0,7,Y,,1,3,7.0,2.8,Columbia Ram,Y,1,n,x,,21.89,5.14,23.5,9.2,7.2,64
01PR00005,01541,1,06,68,00,1,1.0,7,Y,,1,3+,6.5,2.6,Columbia Ram,Y,1,n,x,,21.25,5.07,23.9,8.2,3.9,64
01PR00006,00448,1,30,88,00,1,1.0,7,Y,,2,2-,6.5,2.6,Polypay Ram,Y,1,n,x,,21.4,3.98,18.6,6.9,2.1,64
01PR00007,00460,1,06,68,00,1,1.0,7,Y,,1,3,8.2,3.2,Jarvis Ram,Y,1,n,x,,22.58,4.73,21.0,8.8,7.8,62
01PR00008,00422,1,30,88,00,1,1.0,7,Y,,1,3+,5.9,2.3,Polypay Ram,Y,1,n,x,,22.3,4.16,18.7,7.5,4.6,62
01PR00009,00511,1,06,68,00,1,1.0,7,Y,,1,3,6.6,2.6,Jarvis Ram,Y,1,n,x,,25.39,4.46,17.6,7.9,16.7,58
01PR00010,00581,1,06,68,00,1,1.0,7,Y,,1,3-,6.5,2.6,Jarvis Ram,Y,1,n,x,,24.63,5.34,21.7,8.5,15.4,60
01PR00011,00629,1,06,68,00,1,1.0,7,Y,,1,3,7.2,2.8,WOLF KILL,Y,1,n,x,,22.67,4.28,18.9,7.3,5.0,62
01PR00012,00916,1,30,88,00,1,1.0,7,Y,,2,3+,5.3,2.1,Polypay Ram,Y,1,n,x,,23.02,4.37,19.0,7.5,6.1,62
01PR00013,00744,1,30,88,00,1,1.0,7,Y,,1,2+,6.2,2.4,Polypay Ram,Y,1,n,x,,22.65,5.0,22.1,8.3,8.0,62
01PR00014,91212,1,06,68,99,1,2.0,2,M,DUD,.,.,0.0,0.0,DUD,O,2,D4,x,P 12,0.0,0.0,0.0,0.0,0.0,0
01PR00015,91200,1,07,18,99,1,2.0,2,M,DUD,1,3+,8.6,3.4,DUD >works,Y,2,D4w,x,,22.82,4.61,20.2,8.2,7.0,62
01PR00016,91243,1,06,68,99,1,2.0,7,M,,.,.,0.0,0.0,DUD,N,1,D3,x,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00017,90527,1,30,88,99,1,2.0,2,M,DUD,.,.,0.0,0.0,DUD,O,2,D4,x,B 26,0.0,0.0,0.0,0.0,0.0,0
01PR00018,90682,1,30,88,99,1,2.0,2,M,LIB,.,.,0.0,0.0,DUD,N,3,D4,x,MUDX,0.0,0.0,0.0,0.0,0.0,0
01PR00019,90920,1,06,68,99,1,2.0,7,M,,2,3+,8.4,3.3,,Y,1,S1,x,,25.83,5.63,21.8,10.1,23.2,58
01PR00020,90776,1,06,68,99,1,2.0,7,M,,.,.,0.0,0.0,DUD,N,1,D3,x,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00021,A6113,1,30,88,99,1,2.0,7,M,42x,.,.,0.0,0.0,"DUD, D6",O,1,D4,Nax,B 30,0.0,0.0,0.0,0.0,0.0,0
01PR00022,A6102,1,30,81,99,1,2.0,0,M,54a,.,.,0.0,0.0,DUD,O,1,D3,x,B 16,0.0,0.0,0.0,0.0,0.0,0
01PR00023,A6140,1,30,82,99,1,2.0,0,M,22,2,1-,9.2,3.6,,Y,1,S0,x,,24.72,4.08,16.5,6.9,10.7,60
01PR00024,A6198,1,30,81,99,1,2.0,0,M,28,2,2+,9.5,3.7,,Y,1,S1,x,,28.33,5.01,17.7,8.4,40.3,54
01PR00025,A6302,1,30,82,99,1,2.0,2,M,DUD,.,.,0.0,0.0,DUD,N,2,D4,x,X,0.0,0.0,0.0,0.0,0.0,0
01PR00026,A6350,1,30,82,99,1,2.0,2,M,DUD,.,.,0.0,0.0,"NICEctrl, DUD",O,2,D4,x,B 18,0.0,0.0,0.0,0.0,0.0,0
01PR00027,A6327,1,30,81,99,1,2.0,0,M,43,1,1-,8.0,3.1,not DUD,Y,1,S1,x,,27.11,4.37,16.1,7.3,26.1,56
01PR00028,A6433,1,30,81,99,1,2.0,0,M,52a,2,1-,10.0,3.9,DUD >works,Y,1,D3w,x,,29.65,4.81,16.2,8.0,52.4,50
01PR00029,A6501,1,30,82,99,1,2.0,0,M,53,2,2-,9.0,3.5,,Y,1,S1,x,,26.96,5.28,19.6,9.6,28.8,56
01PR00030,A6541,1,30,81,99,1,2.0,0,M,03a,2,2-,10.4,4.1,DUD >works,Y,1,D3w,x,,25.86,3.94,15.2,6.8,15.8,58
01PR00031,A6563,1,30,81,99,1,2.0,0,M,,2,1-,9.1,3.6,DUD >works,Y,1,D3w,x,,25.49,5.13,20.1,9.2,22.1,58
01PR00032,A6529,1,30,88,99,1,2.0,7,M,42,1,3+,6.3,2.5,SHORT STAPLE,O,1,S1,Nax,B  3,24.0,0.0,0.0,0.0,0.0,60
01PR00033,A6599,1,30,82,99,1,2.0,0,M,21,2,3+,8.7,3.4,,Y,1,S3,x,,23.08,4.68,20.3,8.9,9.7,62
01PR00034,A6632,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,,N,1,D1,Nax,X,0.0,0.0,0.0,0.0,0.0,0
01PR00035,A6641,1,30,88,99,1,2.0,7,M,55,2,1-,9.2,3.6,not DUD,Y,1,S1,Nax,,31.41,5.97,19.0,9.8,64.8,48
01PR00036,A6642,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,"X, SM.TSTS",N,1,D1,Nax,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00037,A6655,1,30,82,99,1,2.0,0,M,31,2,3+,10.0,3.9,DUD,Y,1,D3w,x,,25.1,5.86,23.3,10.1,23.1,58
01PR00038,A6664,1,30,82,99,1,2.0,0,M,20x,.,.,0.0,0.0,"DUD, D6+",N,1,D4,x,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00039,A6667,1,30,88,99,1,2.0,7,M,42a,2,2-,7.9,3.1,,Y,1,D1,Nax,DO,24.66,4.21,17.1,7.6,12.4,60
01PR00040,A6627,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,,N,1,S0,Nax,X,0.0,0.0,0.0,0.0,0.0,0
01PR00041,A6680,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,,O,1,D1,Nax,P 32,0.0,0.0,0.0,0.0,0.0,0
01PR00042,A6687,1,30,81,99,1,2.0,0,M,04a,3,3,8.4,3.3,DUD,Y,1,D3,x,,31.59,5.65,17.9,9.3,65.6,48
01PR00043,A6672,1,30,88,99,1,2.0,7,M,56,1,1-,9.0,3.5,,Y,1,S1,Nax,,25.07,4.62,18.4,8.1,16.2,58
01PR00044,A6216,1,30,82,99,1,2.0,0,M,25,2,1-,8.6,3.4,,Y,1,S4,x,,23.98,3.66,15.3,6.6,6.4,60
01PR00045,A6220,1,30,82,99,1,2.0,0,M,27,2,2,6.8,2.7,RCVR,Y,1,S1,x,,22.43,4.46,19.9,8.3,6.8,62
01PR00046,A6223,1,30,82,99,1,2.0,0,M,22a,.,.,0.0,0.0,DUD,O,1,D3,x,B 14,0.0,0.0,0.0,0.0,0.0,0
01PR00047,A6225,1,30,82,99,1,2.0,0,M,55x,.,.,0.0,0.0,"DUD, D6",O,1,D4,x,B 21,0.0,0.0,0.0,0.0,0.0,0
01PR00048,A6842,1,30,82,99,1,2.0,0,M,53a,.,.,0.0,0.0,DUD,N,1,D3,x,X,0.0,0.0,0.0,0.0,0.0,0
01PR00049,A6853,1,30,81,99,1,2.0,0,M,52,2,2,7.5,3.0,,Y,1,S0,x,,25.75,4.89,19.0,8.6,21.5,58
01PR00050,A6863,1,30,82,99,1,2.0,0,M,23,1,2,8.2,3.2,"RCVR, DUD",Y,1,D3w,x,,24.96,4.32,17.3,7.6,13.9,58
01PR00051,A6828,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,,N,1,D1,Nax,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00052,A6827,1,30,88,99,1,2.0,7,M,41,2,2+,9.8,3.9,not DUD,Y,1,S1,Nax,DO,28.95,4.59,15.8,7.5,47.5,54
01PR00053,A6889,1,30,82,99,1,2.0,0,M,24,1,2+,7.2,2.8,DUD,Y,1,D3w,x,,25.24,4.27,16.9,7.4,14.4,58
01PR00054,A6887,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,COARSE,O,1,D1,Nax,P  4,0.0,0.0,0.0,0.0,0.0,0
01PR00055,A6911,1,30,88,99,1,2.0,7,M,54,1,2+,8.9,3.5,not DUD,Y,1,S1,Nax,,27.05,5.2,19.2,9.1,30.5,56
01PR00056,A6930,1,30,82,99,1,2.0,0,M,51a,1,3+,9.9,3.9,,Y,1,S0,x,,25.01,4.02,16.1,7.3,12.0,58
01PR00057,A6934,1,30,81,99,1,2.0,0,M,03,2,2+,9.3,3.7,H2,Y,1,S2,x,,25.7,4.42,17.2,7.7,18.8,58
01PR00058,A6952,1,30,81,99,1,2.0,2,M,DUD,2,2-,8.4,3.3,DUD >works,Y,2,D4w,x,,27.02,5.28,19.5,9.0,30.9,56
01PR00059,A6964,1,30,81,99,1,2.0,0,M,02,1,1-,9.0,3.5,DUD,Y,1,D3w,x,,26.38,5.64,21.4,9.5,29.3,58
01PR00060,A6925,1,30,82,99,1,2.0,0,M,29,2,2-,9.6,3.8,BLK. SPOT,Y,1,S0,x,,25.24,4.23,16.7,7.2,13.8,58
01PR00061,A6928,1,30,82,99,1,2.0,0,M,28x,.,.,0.0,0.0,"DUD, D6+",O,1,D4,x,B 29,0.0,0.0,0.0,0.0,0.0,0
01PR00062,A6994,1,30,82,99,1,2.0,0,M,30,1,2,8.2,3.2,,Y,1,S0,x,,24.54,4.22,17.2,7.7,11.5,60
01PR00063,A6998,1,30,82,99,1,2.0,0,M,51,2,2,10.3,4.1,"DUD, R.EYE ?",Y,1,D3w,x,,26.1,3.91,15.0,6.9,19.0,58
01PR00064,A6970,1,30,81,99,1,2.0,0,M,04,1,2-,10.0,3.9,DUD,Y,1,D3w,x,,26.26,4.19,15.9,7.3,19.7,58
01PR00065,A6735,1,30,88,99,1,2.0,7,M,,.,.,0.0,0.0,,O,1,D1,Nax,B 23,0.0,0.0,0.0,0.0,0.0,0
01PR00066,A6738,1,30,88,99,1,2.0,7,M,43x,.,.,0.0,0.0,"DUD, D6",O,1,D4,Nax,B 13,0.0,0.0,0.0,0.0,0.0,0
01PR00067,A6759,1,30,82,99,1,2.0,0,M,26,1,2+,7.7,3.0,DUD,Y,1,D3w,x,,26.12,4.76,18.2,8.2,23.3,58
01PR00068,A6761,1,30,81,99,1,2.0,0,M,01,1,2-,7.2,2.8,,Y,1,S1,x,,28.08,5.59,19.9,9.6,38.6,54
01PR00069,A8115,1,30,81,00,1,1.0,0,Y,,1,2-,6.9,2.7,,Y,1,n,x,,23.58,4.38,18.6,7.6,8.5,60
