UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00001,01117,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00002,01465,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Columbia Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00003,01541,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Columbia Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00004,00422,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00005,00744,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00006,A4142,1,71,00,97,1,5.0,0,M,FXP,.,.,0.0,0.0,RAM      EFxP,1,e11,EFxP,N,,,,,0.0,0
02PR00007,A4203,1,71,00,97,1,5.0,0,M,FXP,.,.,0.0,0.0,RAM      EFxP,1,e12,EFxP,N,,,,,0.0,0
02PR00008,A5377,1,30,82,98,1,4.0,2,M,DUD,.,.,0.0,0.0,"X,ABS.HEAD",V,TZ,TEAZ,N,,,,,0.0,0
02PR00009,A5546,1,30,82,98,1,4.0,2,M,VAS,.,.,0.0,0.0,VASCECTOMY,1,VAS,VAS,N,,,,,0.0,0
02PR00010,A6433,1,30,81,99,1,3.0,0,M,.,2,1-,8.7,3.4,DUD >works,1,52a,INBR,y,31.3,5.5,17.6,9.2,58.3,48
02PR00011,A6501,1,30,82,99,1,3.0,0,M,.,2,2-,10.0,3.9,,1,53,INBR,y,28.2,5.5,19.6,10.3,33.1,54
02PR00012,A6563,1,30,81,99,1,3.0,0,M,.,2,2,10.2,4.0,DUD >works,1,e64,INBR,y,28.5,5.3,18.5,9.3,35.6,54
02PR00013,A6529,1,30,88,99,1,3.0,7,M,Nax,1,3+,8.0,3.1,SHORT STAPLE,1,42,FLWT,y,27.1,3.8,13.9,7.0,17.4,56
02PR00014,A6599,1,30,82,99,1,3.0,0,M,101,.,.,0.0,0.0,"JAW5, 2002",2,KEL,KELL,N,,,,,0.0,0
02PR00015,A6641,1,30,88,99,1,3.0,7,M,Nax,3,1-,9.4,3.7,not DUD,1,55,INBR,y,33.6,5.7,16.9,9.6,71.0,46
02PR00016,A6642,1,30,88,99,1,3.0,7,M,Nax,1,2-,7.8,3.1,SM.TSTS,1,e66,SPAR,y,31.8,4.9,15.3,8.0,62.3,48
02PR00017,A6216,1,30,82,99,1,3.0,0,M,.,2,1-,8.1,3.2,,1,31,INBR,y,26.2,3.7,14.0,6.4,10.6,58
02PR00018,A6853,1,30,81,99,1,3.0,0,M,.,2,2,8.5,3.3,,1,52,INBR,y,28.7,4.7,16.2,8.3,34.8,54
02PR00019,A6828,1,30,88,99,1,3.0,7,M,Nax,1,1-,11.5,4.5,,1,55a,SPAR,y,31.2,5.1,16.4,8.4,58.1,48
02PR00020,A6827,1,30,88,99,1,3.0,7,M,Nax,2,2+,11.1,4.4,not DUD,1,e65,FLWT,y,31.6,4.5,14.2,7.1,64.0,48
02PR00021,A6911,1,30,88,99,1,3.0,7,M,Nax,2,2+,9.2,3.6,not DUD,1,54,INBR,y,28.3,4.7,16.5,8.3,29.3,54
02PR00022,A6930,1,30,82,99,1,3.0,0,M,.,2,3+,9.2,3.6,,1,51a,INBR,y,25.7,3.9,15.0,7.0,9.8,58
02PR00023,A6934,1,30,81,99,1,3.0,0,M,.,2,2+,9.0,3.5,H2,1,04,INBR,y,27.6,4.4,16.0,7.7,23.7,56
02PR00024,A6952,1,30,81,99,1,3.0,2,M,.,2,3+,9.0,3.5,NICE >works,1,52a,INBR,y,28.7,5.3,18.4,9.0,36.6,54
02PR00025,A6925,1,30,82,99,1,3.0,0,M,.,1,3+,10.0,3.9,"BLK.SPT,INBR",1,e63,INBR,y,29.8,4.1,13.7,7.3,40.1,50
02PR00026,A6998,1,30,82,99,1,3.0,0,M,.,2,1-,8.6,3.4,DUD >works,1,51,INBR,y,27.2,3.5,12.7,5.9,15.3,56
02PR00027,A6970,1,30,81,99,1,3.0,0,M,102,.,.,0.0,0.0,NOT SOLD !,2,KEL,KELL,N,,,,,0.0,0
02PR00028,A6759,1,30,82,99,1,3.0,0,M,.,1,2,7.9,3.1,DUD >works,1,51a,INBR,y,29.7,4.6,15.4,8.0,44.0,50
