UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00001,01117,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,FIX tag 01117,3,.,LIB,N,60,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00002,A7198,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,"UGLY, -SIZE",3,.,LIB,N,58,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00003,A7199,1,30,88,00,1,4.0,0,.,2,2-,9.6,3.8,,1,03P,Flwt,N,58,HETRO,SAVE,82,84,W,,0.0,0.0,0.0,0.0,0
04PR00004,A7239,1,30,81,00,1,4.0,2,BHV,.,.,0.0,0.0,,3,.,LWW2,N,58,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00005,A7284,1,30,82,00,1,4.0,0,.,2,1-,9.8,3.9,NICE >works,1,01P,Flwt,N,60,HETRO,SAVE,92,92,W,,0.0,0.0,0.0,0.0,0
04PR00006,A7436,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,"TEASER, H5",V,TEA,TEAZ,N,58,TEAZ,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00007,A7553,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,H2,3,.,LIB,N,54,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00008,A7640,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,H3,3,.,FLWT,N,62,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00009,A7659,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,PINK QUAD pd1,3,.,LIB,N,58,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00010,A7852,1,30,81,00,1,4.0,2,BHV,.,.,0.0,0.0,,3,.,LIB,N,58,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00011,A7896,1,30,88,00,1,4.0,0,.,1,2+,6.2,2.4,,1,26P,Flwt,N,60,HETRO,SAVE,78,83,W,,0.0,0.0,0.0,0.0,0
04PR00012,A7913,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,,3,.,FLWT,N,60,DUD,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00013,A8193,1,30,81,01,1,3.0,2,BHV,.,.,0.0,0.0,,V,.,Lww,N,58,DUD,+JNS+,100,115,W,,0.0,0.0,0.0,0.0,0
04PR00014,A8234,1,30,84,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Lww,N,60,DUD,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00015,A8248,1,30,81,01,1,3.0,2,BHV,.,.,0.0,0.0,"TB1,TRT.L.EYE",3,.,Lww,N,60,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00016,A8325,1,30,84,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Inbr,N,62,FOR.,OREGO,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00017,A8337,1,30,82,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Ctrl,N,60,HOMO,OREGO,99,91,W,93,0.0,0.0,0.0,0.0,0
04PR00018,A8379,1,30,83,01,1,3.0,0,.,1,2+,9.6,3.8,"X, BRITCHY",3,.,Flwt,N,56,HETRO,MKT,106,93,W,93,0.0,0.0,0.0,0.0,0
