UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,MICRON,SD,CV,CF,DIGR
05PR00001,A8879,1,30,84,01,1,4.0,0,.,.,1,2,7.1,2.8,,1,22P,Lww,X,60,0.0,0.0,0.0,0.0,0
05PR00002,A8766,1,30,83,01,1,4.0,0,.,.,4,1-,9.0,3.5,LAME 08/04,1,15P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00003,A9153,1,30,84,02,1,3.0,0,.,EXP,2,2+,7.5,3.0,,1,26P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00004,A9088,1,30,84,02,1,3.0,0,.,EXP,2,1-,9.2,3.6,,1,24P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00005,A9073,1,30,84,02,1,3.0,0,.,EXP,1,3,8.6,3.4,,1,e10,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00006,A9434,1,30,84,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Inbr,X,..,0.0,0.0,0.0,0.0,0
05PR00007,A9442,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.6,3.4,,1,16P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00008,A9581,1,30,81,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Lww,X,..,0.0,0.0,0.0,0.0,0
05PR00009,A9588,1,30,84,02,1,3.0,0,.,EXP,2,2-,8.9,3.5,H2,1,06P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00010,A9606,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.8,3.5,,1,23P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00011,A9232,1,30,83,02,1,3.0,0,.,CTL,1,1-,8.0,3.1,F2-,1,04P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00012,A9285,1,30,83,02,1,3.0,2,.,BHV,.,..,0.0,0.0,KEEP,V,BHV,Flwt,X,..,0.0,0.0,0.0,0.0,0
05PR00013,A9890,1,30,83,02,1,3.0,0,.,CTL,2,2-,10.0,3.9,H2,1,21P,Flwt,X,56,0.0,0.0,0.0,0.0,0
