UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00001, 1705,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,OH33-1705,1,14,Term,.,00,,,,,0
06PR00002,  104,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MI37-281,1,11,Term,.,00,,,,,0
06PR00003,  306,1,06,00,04,1,2.0,r,3,.,.,.,0.0,0.0,IDZ223-0464,1,w4,Term,.,00,,,,,0
06PR00004,  308,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT0188-0608,1,06K,Term,.,00,,,,,0
06PR00005,  337,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT0398-206,1,04K,Term,.,00,,,,,0
06PR00006,  345,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT0188-0645,1,02K,Term,.,00,,,,,0
06PR00007,  360,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT0398-207,1,05K,Term,.,00,,,,,0
06PR00008,  327,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT06-4566,1,07K,Term,.,00,,,,,0
06PR00009,  408,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,KSS0010-0695,1,22,Term,.,00,,,,,0
06PR00010,  454,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT1674-0054,1,25,Term,.,00,,,,,0
06PR00011,  466,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MI37-286,1,12,Term,.,00,,,,,0
06PR00012,  426,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT1674-0053,1,23,Term,.,00,,,,,0
06PR00013,  428,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT30-1083,1,24,Term,.,00,,,,,0
06PR00014,  600,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT06-4565,1,08K,Term,.,00,,,,,0
06PR00015, 4014,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,IL44-4014,1,26,Term,.,00,,,,,0
06PR00016, 4047,1,02,ID,04,1,2.0,I,2,.,1,3,8.0,3.1,MSU 4047,1,61,Ida,Y,00,23.0,3.6,15.8,96.7,62
06PR00017, 4553,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT06-4553dud?,1,alt,Term,.,00,,,,,0
06PR00018, 4564,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT06-4564,1,15,Term,.,00,,,,,0
06PR00019, 4249,1,02,ID,04,1,2.0,I,2,.,1,3,7.5,3.0,MSU 4249,1,51,Ida,Y,00,23.0,4.0,17.3,95.3,62
06PR00020, 4223,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,IL1604F-1134,1,alt,Term,.,00,,,,,0
06PR00021,03102,1,m3,m3,04,1,2.0,r,1,.,.,.,0.0,0.0,NE23-403102,1, 3,Term,.,00,,,,,0
06PR00022,03131,1,m3,m3,04,1,2.0,r,1,.,.,.,0.0,0.0,NE23-403131,1, 5,Term,.,00,,,,,0
06PR00023,03136,1,m3,m3,04,1,2.0,r,1,.,.,.,0.0,0.0,NE23-403136,1, 6,Term,.,00,,,,,0
