UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00001,A2054,2,30,,24,1.0,,6.5,,,.,,,,,
25PR00002,A2057,2,30,,24,1.0,,6.5,,,BLSPOTRSHOULD,,,,,
25PR00003,A2062,2,30,,24,1.0,,8.0,,,1ST,,,,,
25PR00004,A2063,2,30,,24,1.0,,10.0,,,3RD,,,,,
25PR00005,A2068,2,30,,24,1.0,,9.0,,,2ND,,,,,
25PR00006,A2070,1,30,,24,1.0,,10.0,,,2ND,,,,,
25PR00007,A2072,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00008,A2073,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00009,A2075,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00010,A2081,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00011,A2083,2,30,,24,1.0,,8.0,,,1ST,,,,,
25PR00012,A2086,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00013,A2088,2,30,,24,1.0,,8.0,,,1ST,,,,,
25PR00014,A2089,2,30,,24,1.0,,7.5,,,2ND,,,,,
25PR00015,A2094,2,30,,24,1.0,,11.0,,,.,,,,,
25PR00016,A2098,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00017,A2100,2,30,,24,1.0,,7.5,,,HAIRY,,,,,
25PR00018,A2101,1,30,,24,1.0,,5.2,,,.,,,,,
25PR00019,A2102,1,30,,24,1.0,,11.0,,,Nice,,,,,
25PR00020,A2104,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00021,A2105,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00022,A2108,2,30,,24,1.0,,7.0,,,3RD,,,,,
25PR00023,A2110,2,30,,24,1.0,,10.0,,,.,,,,,
25PR00024,A2111,1,30,,24,1.0,,11.0,,,Nice,,,,,
25PR00025,A2112,1,30,,24,1.0,,12.0,,,.,,,,,
25PR00026,A2113,1,30,,24,1.0,,11.0,,,Scurs,,,,,
25PR00027,A2116,2,30,,24,1.0,,9.0,,,.,,,,,
25PR00028,A2117,1,30,,24,1.0,,9.0,,,Scurs,,,,,
25PR00029,A2119,2,30,,24,1.0,,10.0,,,.,,,,,
25PR00030,A2120,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00031,A2121,2,30,,24,1.0,,10.5,,,.,,,,,
25PR00032,A2124,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00033,A2125,2,30,,24,1.0,,9.0,,,.,,,,,
25PR00034,A2126,1,30,,24,1.0,,9.5,,,Nice,,,,,
25PR00035,A2127,2,30,,24,1.0,,11.0,,,.,,,,,
25PR00036,A2128,2,30,,24,1.0,,10.0,,,HAIRY,,,,,
25PR00037,A2134,1,30,,24,1.0,,10.0,,,Nice,,,,,
25PR00038,A2135,2,30,,24,1.0,,9.0,,,.,,,,,
25PR00039,A2138,2,30,,24,1.0,,11.0,,,.,,,,,
25PR00040,A2141,2,30,,24,1.0,,12.0,,,.,,,,,
25PR00041,A2143,2,30,,24,1.0,,8.0,,,.,,,,,
