UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,BGRP,GRP,SF,BPEN,TY3,TY5,FACE,SHOU,SIDE,HIP,GRAMS,RMK,YIELD,MICRON,STAPLE_CM,STAPLE_IN
93PR00001,01574,1,07,,92,1,1.0,,,,,,,3+,79,80,0,0,Texas ram,64.4,22.0,8.0,3.1
93PR00002,01957,1,07,,92,1,1.0,,,,,,,3+,91,91,0,0,Texas ram,68.3,19.1,9.1,3.6
93PR00003,01958,1,07,,92,1,1.0,,,,,,,3+,92,90,0,0,Texas ram,66.5,20.6,9.1,3.6
93PR00004,06139,1,07,,91,1,2.0,,,,,,,3+,0,0,0,0,Texas ram,60.4,21.9,0.0,0.0
93PR00005,K5160,1,06,68,91,1,2.0,,,,,,,3,68,71,0,0,,54.8,27.7,7.0,2.7
93PR00006,K5165,1,06,68,91,1,2.0,,,,,,,3,91,91,0,0,,65.0,26.6,9.1,3.6
93PR00007,K5204,1,06,68,91,1,2.0,,,,,,,3+,78,84,0,0,,58.3,27.0,8.1,3.2
93PR00008,K5205,1,06,68,91,1,2.0,,,,,,,4-,58,64,0,0,,48.4,25.2,6.1,2.4
93PR00009,K5242,1,06,68,91,1,2.0,,,,,,,2-,64,66,0,0,,54.0,28.7,6.5,2.6
93PR00010,K5247,1,06,68,91,1,2.0,,,,,,,2,71,70,0,0,,55.4,30.2,7.1,2.8
93PR01257,T3386,1,02,42,92,1,1.0,,,,,,,3,58,62,0,0,,67.9,17.5,6.0,2.4
93PR01258,T3402,1,02,41,92,1,1.0,,,,,,,3,63,62,0,0,,59.3,21.7,6.3,2.5
93PR01259,T3417,1,02,48,92,1,1.0,,,,,,,3,61,62,0,0,,71.1,20.1,6.2,2.4
93PR01260,T3418,1,02,48,92,1,1.0,,,,,,,2,62,62,0,0,,65.8,21.4,6.2,2.4
93PR01261,T3487,1,02,48,92,1,1.0,,,,,,,3,51,51,0,0,,57.4,24.7,5.1,2.0
93PR01262,T3501,1,02,48,92,1,1.0,,,,,,,2-,55,54,0,0,,56.6,20.1,5.5,2.1
93PR01263,T3572,1,02,48,92,1,1.0,,,,,,,2-,52,56,0,0,,52.5,20.0,5.4,2.1
93PR01264,T8083,1,02,,88,1,5.0,,,,,,,3+,52,50,0,0,,37.7,23.9,5.1,2.0
93PR01265,Y8748,2,30,72,85,2,7.5,F,X,F,FLX,2,2.0,,24,25,0,0,AGE8,,,6.4,2.5
93PR01266,Y9959,2,30,73,86,2,6.5,F,,F,F93,2,2.0,,30,30,0,0,,,,7.6,3.0
