UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,WOOL
95PR00001,01574,1,07,TX,92,1,3.0,0,C,CTL,2,3-,7.5,3.0,TEXAS RAM,y
95PR00002,01958,1,07,TX,92,1,3.0,0,F,FW,7,3,9.4,3.7,TEXAS RAM,y
95PR00003,01957,1,07,TX,92,1,3.0,0,F,FW,7,3,8.5,3.3,TEXAS RAM,y
95PR00004,06139,1,07,TX,91,1,4.0,0,C,CTL,7,3+,7.8,3.1,TEXAS RAM,y
95PR00005,A1015,1,30,82,94,1,1.0,0,C,CTL,1,3+,5.3,2.1,,y
95PR00006,A1031,1,30,82,94,1,1.0,0,C,CTL,2,3+,6.5,2.6,KEEP,y
95PR00007,A1030,1,30,82,94,1,1.0,0,C,CTL,2,2-,7.6,3.0,KEEP,y
95PR00008,A1036,1,30,82,94,1,1.0,0,C,CTL,2,2-,6.0,2.4,,y
95PR00009,A1040,1,30,81,94,1,1.0,0,M,M,3,2,6.8,2.7,,y
95PR00010,A1063,1,30,82,94,1,1.0,0,C,CTL,1,1-,6.8,2.7,,y
95PR00437,T4202,1,02,41,94,1,1.0,2,M,M,1,2,7.0,2.8,HI.EWE RECORD,y
95PR00438,T4208,1,02,41,94,1,1.0,2,M,M,2,3,7.4,2.9,,y
95PR00439,T4255,1,02,41,94,1,1.0,2,M,M,1,3+,5.9,2.3,4TEATS,y
95PR00440,T4256,1,02,42,94,1,1.0,2,C,CTL,1,3+,6.0,2.4,,y
95PR00441,T4264,1,02,41,94,1,1.0,2,M,M,1,3+,7.5,3.0,4TEATS,y
95PR00442,T4285,1,02,41,94,1,1.0,2,M,M,1,4+,6.7,2.6,,y
95PR00443,T4289,1,02,42,94,1,1.0,2,C,CTL,2,2-,6.2,2.4,,y
95PR00444,T4274,1,02,42,94,1,1.0,2,C,CTL,1,3,6.9,2.7,,y
95PR00445,T3941,1,02,41,93,1,2.0,7,M,LIS,2,1-,8.4,3.3,X ABS. HEAD,y
95PR00446,T3868,1,02,41,93,1,2.0,7,M,LIS,2,2-,7.7,3.0,,y
