UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,MICRON,SD
96PR00001,I4052,1,02,ID,94,1,2.0,0,,IDA,1,2-,8.2,3.2,Isaacs Ram,21.55,3.59
96PR00002,A0697,1,30,82,94,1,2.0,0,C,,1,1-,8.0,3.1,,26.61,5.12
96PR00003,A0708,1,30,81,94,1,2.0,0,M,,2,2,7.5,3.0,,25.16,4.51
96PR00004,A0732,1,30,81,94,1,2.0,0,M,,1,2,7.8,3.1,,29.21,4.54
96PR00005,A0733,1,30,81,94,1,2.0,0,M,,2,1-,8.0,3.1,,26.33,4.36
96PR00006,A0756,1,30,81,94,1,2.0,0,M,,2,1,7.2,2.8,MSG/DEAD 0709,26.34,4.74
96PR00007,A0760,1,30,82,94,1,2.0,0,C,,2,2+,7.5,3.0,,23.42,3.93
96PR00008,A0811,1,30,82,94,1,2.0,0,C,,2,1-,7.0,2.8,,24.64,4.03
96PR00009,A0934,1,30,82,94,1,2.0,0,C,,2,1-,8.1,3.2,4TEATS,24.91,4.58
96PR00010,A0942,1,30,81,94,1,2.0,0,M,,4,1-,8.2,3.2,,29.72,5.03
96PR00908,T5064,1,02,41,95,1,1.0,2,M,,2,3-,8.0,3.1,4TEATS,23.21,5.19
96PR00909,T5072,1,02,42,95,1,1.0,2,C,,2,4+,7.5,3.0,,20.77,4.01
96PR00910,T5077,1,02,42,95,1,1.0,2,C,,1,5+,7.3,2.9,,21.97,4.23
96PR00911,T5080,1,02,42,95,1,1.0,2,C,,2,3+,6.2,2.4,,21.32,4.12
96PR00912,T5096,1,02,42,95,1,1.0,2,C,,1,3,5.8,2.3,4TEATS only 3,21.52,4.12
96PR00913,T5097,1,02,42,95,1,1.0,2,C,,1,5+,6.3,2.5,only 3 /sire,23.17,5.14
96PR00914,T5112,1,02,42,95,1,1.0,2,C,,2,3,5.5,2.2,,19.45,3.67
96PR00915,T5120,1,02,42,95,1,1.0,2,C,,2,3-,7.2,2.8,,22.63,4.22
96PR00916,T5127,1,02,42,95,1,1.0,2,C,,2,2,7.5,3.0,only 1 /sire,23.08,4.16
96PR00917,T5142,1,02,42,95,1,1.0,2,C,,1,3+,6.3,2.5,only 1 /sire,19.46,3.29
