UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,MICRON,SD,CV,DIGR,RMK
97PR00001,A1821,1,30,81,95,1,2.0,0,M,,3,1-,8.0,3.1,29.58,7.23,24.5,50,
97PR00002,A1889,1,30,82,95,1,2.0,0,C,,2,3+,6.6,2.6,26.73,4.48,16.7,56,
97PR00003,A1901,1,30,82,95,1,2.0,0,C,,3,2-,8.3,3.3,26.14,5.02,19.2,58,X EPI
97PR00004,A1942,1,30,81,95,1,2.0,0,M,,1,1-,10.6,4.2,26.75,3.96,14.8,56,
97PR00005,A1985,1,30,82,95,1,2.0,0,C,,5,2,10.4,4.1,25.53,4.64,18.2,58,"X,HORN5"
97PR00006,A1994,1,30,81,95,1,2.0,0,M,,2,3+,10.0,3.9,26.49,5.05,19.0,56,W/ YRLG RAMS
97PR00007,A1999,1,30,82,95,1,2.0,0,C,,1,2,8.1,3.2,25.79,4.35,16.9,58,
97PR00008,A1780,1,30,82,95,1,2.0,0,C,,2,2+,7.5,3.0,26.29,4.76,18.1,58,
97PR00009,A3130,1,30,81,96,1,1.0,0,M,,3,3+,7.9,3.1,24.75,5.04,20.3,60,"HORN3,HVY"
97PR00010,A3138,1,30,82,96,1,1.0,0,C,,1,2,7.8,3.1,22.28,4.19,18.8,62,
97PR00566,T5714,1,02,ID,96,1,1.0,I,I,,,,0.0,0.0,,,,0,MSG 2/11/97 !
97PR00567,T5715,1,02,41,96,1,1.0,2,M,,2,3+,8.1,3.2,24.99,4.92,19.7,58,
97PR00568,T5716,1,02,41,96,1,1.0,2,M,,1,2,7.1,2.8,24.03,4.71,19.6,60,
97PR00569,T5704,1,02,41,96,1,1.0,2,M,,1,3+,7.1,2.8,22.5,3.89,17.3,62,
97PR00570,T5707,1,02,42,96,1,1.0,2,C,,2,2,7.0,2.8,23.01,4.97,21.6,62,
97PR00571,T5742,1,02,42,96,1,1.0,2,C,,1,3+,6.0,2.4,21.47,3.79,17.6,64,
97PR00572,T5756,1,02,42,96,1,1.0,2,C,,1,4-,6.8,2.7,21.55,4.73,21.9,64,
97PR00573,T5759,1,02,42,96,1,1.0,2,C,,1,3,7.3,2.9,23.57,4.69,19.9,60,
97PR00574,T5723,1,02,41,96,1,1.0,2,M,,1,2+,7.2,2.8,22.21,4.2,18.9,62,
97PR00575,T5790,1,02,42,96,1,1.0,2,C,,2,5+,6.8,2.7,24.97,5.83,23.3,58,
