UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
98PR00001,K7819,1,05,00,95,1,3.0,0,H,...,3,2+,11.0,4.3,Cc HM! Cc,Y,32.35,6.11,18.9,48
98PR00002,K7838,1,05,00,95,1,3.0,0,H,...,2,3+,8.7,3.4,Cc HM Cc WEAK,Y,30.24,6.51,21.5,50
98PR00003,K8027,1,05,00,95,1,3.0,0,H,...,1,2+,11.5,4.5,Cc HM! Cc,Y,28.19,4.43,15.7,54
98PR00004,K8349,1,05,00,95,1,3.0,0,H,...,2,3,8.2,3.2,"X,R.EPI,""CC""",Y,25.33,4.6,18.1,58
98PR00005,K8363,1,05,00,95,1,3.0,0,H,...,2,1-,7.9,3.1,CC HOMOZY.CLR,Y,27.24,5.02,18.4,56
98PR00006,I4052,1,02,ID,94,1,4.0,I,,...,1,3+,8.2,3.2,Isaacs Ram,Y,19.59,3.51,17.9,70
98PR00007,A3129,1,30,81,96,1,2.0,0,M,...,2,2-,8.1,3.2,,Y,28.89,5.12,17.7,54
98PR00008,A3188,1,30,82,96,1,2.0,0,C,...,2,1-,8.0,3.1,3rd SEMEN =Q,Y,26.61,4.09,15.4,56
98PR00009,A3176,1,30,82,96,1,2.0,0,C,...,2,1-,7.3,2.9,,Y,22.5,3.93,17.5,62
98PR00010,A3033,1,30,82,96,1,2.0,0,C,...,2,1,9.0,3.5,,Y,32.5,5.75,17.7,48
98PR00634,S6749,2,43,ID,96,1,2.0,7,I,LIM,.,..,9.6,3.8,,y,24.66,3.73,15.1,60
98PR00635,S6750,2,43,ID,96,1,2.0,7,I,LIM,.,..,9.0,3.5,,y,25.19,4.1,16.3,58
98PR00636,S6766,2,43,ID,96,1,2.0,7,I,LIM,.,..,9.4,3.7,4TEATS,y,25.45,3.89,15.3,58
98PR00637,S7170,2,43,ID,96,1,2.0,7,I,LIM,.,..,8.0,3.1,,y,24.73,3.69,14.9,60
98PR00638,S7018,2,43,ID,96,1,2.0,7,I,LIM,.,..,9.3,3.7,,y,25.17,5.25,20.8,58
98PR00639,S7317,2,43,ID,96,1,2.0,7,I,LIM,.,..,8.0,3.1,,y,24.7,4.87,19.7,60
98PR00640,S7466,2,43,ch,96,1,2.0,7,c,LIM,.,..,9.3,3.7,,y,21.06,4.63,22.0,64
98PR00641,S7600,2,07,ch,96,1,2.0,7,c,LIM,.,..,7.5,3.0,,y,23.45,3.96,16.9,62
98PR00642,S7605,2,07,ch,96,1,2.0,7,c,LIM,.,..,7.6,3.0,,y,22.1,4.05,18.3,62
98PR00643,S7698,2,07,ch,96,1,2.0,7,c,LIM,.,..,9.0,3.5,,y,22.61,4.97,22.0,62
