UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00001, 8113,2,07,00,98,1,2.0,7,3,LIM,.,.,8.5,3.35,,Y,22.58,4.27,18.9,62
00PR00002, 8119,2,43,00,98,1,2.0,7,3,LIM,.,.,8.8,3.46,,Y,22.1,3.9,17.6,62
00PR00003, 8137,2,07,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,24.98,3.93,15.7,58
00PR00004, 8150,2,43,00,98,1,2.0,7,3,LIM,.,.,0.0,0.0,,n,,,,0
00PR00005, 8122,2,43,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,21.57,5.05,23.4,64
00PR00006, 8179,2,07,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,4TEATS,Y,22.3,4.63,20.8,62
00PR00007, 8013,2,43,00,98,1,2.0,7,3,LIM,.,.,9.6,3.78,,Y,23.16,3.73,16.1,62
00PR00008, 8019,2,43,00,98,1,2.0,7,3,LIM,.,.,9.5,3.74,WEAK,Y,22.23,3.79,17.0,62
00PR00009, 8036,1,30,00,98,1,2.0,7,M,LIM,2,2,9.0,3.54,ABS.BRISKET,Y,25.04,4.74,18.9,58
00PR00010, 8039,2,07,00,98,1,2.0,7,3,LIM,.,.,8.0,3.15,,Y,23.2,4.38,18.9,62
00PR00856,T7675,1,02,42,99,1,1.0,2,Y,CTL,2,3,6.5,2.56,,Y,20.94,3.89,18.6,64
00PR00857,T7213,1,02,ID,99,1,1.0,I,Y,McR,1,3,6.8,2.68,,Y,19.47,3.17,16.3,70
00PR00858,T7205,1,02,41,99,1,1.0,2,Y,LWW,1,4,6.9,2.72,,Y,23.71,5.03,21.2,60
00PR00859,T7206,1,02,41,99,1,1.0,2,Y,LWW,1,4+,8.0,3.15,,Y,24.05,4.93,20.5,60
00PR00860,T7258,1,02,ID,99,1,1.0,I,Y,McR,1,3,6.2,2.44,BIG,Y,17.64,3.19,18.1,80
00PR00861,T7262,1,02,41,99,1,1.0,2,Y,LWW,1,3+,6.3,2.48,,Y,22.67,4.5,19.8,62
00PR00862,T7269,1,02,42,99,1,1.0,2,Y,CTL,1,2,7.9,3.11,,Y,22.55,4.61,20.5,62
00PR00863,T7222,1,02,42,99,1,1.0,2,Y,CTL,1,3,6.4,2.52,,Y,21.26,3.42,16.1,64
00PR00864,T7284,1,02,42,99,1,1.0,2,Y,CTL,1,2-,6.0,2.36,,Y,21.42,4.35,20.3,64
00PR00865,T7276,1,02,41,99,1,1.0,2,Y,LWW,1,3-,7.0,2.76,,Y,21.64,3.91,18.1,64
