UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00001,01117,1,30,88,00,1,1.0,7,Y,,1,2,6.0,2.4,Polypay Ram,Y,1,n,x,,21.59,4.55,21.1,8.1,4.3,64
01PR00002,01148,1,06,68,00,1,1.0,7,Y,,1,3-,5.6,2.2,Jarvis Ram,Y,1,n,x,,23.4,5.85,25.0,10.4,14.8,62
01PR00003,01179,1,06,68,00,1,1.0,7,Y,,1,4,7.1,2.8,Jarvis Ram,Y,1,n,x,,23.27,4.44,19.1,7.8,7.8,62
01PR00004,01465,1,06,68,00,1,1.0,7,Y,,1,3,7.0,2.8,Columbia Ram,Y,1,n,x,,21.89,5.14,23.5,9.2,7.2,64
01PR00005,01541,1,06,68,00,1,1.0,7,Y,,1,3+,6.5,2.6,Columbia Ram,Y,1,n,x,,21.25,5.07,23.9,8.2,3.9,64
01PR00006,00448,1,30,88,00,1,1.0,7,Y,,2,2-,6.5,2.6,Polypay Ram,Y,1,n,x,,21.4,3.98,18.6,6.9,2.1,64
01PR00007,00460,1,06,68,00,1,1.0,7,Y,,1,3,8.2,3.2,Jarvis Ram,Y,1,n,x,,22.58,4.73,21.0,8.8,7.8,62
01PR00008,00422,1,30,88,00,1,1.0,7,Y,,1,3+,5.9,2.3,Polypay Ram,Y,1,n,x,,22.3,4.16,18.7,7.5,4.6,62
01PR00009,00511,1,06,68,00,1,1.0,7,Y,,1,3,6.6,2.6,Jarvis Ram,Y,1,n,x,,25.39,4.46,17.6,7.9,16.7,58
01PR00010,00581,1,06,68,00,1,1.0,7,Y,,1,3-,6.5,2.6,Jarvis Ram,Y,1,n,x,,24.63,5.34,21.7,8.5,15.4,60
01PR00799,T7763,1,02,ID,00,1,1.0,I,Y,,4,3+,8.1,3.2,BRN. EARS,Y,1,n,x,,23.5,4.62,19.7,8.2,9.8,60
01PR00800,T7765,1,02,ID,00,1,1.0,I,Y,,1,3,7.3,2.9,,Y,1,n,x,,20.75,4.23,20.4,7.6,2.4,64
01PR00801,T7721,1,02,ID,00,1,1.0,I,Y,,1,3,7.0,2.8,,Y,1,n,x,,18.12,3.43,19.0,6.2,0.2,80
01PR00802,T7724,1,02,ID,00,1,1.0,I,Y,,1,3-,6.8,2.7,,Y,1,n,x,,21.16,4.06,19.2,7.2,2.5,64
01PR00803,T7722,1,02,ID,00,1,1.0,I,Y,,1,3-,7.8,3.1,NICE,Y,1,n,x,,18.72,4.08,21.8,7.5,0.9,80
01PR00804,T7783,1,02,ID,00,1,1.0,I,Y,,1,3,6.8,2.7,BIG 15.5,Y,1,n,x,,21.83,4.07,18.6,7.1,3.0,64
01PR00805,T7794,1,02,ID,00,1,1.0,I,Y,,1,3,7.1,2.8,,Y,1,n,x,,19.76,3.76,19.0,6.8,0.8,70
01PR00806,T7795,1,02,ID,00,1,1.0,I,Y,,1,4-,6.8,2.7,,Y,1,n,x,,18.84,3.71,19.7,6.9,0.5,80
01PR00807,T7771,1,02,ID,00,1,1.0,I,Y,,1,3+,6.0,2.4,,Y,1,n,x,,20.6,3.89,18.9,7.1,1.4,64
01PR00808,Z6523,1,07,10,00,1,1.0,0,Y,,1,3-,7.0,2.8,NEED 'R' TAGS,Y,1,n,x,,21.27,4.5,21.1,7.7,3.4,64
