UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00001,01117,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00002,01465,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Columbia Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00003,01541,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Columbia Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00004,00422,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00005,00744,1,30,88,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,Polypay Ram,3,LIB,LIB,N,,,,,0.0,0
02PR00006,A4142,1,71,00,97,1,5.0,0,M,FXP,.,.,0.0,0.0,RAM      EFxP,1,e11,EFxP,N,,,,,0.0,0
02PR00007,A4203,1,71,00,97,1,5.0,0,M,FXP,.,.,0.0,0.0,RAM      EFxP,1,e12,EFxP,N,,,,,0.0,0
02PR00008,A5377,1,30,82,98,1,4.0,2,M,DUD,.,.,0.0,0.0,"X,ABS.HEAD",V,TZ,TEAZ,N,,,,,0.0,0
02PR00009,A5546,1,30,82,98,1,4.0,2,M,VAS,.,.,0.0,0.0,VASCECTOMY,1,VAS,VAS,N,,,,,0.0,0
02PR00010,A6433,1,30,81,99,1,3.0,0,M,.,2,1-,8.7,3.4,DUD >works,1,52a,INBR,y,31.3,5.5,17.6,9.2,58.3,48
02PR00848,Z7188,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,,1,.,Bf,N,,,,,0.0,0
02PR00849,Z7187,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,NICE,1,.,Bf,N,,,,,0.0,0
02PR00850,Z7199,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,NICE,1,.,Bf,N,,,,,0.0,0
02PR00851,Z7067,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,,1,.,Bf,N,,,,,0.0,0
02PR00852,Z7022,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,NICE,1,.,Bf,N,,,,,0.0,0
02PR00853,Z7029,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,,1,.,Bf,N,,,,,0.0,0
02PR00854,Z7092,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,,1,.,Bf,N,,,,,0.0,0
02PR00855,Z7206,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,,1,.,Bf,N,,,,,0.0,0
02PR00856,Z7256,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,DUMB,1,.,Bf,N,,,,,0.0,0
02PR00857,Z7279,1,97,97,01,1,1.0,0,L,.,.,.,0.0,0.0,BORN@MUDLAKE,1,.,Bf,N,,,,,0.0,0
