UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,MICRON,SD,CV,CF,DIGR
05PR00001,A8879,1,30,84,01,1,4.0,0,.,.,1,2,7.1,2.8,,1,22P,Lww,X,60,0.0,0.0,0.0,0.0,0
05PR00002,A8766,1,30,83,01,1,4.0,0,.,.,4,1-,9.0,3.5,LAME 08/04,1,15P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00003,A9153,1,30,84,02,1,3.0,0,.,EXP,2,2+,7.5,3.0,,1,26P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00004,A9088,1,30,84,02,1,3.0,0,.,EXP,2,1-,9.2,3.6,,1,24P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00005,A9073,1,30,84,02,1,3.0,0,.,EXP,1,3,8.6,3.4,,1,e10,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00006,A9434,1,30,84,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Inbr,X,..,0.0,0.0,0.0,0.0,0
05PR00007,A9442,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.6,3.4,,1,16P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00008,A9581,1,30,81,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Lww,X,..,0.0,0.0,0.0,0.0,0
05PR00009,A9588,1,30,84,02,1,3.0,0,.,EXP,2,2-,8.9,3.5,H2,1,06P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00010,A9606,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.8,3.5,,1,23P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00282,T9743,1,02,48,03,1,2.0,0,.,.,1,3,8.0,3.1,PNEU.ok,1,63T,Targ,Y,..,23.1,3.9,17.0,96.9,62
05PR00283,T9757,1,02,48,03,1,2.0,0,.,BHV,.,..,0.0,0.0,-SIZE,4,BHV,Targ,X,..,0.0,0.0,0.0,0.0,0
05PR00284,T9722,1,02,48,03,1,2.0,0,.,.,1,3,8.3,3.3,2nd CHOICE,1,65T,Targ,Y,..,24.9,3.4,13.5,95.0,60
05PR00285,T9788,1,02,ID,04,1,1.0,I,.,.,1,3,7.2,2.8,,1,.,Ida,Y,..,20.3,3.8,18.7,99.0,70
05PR00286,T9787,1,02,ID,04,1,1.0,I,.,.,1,3,6.2,2.4,"GIMP,Msg?July",1,.,Ida,Y,..,20.5,3.4,16.5,99.2,70
05PR00287,T9796,1,02,48,04,1,1.0,0,.,.,1,3+,7.8,3.1,,1,.,Targ,Y,..,24.4,4.3,17.7,92.0,60
05PR00288,T9798,1,02,48,04,1,1.0,0,.,.,1,3,7.3,2.9,,1,.,Targ,Y,..,20.3,3.6,17.5,99.4,70
05PR00289,T9774,1,02,48,03,1,2.0,0,.,.,1,2-,9.0,3.5,,1,.,Targ,Y,..,23.7,3.7,15.5,96.0,60
05PR00290,T7759,1,02,ID,00,1,5.0,I,.,.,1,3,8.5,3.3,"? QUAD, AGE4",1,e.2,Ida,Y,..,26.1,3.9,15.0,87.2,58
05PR00291,T0003,1,02,ID,04,1,1.0,I,.,.,1,3,6.8,2.7,NICE LAMB,1,.,Ida,Y,..,20.3,3.0,14.7,99.5,70
