UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00001, 1705,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,OH33-1705,1,14,Term,.,00,,,,,0
06PR00002,  104,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MI37-281,1,11,Term,.,00,,,,,0
06PR00003,  306,1,06,00,04,1,2.0,r,3,.,.,.,0.0,0.0,IDZ223-0464,1,w4,Term,.,00,,,,,0
06PR00004,  308,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT0188-0608,1,06K,Term,.,00,,,,,0
06PR00005,  337,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT0398-206,1,04K,Term,.,00,,,,,0
06PR00006,  345,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT0188-0645,1,02K,Term,.,00,,,,,0
06PR00007,  360,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT0398-207,1,05K,Term,.,00,,,,,0
06PR00008,  327,1,06,00,04,1,2.0,r,1,.,.,.,0.0,0.0,UT06-4566,1,07K,Term,.,00,,,,,0
06PR00009,  408,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,KSS0010-0695,1,22,Term,.,00,,,,,0
06PR00010,  454,1,Tx,00,04,1,2.0,r,1,.,.,.,0.0,0.0,MT1674-0054,1,25,Term,.,00,,,,,0
06PR00313,Z9259,1,97,97,03,1,3.0,0,.,.,.,.,0.0,0.0,,1,.,Bf,.,00,,,,,0
06PR00314,Z9841,1,97,97,03,1,3.0,0,.,.,.,.,0.0,0.0,NICE,1,.,Bf,.,00,,,,,0
06PR00315,Z9858,1,97,97,03,1,3.0,0,.,.,.,.,0.0,0.0,NICE,1,.,Bf,.,00,,,,,0
06PR00316,Z9925,1,97,97,03,1,3.0,0,.,.,.,.,0.0,0.0,WEAK,1,.,Bf,.,00,,,,,0
06PR00317,Z9766,1,97,97,03,1,3.0,0,.,.,.,.,0.0,0.0,"NICE,SM.TSTS",1,.,Bf,.,00,,,,,0
06PR00318,Z7815,1,97,97,02,1,4.0,0,.,.,.,.,0.0,0.0,NICE,1,.,Bf,.,00,,,,,0
06PR00319,Z7805,1,97,97,02,1,4.0,0,.,.,.,.,0.0,0.0,,1,.,Bf,.,00,,,,,0
06PR00320,Z7844,1,97,97,02,1,4.0,0,.,.,.,.,0.0,0.0,,1,.,Bf,.,00,,,,,0
06PR00321,Z7865,1,97,97,02,1,4.0,0,.,.,.,.,0.0,0.0,,1,.,Bf,.,00,,,,,0
06PR00322,Z7885,1,97,97,02,1,4.0,0,.,.,.,.,0.0,0.0,71alt,1,.,Bf,.,00,,,,,0
