UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
18PR00001,H8468,2,30,,14,4.0,2.4,6.0,,,.,31.2,4.9,15.8,46.9,
18PR00002,H8491,2,30,,14,4.0,3.0,7.5,,,TerminalOnly,32.0,6.0,18.7,40.2,
18PR00003,H8492,2,30,,14,4.0,2.2,5.7,,,RP,29.8,5.0,16.6,58.6,
18PR00004,H8495,2,30,,14,4.0,3.4,8.6,,,NICE LAMB,28.0,5.0,17.8,71.9,
18PR00005,H8508,2,30,,14,4.0,3.3,8.5,,,BIG.TITS,32.1,5.9,18.4,41.3,
18PR00006,H8511,2,30,,14,4.0,3.8,9.7,,,NICE LAMB,28.7,4.7,16.2,66.2,
18PR00007,H8514,2,30,,14,4.0,2.3,5.8,,,1ST,23.0,4.5,19.6,93.4,
18PR00008,H8519,2,30,,14,4.0,3.3,8.4,,,ADRU Term,30.7,5.8,18.9,51.3,
18PR00009,H8524,2,30,,14,4.0,3.0,7.5,,,.,26.6,4.8,18.1,79.6,
18PR00010,H8530,2,30,,14,4.0,3.0,7.5,,,2ND NICE LAMB,29.7,5.2,17.4,57.0,
18PR01394,Z5160,1,TS,,16,2.0,3.1,8.0,,,Virginia Tech,,,,,
18PR01395,Z5161,1,TS,,16,2.0,3.1,8.0,,,Virginia Tech,,,,,
18PR01396,Z5162,1,97,,16,2.0,2.1,5.4,,,CulhamStevens,,,,,
18PR01397,Z5163,1,97,,16,2.0,2.2,5.6,,,Virginia Tech,,,,,
18PR01398,Z5165,1,TS,,16,2.0,,,,,Virginia Tech,,,,,
18PR01399,Z5166,1,SM,,16,2.0,3.0,7.6,,,Cindy Wolf,28.6,5.1,18.0,67.9,
18PR01400,Z5167,1,SM,,16,2.0,3.1,8.0,,,Cindy Wolf,29.5,5.8,19.6,60.8,
18PR01401,Z5168,1,97,,16,2.0,2.2,5.6,,,Virginia Tech,,,,,
18PR01402,Z5169,1,SM,,16,2.0,3.2,8.2,,,Cindy Wolf,29.3,5.2,17.9,61.4,
18PR01403,S1500,1,41,,14,4.0,4.3,11.0,,,Rafter 7,22.5,3.6,16.2,98.0,
