UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00001,90, 0A10,97,97,,3,2,0,M,22,0,0,0.0,237,135,0.0,0.0,48,0.0,9.2,0.0,0.0,,,,,0.0,0.0,,,269,194,0.0,CAESAR,1,0,W,red 1,S1,A,1992
92RA00002,89,K3884,60,06,601,2,2,7,M,91,101,129,0.723,238,135,0.283,10.0,56,45.1,20.6,9.3,28.9,54,1,3,3+,1.83,141.1,285463,979862,275,194,0.375,HI IDX,2,111,W,,S1,A,1992
92RA00003,89,K3925,63,06,631,2,1,2,M,93,118,126,0.725,240,135,0.215,11.7,58,49.3,17.4,8.6,28.9,54,1,3,2-,1.79,118.0,267563,246463,242,194,0.337,,2,100,W,,S4,AAA,1992
92RA00004,89,K3994,68,06,602,2,2,4,M,95,120,124,0.798,244,135,0.229,8.0,60,42.2,19.4,8.2,25.7,58,3,3,3+,1.55,116.6,273563,163663,253,194,0.301,SCUR3,2,89,W,,S4,AAA,1992
92RA00005,90,K4422,68,06,614,2,1,3,M,99,108,122,0.699,192,135,0.136,8.2,58,40.4,15.5,6.3,27.6,56,1,1,3,1.46,96.9,347263,271463,220,194,0.247,RCVR,2,89,W,,S1,A,1992
92RA00006,90,K4429,68,06,603,1,1,3,M,100,114,121,0.68,180,135,0.119,8.9,56,42.0,17.9,7.5,31.3,48,1,1,2-,1.79,124.3,313363,289463,222,194,0.229,,2,82,W,,S4,AAA,1992
92RA00007,90,K4449,68,06,616,2,2,3,M,101,102,120,0.735,212,135,0.196,7.5,58,37.8,19.3,7.3,25.5,58,2,1,3+,1.29,90.6,362563,289163,259,194,0.32,SIRES SHORTYS,3,115,W,,S1,A,1992
92RA00008,90,K4483,68,06,616,2,2,3,M,102,91,117,0.702,182,135,0.139,8.7,50,33.8,17.7,6.0,28.8,54,2,1,3+,1.6,124.9,362563,245963,211,194,0.255,,2,92,W,,D3,DUD,1992
92RA00009,90,K4525,68,06,612,1,1,3,M,103,95,116,0.604,200,135,0.188,8.1,58,38.0,16.8,6.4,24.5,60,1,1,3,1.66,106.1,314263,263963,233,194,0.285,,2,102,W,,S1,A,1992
92RA00010,90,K4533,68,06,604,2,2,5,M,103,87,116,0.661,188,135,0.167,8.2,56,46.9,15.8,7.4,26.5,56,1,1,3+,1.64,104.2,338663,145663,225,194,0.282,,2,101,W,,S1,A,1992
92RA00011,90,K4534,68,06,633,2,2,3,M,103,93,116,0.717,199,135,0.177,8.4,56,24.5,20.8,5.1,31.4,48,2,1,2+,1.66,120.8,340963,286863,246,194,0.294,50%BRED 11/91,3,106,W,,D1,B,1992
92RA00012,90,K4566,68,06,634,2,2,2,X,104,90,115,0.718,186,135,0.212,7.5,56,36.4,13.5,4.9,28.4,54,1,1,2,1.62,124.6,359163,306263,0,,0.309,MKT.RIDDEN.X,X,111,,,,,1992
92RA00013,90,K4583,68,06,605,2,2,4,M,104,86,115,0.634,189,135,0.209,9.8,58,50.0,14.8,7.4,29.1,54,1,1,3+,1.62,112.8,351563,233363,233,194,0.303,CLR.NOSE,3,109,W,,D3,DUD,1992
92RA00014,90,K4638,68,06,602,3,2,4,M,106,92,113,0.748,208,135,0.178,9.0,60,49.9,17.5,8.7,29.9,50,2,1,3+,1.67,80.4,296363,209163,243,194,0.303,,2,109,W,,S1,A,1992
92RA00015,90,K4855,68,06,616,2,1,4,M,111,112,110,0.802,210,135,0.147,10.0,58,42.0,15.9,6.7,28.3,54,1,3,2-,1.45,94.8,362563,184863,235,194,0.235,,2,84,W,,S4,AAA,1992
92RA00016,90,K4864,68,06,633,2,1,4,M,111,103,110,0.709,178,135,0.157,10.9,56,55.8,19.8,11.0,33.4,46,1,3,3,1.67,116.8,340963,194963,230,194,0.265,,2,95,W,,S1,A,1992
92RA00017,90,K4945,68,06,631,2,2,3,M,113,105,108,0.841,199,135,0.133,8.2,56,49.2,11.2,5.5,26.4,56,2,3,2-,1.46,115.7,317463,281163,243,194,0.256,,2,92,W,,S1,A,1992
92RA00018,90,K5032,68,06,631,2,1,4,M,115,94,106,0.644,198,135,0.199,9.5,58,45.6,18.0,8.2,32.2,48,1,1,2-,1.67,116.5,317463,199763,233,194,0.308,48-54s,2,111,W,,S1,A,1992
92RA00019,90,K5086,68,06,604,2,2,4,M,118,92,103,0.753,211,135,0.203,10.0,56,43.8,19.6,8.6,25.3,58,1,1,2,1.67,113.8,338663,214563,256,194,0.317,RCVR,1,114,W,red 11,S3,AA,1992
92RA00020,90,K5090,68,06,634,1,1,4,M,118,106,103,0.716,223,135,0.175,9.1,54,33.3,21.5,7.2,30.8,50,1,1,2+,1.34,99.9,359163,179163,263,194,0.247,,2,89,W,,S1,A,1992
92RA00021,91,K5121,68,06,611,1,1,3,Y,85,122,133,0.675,160,135,0.135,9.2,58,25.7,18.3,4.7,22.9,62,1,1,2,1.62,109.4,393963,318663,203,194,0.237,,2,92,W,,D3,DUD,1992
92RA00022,91,K5142,68,06,602,2,2,3,Y,86,88,132,0.614,130,135,0.149,8.3,56,27.4,13.4,3.7,24.8,60,1,1,21,1.62,118.2,403663,327363,167,194,0.231,,3,90,W,,S4,AAA,1992
92RA00023,91,K5143,68,06,602,2,2,3,Y,86,103,132,0.707,147,135,0.156,8.5,54,32.1,17.9,5.7,27.6,56,1,1,2,1.62,118.2,403663,327363,185,194,0.24,,2,93,W,,S1,A,1992
92RA00024,91,K5149,68,06,601,2,2,6,Y,87,102,131,0.72,141,135,0.138,7.9,58,33.9,14.2,4.8,24.3,60,1,1,3+,1.64,124.2,388463,149663,191,194,0.26,BLK.HOCK,3,101,W,,S4,AAA,1992
92RA00025,91,K5160,68,06,631,2,2,5,Y,87,101,131,0.723,147,135,0.163,10.0,54,26.2,18.1,4.7,23.5,60,1,2,3-,1.56,116.4,334663,211763,185,194,0.246,,C,96,W,red 80,SP,B,1992
92RA00026,91,K5162,68,06,602,2,2,3,Y,87,102,131,0.642,140,135,0.135,7.4,56,25.4,17.9,4.5,25.0,58,2,2,3+,1.77,137.4,403663,307063,186,194,0.246,,C,96,W,red 81,S3,AA,1992
92RA00027,91,K5165,68,06,633,2,2,5,Y,87,102,137,0.681,148,135,0.167,10.1,50,51.2,11.6,5.9,23.4,62,1,1,2-,1.45,102.9,398563,240563,193,194,0.271,RCVR,1,105,W,red 14,S2,AA,1992
92RA00028,91,K5168,68,06,631,3,2,6,Y,87,102,131,0.738,148,135,0.163,8.2,56,44.3,13.5,6.0,24.6,60,1,1,3,1.74,119.7,334663,123563,191,194,0.26,,C,101,W,red 11,D3,DUD,1992
92RA00029,91,K5177,68,06,602,1,1,2,Y,87,111,131,0.642,151,135,0.142,7.8,58,34.1,14.7,5.0,24.4,60,2,3,3+,1.5,111.6,403663,390863,198,194,0.254,,C,99,W,X,S2,AA,1992
92RA00030,91,K5204,68,06,601,2,2,4,Y,89,103,129,0.662,147,135,0.156,8.1,58,29.6,13.5,4.0,23.6,60,1,1,3+,2.04,137.5,388463,265763,191,194,0.257,,C,100,W,ewelamb,S1,A,1992
92RA00031,91,K5205,68,06,631,2,1,6,Y,89,114,129,0.641,158,135,0.156,7.6,58,32.8,15.0,4.9,22.6,62,1,2,5+,1.94,135.0,334663,149063,217,194,0.301,CHK.FACE,1,117,W,red 01,SP,B,1992
92RA00032,91,K5207,68,06,612,2,2,5,Y,89,104,129,0.726,150,135,0.163,7.9,54,25.7,15.0,3.9,28.7,54,1,2,3,1.56,120.7,431263,182363,205,194,0.295,IDX+ WOOL-,2,115,W,,S1,A,1992
92RA00033,91,K5241,68,06,611,2,2,7,Y,90,87,128,0.652,118,135,0.11,9.0,50,43.3,11.4,4.9,26.6,56,2,2,3,1.78,124.5,393963,114163,159,194,0.211,,3,82,W,,D3,DUD,1992
92RA00034,91,K5242,68,06,611,2,2,7,Y,90,86,128,0.634,133,135,0.167,7.5,56,50.5,11.6,5.9,25.7,58,1,2,3+,1.78,124.5,393963,114163,177,194,0.266,,C,103,W,,D3,DUD,1992
92RA00035,91,K5247,68,06,611,2,2,4,Y,90,95,128,0.648,140,135,0.16,8.9,56,38.3,16.5,6.3,27.8,56,1,2,2-,1.54,117.8,393963,301063,190,194,0.278,JUMPER,1,108,W,red 83,SP,B,1992
92RA00036,91,K5259,68,06,632,1,1,3,Y,90,115,128,0.629,156,135,0.145,8.3,58,35.9,16.4,5.9,25.0,58,1,2,3+,1.62,126.8,392563,347063,204,194,0.26,,C,101,W,,D3,DUD,1992
92RA00037,91,K5297,68,06,632,1,1,2,Y,91,117,127,0.69,146,135,0.103,8.1,56,43.4,13.5,5.9,26.0,58,1,1,3+,1.67,112.3,392563,431663,194,194,0.225,,2,87,W,,S1,A,1992
92RA00038,91,K5313,68,06,611,2,1,5,Y,91,122,127,0.708,163,135,0.145,9.2,56,43.0,15.9,6.8,25.8,58,1,1,2,1.78,109.9,393963,188363,217,194,0.278,,1,108,W,ewelamb,D3,DUD,1992
92RA00039,91,K5317,68,06,611,2,2,5,Y,91,98,127,0.703,145,135,0.167,9.0,58,29.9,16.1,4.8,25.2,58,1,1,2-,1.67,120.1,393963,206763,199,194,0.295,,1,115,W,red 04,S4,AAA,1992
92RA00040,91,K5344,68,06,634,2,2,3,Y,91,108,135,0.674,154,135,0.168,6.8,56,28.2,14.3,4.0,24.8,60,1,2,3-,1.48,109.5,422863,345763,205,194,0.29,RETEST SEMEN,1,113,W,,S1,A,1992
92RA00041,91,K5379,68,06,632,3,2,3,Y,92,98,126,0.697,134,135,0.128,7.9,56,36.3,14.5,5.3,22.3,62,1,1,3,2.05,142.1,392563,357263,180,194,0.24,,C,93,W,red 84,S3,AA,1992
92RA00042,91,K5381,68,06,631,3,2,5,Y,92,87,126,0.658,128,135,0.145,7.5,56,18.8,15.5,2.9,23.0,62,1,2,3,2.0,118.2,334663,186963,175,194,0.257,AB.L.JAW,C,100,W,X,D3,DUD,1992
92RA00043,91,K5384,68,06,612,2,1,4,Y,92,112,126,0.663,155,135,0.152,9.2,56,36.3,16.8,6.1,21.5,64,1,1,3-,1.54,107.4,431263,246163,193,194,0.237,,2,92,W,,S4,AAA,1992
92RA00044,91,K5407,68,06,611,1,1,7,Y,93,114,125,0.684,159,135,0.16,8.0,56,30.7,17.2,5.3,25.3,58,1,1,3+,1.6,112.3,393963,114763,212,194,0.287,,1,112,W,red 13,S2,AA,1992
92RA00045,91,K5408,68,06,632,2,2,5,Y,93,96,125,0.67,151,135,0.195,7.8,56,31.3,13.9,4.4,25.8,58,1,1,2-,2.0,131.9,392563,188463,199,194,0.301,,1,117,W,red 03a,S0,B,1992
92RA00046,91,K5442,68,06,602,1,1,4,Y,94,112,124,0.636,139,135,0.096,8.6,56,30.6,11.1,3.4,24.8,60,2,1,1-,1.66,127.4,403663,273363,183,194,0.208,,3,81,W,,S2,AA,1992
92RA00047,91,K5444,68,06,631,2,2,2,X,94,99,125,0.74,144,135,0.16,7.5,56,41.6,13.3,5.5,23.2,62,1,2,3,1.67,128.0,334663,404363,0,,0.0,DEAD 7-3-92,X,,,,,,1992
