UID,ETAG,YR,SEA,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SHOU,SIDE,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,SEMEN,YRREC
93RA00001, 1574,92,1,TX,07,,,,0,Y,0,0,0,0.0,137,137,137,0.0,7.9,8.0,3.1,60,12.0,64.4,7.7,22.0,64,,,3+,0.0,0.0,,,,182,189,0.0,1.0,"TX, SM.TESTES",1,CTL,0,109,,,S2,AA,,,S,1993
93RA00002, 1957,92,1,TX,07,,,,0,Y,0,0,0,0.0,122,122,137,0.0,9.1,9.1,3.6,64,10.9,68.3,7.4,19.1,80,,,3+,0.0,0.0,,,,166,189,0.0,1.0,TEXAS RAM,1,FW,0,113,,,S4,AAA,52.0,G.5,S,1993
93RA00003, 1958,92,1,TX,07,,,,0,Y,0,0,0,0.0,179,179,137,0.0,9.2,9.0,3.6,58,14.2,66.5,9.4,20.6,64,,,3+,0.0,0.0,,,,196,189,0.0,1.0,TEXAS RAM,1,FW,0,128,,,S2,AA,99.9,33,S,1993
93RA00004, 6139,91,1,TX,07,,,,0,M,0,0,0,0.0,180,0,139,0.0,0.0,0.0,0.0,62,9.5,60.4,5.7,21.9,64,,,3+,0.0,0.0,,,,250,189,0.0,2.0,TEXAS RAM,1,CTL,0,0,,,S3,AA,99.9,80,S,1993
93RA00005,K5160,91,1,68,06,631,2,2,50,M,87,101,131,0.723,187,147,139,0.163,6.8,7.1,2.7,54,13.5,54.8,7.4,27.7,56,1,2,3,1.59,116.6,334663,2117,63,252,189,0.246,2.0,,2,,90,98,,K2117,S0,B,,196,,1993
93RA00006,K5165,91,1,68,06,633,2,2,50,M,87,102,137,0.681,167,148,139,0.167,9.1,9.1,3.6,54,12.8,65.0,8.3,26.6,56,1,1,3,1.59,104.6,398563,2405,63,223,189,0.271,2.0,,2,,100,114,,K2405,S3,AA,,201,,1993
93RA00007,K5204,91,1,68,06,601,2,2,40,M,89,103,129,0.662,196,147,139,0.156,7.8,8.4,3.2,60,13.3,58.3,7.8,27.0,56,1,1,3+,1.93,130.0,388463,2657,63,244,189,0.257,2.0,,2,,94,106,,K2657,S1,A,,XXX,,1993
93RA00008,K5205,91,1,68,06,631,2,1,60,M,89,114,129,0.641,196,158,139,0.156,5.8,6.4,2.4,60,13.8,48.4,6.7,25.2,58,1,2,4-,1.87,126.6,334663,1490,63,265,189,0.301,2.0,CHK.FACE,2,,111,92,,K1490,S0,B,,XXX,,1993
93RA00009,K5242,91,1,68,06,611,2,2,70,M,90,86,128,0.634,176,133,139,0.167,6.4,6.6,2.6,58,12.6,54.0,6.8,28.7,54,1,2,2-,1.78,124.5,393963,1141,63,229,189,0.266,2.0,,2,,98,92,,K1141,D3,DUD,,MKT,,1993
93RA00010,K5247,91,1,68,06,611,2,2,40,M,90,95,128,0.648,179,140,139,0.16,7.1,7.0,2.8,54,14.2,55.4,7.9,30.2,50,1,2,2,1.6,111.6,393963,3010,63,233,189,0.278,2.0,,2,,102,101,,K3010,S7,AAA,,201,,1993
93RA00011,K5317,91,1,68,06,611,2,2,50,M,91,98,127,0.703,186,145,139,0.167,8.0,8.2,3.2,60,15.6,55.7,8.7,28.1,54,1,1,2-,1.69,110.1,393963,2067,63,253,189,0.295,2.0,,2,,108,112,,K2067,S4,AAA,,202,,1993
93RA00012,K5344,91,1,68,06,634,2,2,30,M,91,108,135,0.674,196,154,139,0.168,6.6,7.4,2.8,54,12.5,49.9,6.2,29.6,50,1,2,3-,1.55,114.3,422863,3457,63,250,189,0.29,2.0,CHK.JAW,2,MKT,107,89,,K3457,S5,AAA,,202,,1993
93RA00013,K5407,91,1,68,06,611,1,1,70,M,93,114,125,0.684,189,159,139,0.16,5.4,5.5,2.1,58,12.4,38.7,4.8,24.8,60,1,1,2-,1.6,112.3,393963,1147,63,232,189,0.287,2.0,,2,,106,76,,K1147,S3,AA,,XXX,,1993
93RA00014,K5408,91,1,68,06,632,2,2,50,M,93,96,125,0.67,189,151,139,0.195,7.7,8.0,3.1,58,12.4,55.5,6.9,27.3,56,1,1,2-,1.99,129.0,392563,1884,63,245,189,0.301,2.0,,2,,111,99,,K1884,S0,B,,194,,1993
93RA00015,K5446,91,1,68,06,601,2,2,30,M,94,94,125,0.655,168,138,139,0.157,8.5,8.3,3.3,54,13.3,68.3,9.1,26.4,56,2,1,3,1.92,122.2,388463,3285,63,219,189,0.243,2.0,WOOL,3,,89,117,,K3285,S1,A,,,,1993
93RA00016,K5447,91,1,68,06,602,2,2,60,M,94,101,125,0.647,165,147,139,0.164,7.9,8.0,3.1,56,12.0,57.9,6.9,26.5,56,1,1,2,1.87,120.8,403663,1582,63,217,189,0.249,2.0,,2,,92,99,,K1582,S0,B,,200,,1993
93RA00017,K5511,91,1,68,06,602,2,2,50,M,95,119,124,0.806,194,160,139,0.146,8.2,8.8,3.3,56,12.2,54.5,6.6,30.5,50,1,1,2-,1.49,108.3,403663,2030,63,248,189,0.243,2.0,,2,,89,97,,K2030,S4,AAA,,201,,1993
93RA00018,K5571,91,1,68,06,614,2,2,50,M,97,97,122,0.698,193,147,139,0.178,7.1,7.5,2.9,58,15.7,53.2,8.4,27.4,56,1,1,2,1.49,108.6,425163,1939,63,254,189,0.296,2.0,,2,,109,107,,K1939,S3,AA,,195,,1993
93RA00019,K5581,91,1,68,06,612,1,1,50,M,97,108,122,0.617,209,151,139,0.153,7.1,7.1,2.8,56,12.7,58.0,7.4,29.7,50,1,2,3,1.59,115.8,431263,1880,63,258,189,0.267,2.0,?L.TAIL7/8/93,4,MKT,98,98,,K1880,S2,AA,,,,1993
93RA00020,K5608,91,1,68,06,612,2,2,30,M,98,86,121,0.599,174,143,139,0.203,8.0,7.9,3.1,54,13.7,63.3,8.7,31.9,48,2,2,3+,1.92,133.4,431263,3272,63,223,189,0.282,2.0,,2,,104,108,,K3272,S2,AA,,193,,1993
93RA00021,K5632,91,1,68,06,634,2,2,30,M,98,96,121,0.684,190,139,139,0.153,8.1,8.2,3.2,56,12.2,63.5,7.7,29.1,54,2,1,2,2.05,114.3,422863,3228,63,246,189,0.261,2.0,,2,,96,104,,K3228,S2,AA,,198,,1993
93RA00022,K5675,91,1,68,06,611,2,2,40,M,99,94,119,0.698,166,141,139,0.167,7.0,7.0,2.8,62,13.1,42.6,5.6,25.5,58,2,1,3+,1.79,124.3,393963,2894,63,227,189,0.257,2.0,,2,,94,88,,K2894,S3,AA,,199,,1993
93RA00023,K5749,91,1,68,06,602,2,1,50,M,102,106,116,0.648,198,159,139,0.188,8.0,7.9,3.1,56,12.6,59.6,7.5,25.7,58,1,1,3+,1.69,112.4,403663,2313,63,248,189,0.278,2.0,,2,,102,104,,K2313,S1,A,,197,,1993
93RA00024,K5831,92,1,68,06,C11,2,2,60,Y,87,80,130,0.546,144,144,137,0.225,6.3,6.6,2.5,58,9.4,61.1,5.7,24.1,60,,1,2-,1.99,129.0,442263,1884,63,186,189,0.315,1.0,,1,LBW,113,101,,K1884,S1,A,,,E,1993
93RA00025,K5832,92,1,68,06,C-4,2,2,60,Y,87,87,130,0.591,163,163,137,0.267,7.1,7.3,2.8,56,12.8,59.4,7.6,25.8,58,,1,2,1.49,96.6,388463,1848,63,198,189,0.329,1.0,,1,ADG,118,121,,K1848,S4,AAA,97.0,04,S,1993
93RA00026,K5904,92,1,68,06,C-3,3,2,50,Y,91,80,126,0.554,135,135,137,0.193,6.2,6.6,2.5,60,8.0,66.3,5.3,22.9,62,,1,4+,1.93,140.7,399463,3053,63,179,189,0.294,1.0,,1,LBW,105,98,,K3053,S3,AA,,alt,E,1993
93RA00027,K5905,92,1,68,06,C-3,3,2,50,Y,91,96,126,0.674,148,148,137,0.182,6.6,7.8,2.8,56,9.8,57.5,5.6,25.3,58,,1,3+,1.93,140.7,399463,3053,63,198,189,0.303,1.0,,1,LBW,109,102,,K3053,S3,AA,,11,E,1993
93RA00028,K5939,92,1,68,06,C-1,2,2,70,Y,92,90,125,0.643,134,134,137,0.154,7.0,7.3,2.8,58,9.1,58.2,5.3,22.7,62,,3,3+,1.33,100.1,392563,1266,63,179,189,0.264,1.0,,1,CTL,95,102,,K1266,S3,AA,99.9,60,S,1993
93RA00029,K5944,92,1,68,06,C-1,1,1,20,Y,92,98,125,0.544,129,129,137,0.109,7.0,7.0,2.8,60,7.6,61.6,4.7,22.1,62,,3,2-,1.56,110.2,392563,4448,63,175,189,0.228,1.0,,3,,82,96,,K4448,D3,DUD,,,,1993
93RA00030,K5947,92,1,68,06,C-6,2,2,50,Y,92,103,125,0.744,164,164,137,0.214,9.1,8.3,3.4,56,10.2,59.6,6.1,22.7,62,,1,2,1.6,106.0,508663,2521,63,202,189,0.294,1.0,,2,,105,116,,K2521,D3,DUD,,JAF,,1993
93RA00031,K5951,92,1,68,06,C-1,2,2,60,Y,92,98,125,0.696,159,159,137,0.214,6.8,7.0,2.7,56,9.4,61.5,5.8,24.6,60,,1,3+,1.59,115.3,392563,1919,63,215,189,0.347,1.0,X R.EPI,3,ADG,124,103,,K1919,,,,,,1993
93RA00032,K6000,92,1,68,06,C-6,1,1,20,Y,93,100,124,0.603,146,146,137,0.161,6.8,6.9,2.7,58,9.5,62.0,5.9,20.9,64,,2,3+,1.56,111.1,508663,4952,63,199,189,0.294,1.0,,1,CTL,105,108,,K4952,S4,AAA,49.0,G.2,E,1993
93RA00033,K6019,92,1,68,06,C-5,2,2,20,Y,93,89,124,0.677,132,132,137,0.151,5.1,5.1,2.0,58,7.7,54.9,4.2,25.5,58,,1,4-,1.73,123.8,444963,4456,63,174,189,0.252,1.0,CHK.FACE,3,,90,80,,K4456,D3,DUD,,,,1993
93RA00034,K6020,92,1,68,06,C-5,2,2,20,Y,93,79,124,0.593,119,119,137,0.14,5.2,5.6,2.1,64,6.4,55.9,3.6,22.5,62,,1,2-,1.73,123.8,444963,4456,63,156,189,0.228,1.0,,3,,82,78,,K4456,,,,,,1993
93RA00035,K6032,92,1,68,06,C-1,2,2,60,Y,93,82,124,0.64,148,148,137,0.232,6.8,7.2,2.8,56,8.4,63.9,5.4,21.9,64,,1,2-,1.69,117.6,392563,2282,63,184,189,0.303,1.0,,2,,109,103,,K2282,S1,A,,188,,1993
93RA00036,K6033,92,1,68,06,C-1,2,2,60,Y,93,94,124,0.61,153,153,137,0.207,6.6,7.1,2.7,54,10.0,68.4,6.8,23.4,62,,1,2-,1.69,117.6,392563,2282,63,196,189,0.303,1.0,4TEATS,2,,109,114,,K2282,S3,AA,,189,,1993
93RA00037,K6035,92,1,68,06,C10,2,2,70,Y,93,89,124,0.657,134,134,137,0.158,5.5,5.7,2.2,56,8.9,52.9,4.7,25.2,58,,2,3+,1.78,119.9,442963,1235,63,178,189,0.264,1.0,BRN.EARS,1,CTL,95,87,,K1235,SP,B,,,E,1993
93RA00038,K6050,92,1,68,06,C-8,2,2,20,Y,94,80,123,0.612,136,136,137,0.196,6.2,6.1,2.4,60,8.1,58.2,4.7,22.2,62,,1,4+,1.56,101.7,463863,4963,63,182,189,0.303,1.0,,2,,109,92,,K4963,S4,AAA,,184,,1993
93RA00039,K6052,92,1,68,06,C-4,2,2,50,Y,94,92,123,0.619,144,144,137,0.182,6.9,6.9,2.7,58,9.4,60.0,5.6,23.1,62,,1,2-,1.6,110.8,388463,2540,63,183,189,0.27,1.0,X SMALL L.TST,4,MKT,97,103,,K2540,,,,,,1993
93RA00040,K6059,92,1,68,06,C11,2,2,30,Y,94,100,123,0.71,159,159,137,0.207,5.9,6.0,2.3,62,9.0,54.3,4.9,23.2,62,,1,3+,1.73,80.9,442263,3846,63,199,189,0.294,1.0,,2,,105,92,,K3846,S4,AAA,,192,,1993
