UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00001,I4052,00,94,1,ID,02,,,2,2,5.0,M,0,0,0,0.0,196,0,74,0.0,3.2,62,10.6,,,21.55,3.59,64,1,1,2-,1.6,118.8,,,0.0,0.0,,,0.0,0.0,230,191,0.0,2.0,Isaacs Ram,1,IDA,0.0,0.0,,,,S1,A,94.0,415,W,50,3,10,0,S,,,,,,0,1996
96RA00002,A1031,04,94,1,82,30,26,C,2,2,4.0,M,107,87,114,0.675,174,143,74,0.196,4.1,60,8.0,,,25.47,4.14,58,2,1,2+,1.93,123.2,L8638,03,18.04,18.04,L7821,03,22.79,22.79,198,191,0.257,2.0,,2,CTL,20.42,0.0,95,106,,S2,AA,100.0,113,,,,,,,yes,R,,4,7,5,1996
96RA00003,A1030,04,94,1,82,30,26,C,2,2,4.0,M,107,76,114,0.58,187,141,74,0.227,3.9,60,8.8,,,26.33,4.44,58,2,3,1-,1.93,123.2,L8638,03,18.04,18.04,L7821,03,22.79,22.79,207,191,0.29,2.0,,2,CTL,20.42,0.0,98,108,,S5,AAA,100.0,112,,,,,,,yes,R,,4,7,5,1996
96RA00004,A1040,04,94,1,81,30,02,M,3,3,3.0,M,107,72,115,0.565,176,126,74,0.189,3.3,62,6.4,,,27.04,4.5,56,3,1,1-,2.21,147.2,L9337,03,17.69,17.69,L6831,03,28.9,28.9,209,191,0.278,2.0,JAW6 SCUR3,3,LBW,23.3,0.0,106,87,,S2,AA,93.0,03,,,,,,,,,,3,7,7,1996
96RA00005,A1063,04,94,1,82,30,29,C,2,2,3.0,M,108,83,113,0.632,196,151,74,0.238,3.3,60,9.2,,,27.29,5.4,56,1,1,2+,1.97,87.1,L8982,03,15.6,15.6,L8880,03,11.38,11.38,222,191,0.299,2.0,,3,CTL,13.49,0.0,84,104,,S3,AA,89.0,28,,,,,,,,,,3,5,2,1996
96RA00006,A1070,04,94,1,82,30,25,C,2,2,3.0,M,108,83,113,0.648,190,143,74,0.21,3.6,58,8.6,,,26.07,4.36,58,2,1,2,2.09,125.8,L8625,03,13.74,13.74,L8786,03,28.43,28.43,215,191,0.275,2.0,,2,CTL,21.09,0.0,104,104,,S4,AAA,100.0,116,,,,,,,yes,R,,3,6,5,1996
96RA00007,A1399,04,94,1,82,30,28,C,2,2,4.0,M,113,81,109,0.634,171,142,74,0.214,3.9,60,8.4,,,27.8,6.34,56,1,1,1-,2.37,131.7,L8913,03,12.68,12.68,L6643,03,19.02,19.02,186,191,0.263,2.0,,2,CTL,15.85,0.0,102,103,,S2,AA,90.0,115,,,,,,,yes,R,,4,10,6,1996
96RA00008,A1423,04,94,1,81,30,01,M,3,2,4.0,M,113,77,109,0.628,179,135,74,0.204,3.9,62,10.8,,,27.8,5.06,56,1,1,1-,2.04,143.3,L8774,03,9.82,9.82,L6679,03,29.98,29.98,213,191,0.269,2.0,,2,LBW,19.9,0.0,115,118,,S2,AA,86.0,110,,,,,,,yes,R,,4,8,7,1996
96RA00009,A1547,04,94,2,73,30,  9,L,2,1,7.0,*,232,72,107,0.568,0,0,73,0.0,0.0,60,5.2,,,0.0,0.0,60,1,1,,1.57,99.1,L9432,03,0.0,0.0,L2602,03,0.0,0.0,,,0.0,1.5,,2,-FL,0.0,0.0,119,,,S5,AAA,0.0,123,,,,,,,yes,R,,5,11,10,1996
96RA00010,A1558,04,94,2,73,30,  2,H,3,3,4.0,*,232,74,107,0.605,0,0,73,0.0,0.0,60,5.6,,,0.0,0.0,,,1,,0.75,37.5,L9477,03,0.0,0.0,L8218,03,0.0,0.0,,,0.0,1.5,TR=3!,3,-FL,0.0,0.0,66,,,S4,AAA,0.0,UTE,,,,,,,,,,1,3,3,1996
96RA00011,A1559,04,94,2,73,30,  2,H,1,1,7.0,*,232,53,107,0.379,0,0,73,0.0,0.0,60,5.8,,,0.0,0.0,,,1,,1.57,112.1,L9477,03,0.0,0.0,L1531,03,0.0,0.0,,,0.0,1.5,TB1 TR1,3,-FL,0.0,0.0,121,,,S2,AA,0.0,UTE,,,,,,,,,,7,11,11,1996
96RA00012,A1567,04,94,2,73,30,  1,L,1,1,6.5,*,234,84,105,0.678,0,0,73,0.0,0.0,60,5.6,,,0.0,0.0,,,1,,1.67,88.0,L9401,03,0.0,0.0,L3938,03,8.42,8.42,,,0.0,1.5,,3,-FL,0.0,0.0,115,,,S4,AAA,100.0,UTE,,,,,,,,,,5,10,8,1996
96RA00013,A1528,04,94,2,73,30,  1,L,2,2,5.0,*,230,67,109,0.514,0,0,73,0.0,0.0,60,4.6,,,0.0,0.0,,,1,,1.0,58.6,L9401,03,0.0,0.0,L6153,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,80,,,S4,AAA,0.0,UTE,,,,,,,,,,3,5,5,1996
96RA00014,A1588,04,94,2,73,30,  3,L,2,2,5.0,*,235,60,104,0.488,0,0,73,0.0,0.0,60,4.8,,,0.0,0.0,60,,1,,1.4,92.8,L9542,03,0.0,0.0,L6345,03,0.0,0.0,,,0.0,1.5,"SM.TSTS,PINK",2,-FL,0.0,0.0,109,,,S6,AAA,0.0,X,,,,,,,NO,R,,5,7,7,1996
96RA00015,A1594,04,94,2,73,30,  9,L,1,1,7.0,*,235,72,104,0.586,0,0,73,0.0,0.0,62,4.2,,,0.0,0.0,,,1,,1.0,65.1,L9432,03,0.0,0.0,L1304,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,90,,,S2,AA,0.0,UTE,,,,,,,,,,4,7,6,1996
96RA00016,A1595,04,94,2,73,30,  7,L,1,1,7.0,*,235,72,104,0.575,0,0,73,0.0,0.0,60,5.6,,,0.0,0.0,,,1,,0.86,69.1,L9388,03,0.0,0.0,L1771,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,93,,,S2,AA,0.0,UTE,,,,,,,,,,6,6,6,1996
96RA00017,A1572,04,94,2,73,30,  5,L,2,2,5.0,*,234,70,105,0.553,0,0,73,0.0,0.0,60,4.6,,,0.0,0.0,60,1,1,,1.2,86.6,L9483,03,0.0,0.0,L6097,03,0.0,0.0,,,0.0,1.5,,2,-FL,0.0,0.0,107,,,S5,AAA,100.0,120,,,,,,,yes,R,,4,6,6,1996
96RA00018,A1602,04,94,2,73,30,  6,H,1,1,4.5,*,236,83,103,0.715,0,0,73,0.0,0.0,62,6.8,,,0.0,0.0,,,1,,1.5,63.8,L9614,03,0.0,0.0,L7117,03,17.8,17.8,,,0.0,1.5,,3,-FL,0.0,0.0,96,,,S4,AAA,0.0,UTE,,,,,,,,,,3,6,4,1996
96RA00019,A1635,04,94,2,73,30,  1,L,2,2,7.0,*,240,65,99,0.539,0,0,73,0.0,0.0,60,4.8,,,0.0,0.0,60,1,1,,1.43,87.1,L9401,03,0.0,0.0,L1746,03,0.0,0.0,,,0.0,1.5,"MM, PET",2,-FL,0.0,0.0,107,,,S6,AAA,0.0,124,,,,,,,yes,R,,5,10,9,1996
96RA00020,A1638,04,94,2,73,30,  4,H,2,2,3.5,*,240,60,99,0.493,0,0,73,0.0,0.0,58,7.0,,,0.0,0.0,58,1,1,,2.0,103.0,L9460,03,0.0,0.0,L7535,03,4.46,4.46,,,0.0,1.5,MM,2,-FL,0.0,0.0,119,,,S5,AAA,100.0,121,,,,,,,yes,R,,3,6,6,1996
96RA00021,A1645,04,94,2,73,30,  3,L,2,2,7.0,*,241,52,98,0.414,0,0,73,0.0,0.0,62,4.8,,,0.0,0.0,60,1,1,,1.57,106.6,L9542,03,0.0,0.0,L3031,03,0.0,0.0,,,0.0,1.5,,2,-FL,0.0,0.0,118,,,S5,AAA,100.0,122,,,,,,,yes,R,,6,11,11,1996
96RA00022,A1664,04,94,2,73,30,  1,L,3,1,7.0,*,243,66,96,0.572,0,0,73,0.0,0.0,58,4.0,,,0.0,0.0,,,1,,1.43,72.4,L9401,03,0.0,0.0,L2578,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,96,,,S5,AAA,0.0,UTE,,,,,,,,,,5,10,7,1996
96RA00023,A1668,04,94,2,73,30,  8,H,2,2,6.0,*,243,60,96,0.51,0,0,73,0.0,0.0,56,5.2,,,0.0,0.0,56,3,1,,1.5,75.2,L9440,03,0.0,0.0,L4634,03,0.0,0.0,,,0.0,1.5,"SCURS,NOT REG",2,-FL,0.0,0.0,95,,,S6,AAA,0.0,125,,,,,,,yes,N,,5,9,8,1996
96RA00024,A1620,04,94,2,73,30,  9,L,1,1,5.0,*,238,74,101,0.601,0,0,73,0.0,0.0,60,6.4,,,0.0,0.0,,,1,,1.2,65.0,L9432,03,0.0,0.0,L6164,03,0.0,0.0,,,0.0,1.5,SH.HORNS,3,-FL,0.0,0.0,91,,,S3,AA,0.0,,,,,,,,,,,4,6,5,1996
96RA00025,A1688,04,94,2,73,30,  4,H,1,1,9.0,*,246,65,93,0.57,0,0,73,0.0,0.0,62,4.8,,,0.0,0.0,,,1,,1.33,82.6,L9460,03,0.0,0.0,Y9053,02,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,105,,,S3,AA,0.0,,,,,,,,,,,7,12,11,1996
96RA00026,A1689,04,94,2,73,30,  9,L,2,2,5.5,*,246,57,93,0.514,0,0,73,0.0,0.0,62,4.4,,,0.0,0.0,60,3,1,,1.4,75.4,L9432,03,0.0,0.0,L5596,03,4.45,4.45,,,0.0,1.5,"SCURS,NOT REG",2,-FL,0.0,0.0,95,,,S4,AAA,0.0,126,,,,,,,yes,N,,4,7,6,1996
96RA00027,A1693,04,94,2,73,30,  8,H,1,1,7.0,*,246,66,93,0.568,0,0,73,0.0,0.0,60,4.4,,,0.0,0.0,,,1,,1.43,98.1,L9440,03,0.0,0.0,L1161,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,118,,,S2,AA,0.0,UTE,,,,,,,,,,6,10,10,1996
96RA00028,A1670,04,94,2,73,30,  7,L,1,1,6.0,*,244,60,95,0.535,0,0,73,0.0,0.0,60,5.6,,,0.0,0.0,,,1,,1.67,84.3,L9388,03,0.0,0.0,L2863,03,0.0,0.0,,,0.0,1.5,,3,-FL,0.0,0.0,104,,,S2,AA,0.0,UTE,,,,,,,,,,5,10,7,1996
