UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
99RA00001, 8036,00,98,1,00,30,L-7,,2,1,2.5,Y,134,95,110,0.864,152,152,72,0.213,3.1,3.9,62,6.8,8.2,22.45,4.43,19.7,62,2,,2,2.24,104.5,A3467,04,A3735,04,182,194,0.276,1.0,,1,LIM,87,119,-,S4,AAA,,L-6,,L-6,,65,3,,0,E,,,,2,4,1,1999
99RA00002, 8222,00,98,1,00,06,L-5,,2,2,6.0,Y,132,88,112,0.786,170,170,72,0.307,2.8,3.5,60,7.4,8.9,23.18,4.83,20.8,62,1,,3-,1.49,110.9,K8958,63,K6672,63,202,194,0.362,1.0,"?,EPI,L.TSTS.",3,LIM,103,95,,,,,,,,,,,,,,,,,6,8,8,1999
99RA00003, 8225,00,98,1,00,06,L-3,,1,1,7.0,Y,132,115,112,1.027,182,182,72,0.251,3.6,4.5,58,7.8,9.3,25.77,4.84,18.8,58,2,,3+,1.63,101.9,K8744,63,K6038,63,217,194,0.324,1.0,?MSG 12/4/99,1,LIM,105,103,-,D3,DUD,,,,MSG,,65,3,,0,E,,,,6,11,8,1999
99RA00004, 8243,00,98,1,00,30,L-8,,3,2,2.5,Y,133,77,111,0.694,138,138,72,0.228,3.0,3.7,62,5.0,6.0,22.67,3.94,17.4,62,1,,3,2.41,117.5,A3480,04,A3932,04,169,194,0.292,1.0,,1,LIM,105,100,-,S1,A,,,,L-6a,,65,3,,0,E,,,,2,5,2,1999
99RA00005, 8280,00,98,1,00,07,L12,,2,2,3.0,Y,134,80,110,0.727,142,142,72,0.232,2.2,2.8,64,4.0,4.8,19.73,3.8,19.3,70,2,,3,1.98,97.6,S6748,10,S6749,10,170,194,0.286,1.0,FLWT:4.8,3,LIM,85,76,,S1,A,,,,,,,,,,,,,,3,6,3,1999
99RA00006, 8283,00,98,1,00,07,L13,,2,2,6.0,X,134,82,110,0.745,141,141,72,0.221,2.6,3.3,62,5.4,6.5,18.12,3.3,18.2,80,5,,5,1.47,87.0,S7359,10,S4011,10,0,0,0.0,1.0,"X, H5, UGLY",3,LIM,,,,,,,,,,,,,,,,,,,4,7,5,1999
99RA00007, 8319,00,98,1,00,06,L-5,,1,1,3.0,Y,135,103,109,0.945,185,185,72,0.307,3.2,4.0,58,8.6,10.4,23.71,4.7,19.8,60,1,,3-,1.53,91.2,K8958,63,K9019,63,225,194,0.387,1.0,NICE LIB S5,1,LIM,114,107,-,S5,AAA,,,,L-4a,,40,2,,10,Q,,,,3,4,2,1999
99RA00008, 8324,00,98,1,00,30,L-8,,2,2,2.5,Y,135,80,109,0.734,136,136,72,0.21,2.3,2.9,62,3.3,4.0,22.45,4.76,21.2,62,2,,2-,2.24,118.2,A3480,04,A3835,04,155,194,0.238,1.0,FLWT:4.0,3,LIM,96,78,,S1,A,,,,,,,,,,,,,,2,4,2,1999
99RA00009, 8353,00,98,1,00,43,L11,,1,1,6.0,Y,135,107,109,0.982,151,151,72,0.165,2.4,3.0,62,7.4,8.9,22.37,4.29,19.2,62,3,1,4+,1.57,95.5,S7529,10, 5099,,168,194,0.194,1.0,"H3,PIZZLE Rx",2,LIM,86,99,-,S2,AA,,218,,,,,,,,,,,_____,5,8,6,1999
99RA00010, 8357,00,98,1,00,07,L12,,2,1,6.5,Y,136,91,108,0.843,136,136,72,0.169,2.4,3.0,62,5.2,6.3,21.82,6.06,27.8,62,2,,3,1.57,92.9,S6748,10,S3397,10,161,194,0.222,1.0,NICE,3,LIM,74,84,,S3,AA,,,,,,,,,,,,,,5,8,5,1999
99RA00011, 8363,00,98,1,00,07,L13,,3,1,7.0,Y,136,97,108,0.898,162,162,72,0.243,3.0,3.8,62,6.2,7.5,20.97,3.24,15.5,64,3,,3-,1.82,91.1,S7359,10, 2062,,181,194,0.267,1.0,"H3,DUD",1,LIM,82,100,-,MO,MOR,,LIB,,DUD,,40,3,,5,S,,,,6,13,8,1999
99RA00012, 8386,00,98,1,00,06,L-2,,2,2,5.0,Y,136,91,108,0.843,166,166,72,0.281,2.8,3.5,62,5.6,6.8,22.67,4.19,18.5,62,1,,3+,1.66,104.3,K8901,63,K7667,63,189,194,0.311,1.0,,3,LIM,95,85,,S1,A,,,,Uta,,,,,,,,,,4,8,5,1999
99RA00013, 8402,00,98,1,00,30,L-6,,3,1,5.5,Y,137,94,107,0.879,147,147,72,0.199,3.0,3.8,64,4.0,4.9,24.85,4.11,16.5,60,2,,3-,2.0,74.9,A3129,04,A0255,04,176,194,0.26,1.0,,3,LIM,66,91,,S2,AA,,,,,,,,,,,,,,4,11,4,1999
99RA00014, 8429,00,98,1,00,06,L-4,,1,1,4.0,Y,137,104,107,0.972,166,166,72,0.232,3.0,3.8,60,5.8,7.1,23.97,5.12,21.4,60,1,,3,1.39,96.2,K9133,63,K8280,63,189,194,0.27,1.0,"X,EPI,R.TSTS",3,LIM,92,88,,,,,,,,,,,,,,,,,4,4,3,1999
99RA00015, 8430,00,98,1,00,30,L-6,,2,1,4.0,Y,137,97,107,0.907,158,158,72,0.228,3.1,3.9,60,5.4,6.6,23.93,4.81,20.1,60,1,,3+,1.69,73.8,A3129,04,A2055,04,187,194,0.286,1.0,"X, PEA NUTS",3,LIM,56,106,,,,,,,,,,,,,,,,,2,4,1,1999
99RA00016, 8445,00,98,1,00,06,L-2,,3,1,7.0,Y,138,89,106,0.84,180,180,72,0.341,2.8,3.5,60,6.8,8.3,23.0,4.75,22.1,62,1,1,3+,1.29,60.4,K8901,63,K5441,63,214,194,0.397,1.0,,2,LIM,112,94,-,S2,AA,,167,,,,,,,,,,,_____,5,9,6,1999
99RA00017, 8451,00,98,1,00,07,L14,,1,1,6.0,Y,138,107,106,1.009,160,160,72,0.199,2.7,3.4,60,6.4,7.8,20.79,3.86,18.6,64,1,,3-,1.77,92.9,S6772,10,S4111,10,204,194,0.308,1.0,NICE WOOL,1,LIM,82,98,-,S3,AA,,,,L-1a,,70,3,,0,E,,,,4,10,5,1999
99RA00018, 8471,00,98,1,00,07,L12,,2,2,6.0,Y,139,81,105,0.771,129,129,72,0.18,2.0,2.5,64,3.8,4.7,21.12,3.97,18.8,64,2,,4+,1.57,87.0,S6748,10,  542,,156,194,0.238,1.0,FLWT:4.7,3,LIM,67,71,,S0,B,,,,,,,,,,,,,,5,8,6,1999
99RA00019, 8508,00,98,1,00,06,L-2,,1,1,4.0,Y,139,105,105,1.0,182,182,72,0.288,3.9,5.0,58,7.6,9.3,24.56,6.16,25.1,60,1,,3+,1.27,82.8,K8901,63,K7914,63,216,194,0.352,1.0,DUD,1,LIM,109,108,-,D3,DUD,,LIB,,DUD,,50,3,,15,Q,,,,3,3,2,1999
99RA00020, 8512,00,98,1,00,43,L11,,1,1,6.0,Y,139,111,105,1.057,175,175,72,0.24,2.6,3.3,64,6.4,7.8,19.85,3.6,18.1,70,2,,2-,1.57,93.3,S7529,10,S3919,10,204,194,0.295,1.0,,3,LIM,69,98,,S0,B,,,,,,,,,,,,,,6,8,5,1999
99RA00021, 8523,00,98,1,00,30,L-8,,3,1,6.0,Y,140,92,104,0.885,138,138,72,0.172,3.3,4.2,60,5.4,6.6,23.02,5.71,24.8,62,1,,2,1.83,118.8,A3480,04,L8806,03,164,194,0.229,1.0,,1,LIM,94,109,-,S1,A,,,,,,65,3,,0,E,,,,5,11,9,1999
99RA00022, 8538,00,98,1,00,07,L12,,2,2,6.0,Y,141,96,103,0.932,149,149,72,0.199,3.1,4.0,64,5.4,6.7,21.35,4.16,19.5,64,2,,3,1.67,109.2,S6748,10,S3837,10,185,194,0.283,1.0,GOOD,1,LIM,80,96,-,S2,AA,,,,,,70,3,,0,E,,,,6,9,7,1999
99RA00023, 8542,00,98,1,00,30,L-6,,2,1,2.5,Y,141,84,103,0.816,138,138,72,0.202,2.9,3.7,58,5.6,6.9,24.66,4.48,18.2,60,1,,2-,2.0,103.0,A3129,04,A2637,04,160,194,0.241,1.0,DUD,1,LIM,87,106,-,MO,MOR,,LIB,,DUD,,55,3,,0,S,,,,2,4,3,1999
99RA00024, 8549,00,98,1,00,06,L-4,,1,1,5.0,Y,142,104,102,1.02,150,150,72,0.172,2.8,3.6,60,6.2,7.7,22.79,4.89,21.4,62,1,,3-,1.33,100.9,K9133,63,K7064,63,173,194,0.219,1.0,,3,LIM,83,90,,S0,B,,,,Uta,,,,,,,,,,3,5,5,1999
99RA00025, 8581,00,98,1,00,06,L-5,,1,1,5.0,X,142,97,102,0.951,144,144,72,0.176,3.1,4.0,64,7.2,8.9,22.56,5.76,25.5,62,1,6,3+,1.33,90.4,K8958,63,K7505,63,0,0,0.0,1.0,"X, JAW6",3,LIM,,,,,,,,,,,,,,,,,,,4,5,4,1999
99RA00026, 8619,00,98,1,00,43,L11,,2,1,5.0,Y,145,94,99,0.949,152,152,72,0.217,2.8,3.6,62,6.2,7.8,20.12,3.68,18.3,70,3,,3-,1.4,69.8,S7529,10,S5332,10,176,194,0.26,1.0,H3,3,LIM,82,100,,S0,B,,,,,,,,,,,,,,5,7,4,1999
99RA00027, 8652,00,98,1,00,30,L-9,,2,1,2.5,Y,143,84,101,0.832,133,133,72,0.184,2.8,3.6,60,3.8,4.7,23.12,4.2,18.2,62,2,,2,2.24,103.8,A3656,04,A3702,04,149,194,0.206,1.0,,3,LIM,71,89,,S2,AA,,,,,,,,,,,,,,2,4,1,1999
99RA00028, 8655,00,98,1,00,30,L-6,,2,1,4.0,Y,144,91,100,0.91,150,150,72,0.221,3.0,3.9,58,5.8,7.2,22.72,4.36,19.2,62,1,,2,1.69,73.8,A3129,04,A2544,04,179,194,0.279,1.0,,3,LIM,58,111,,S1,A,,,,,,,,,,,,,,2,4,1,1999
99RA00029, 8656,00,98,1,00,30,L-6,,2,1,3.5,Y,144,89,100,0.89,131,131,72,0.157,2.6,3.4,62,4.4,5.5,22.38,4.13,18.5,62,2,,1-,2.28,103.0,A3129,04,A2620,04,158,194,0.219,1.0,,3,LIM,85,94,,S1,A,,,,,,,,,,,,,,3,7,3,1999
99RA00030, 8657,00,98,1,00,06,L-5,,3,1,7.0,Y,144,89,100,0.89,159,159,72,0.262,2.6,3.4,60,6.8,8.5,22.89,4.36,19.1,62,1,1,3+,1.45,95.5,K8958,63,K6322,63,193,194,0.33,1.0,,2,LIM,101,93,-,S4,AAA,,166,,,,,,,,,,,_____,4,9,7,1999
