UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
06RA00001,,  104,00104,,04,1,00,97,,,B,1,,0.0,M,0,0,0,0.0,248,0,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,0,,,0,0.0,2.0,"X,L.TESTE,X",3,,,,,,RR,S2,AA,STUD,94.0,,11,Term,,,,,,,,,,,,523325,,,,2006,93,0612,0,MI37-281,0.0
06RA00002,,  327,00327,,04,1,00,06,,,C,2,,0.0,M,0,0,0,0.0,252,0,51,0.0,0.0,0.0,60,6.2,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,275,,268,194,0.0,2.0,THIN Jarvis,1,,,,,,QR,S1,A,STUD,94.0,e03,07K,Term,,,3,W,70,,10,0,S,,,U6376,,,,2006,,,0,UT06-4566,0.0
06RA00003,,  337,00337,,04,1,00,06,,,C,2,,0.0,M,0,0,0,0.0,271,0,51,0.0,0.0,0.0,62,6.0,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,287,,274,194,0.0,2.0,"THIN,SM.TSTS",1,,,,,,QR,S1,A,STUD,89.0,e02,04K,Term,,,3,W,70,,0,0,E,,,T5734,,,,2006,,,0,UT0398-206,0.0
06RA00004,,  345,00345,,04,1,00,06,,,C,3,,0.0,M,0,0,0,0.0,267,0,51,0.0,0.0,0.0,62,5.8,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,290,,269,194,0.0,2.0,"THIN, OK",6,,,,,,QR,S3,AA,STUD,100.0,02,02K,Term,,,1,W,60,,15,0,S,,,U3905,,,,2006,,,0,MT0188-0645,0.0
06RA00005,,  360,00360,,04,1,00,06,,,C,2,,0.0,M,0,0,0,0.0,263,0,51,0.0,0.0,0.0,60,6.6,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,263,,264,194,0.0,2.0,"THIN,LUNGS?",6,,,,,,QR,S1,A,STUD,94.0,alt,05K,Term,,,1,W,60,,10,0,S,,,T5735,,,,2006,,,0,UT0398-207,0.0
06RA00006,,  408,00408,,04,1,00,Tx,,,T,1,,0.0,M,0,0,0,0.0,211,0,51,0.0,0.0,0.0,54,4.6,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,222,,220,194,0.0,2.0,KSS0010-0695,6,Tx,,,,,RR,S3,AA,STUD,100.0,21,22,Term,,,1,W,65,,0,0,S,,,10111,,,,2006,01,1107,0,KSS0010-0695,0.0
06RA00007,,  426,00426,,04,1,00,Tx,,,T,1,,0.0,M,0,0,0,0.0,157,0,51,0.0,0.0,0.0,54,4.0,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,172,,172,194,0.0,2.0,THIN,1,Tx,,,,,RR,S2,AA,STUD,100.0,22,23,Term,,,1,W,60,,15,0,S,,,10037,,,,2006,,,0,MT1674-0053,0.0
06RA00008,,  428,00428,,04,1,00,Tx,,,T,1,,0.0,M,0,0,0,0.0,179,0,51,0.0,0.0,0.0,54,4.0,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,187,,193,194,0.0,2.0,MT30-1083,1,Tx,,,,,QR,S2,AA,STUD,100.0,23,24,Term,,,1,W,50,,0,0,S,,,10033,,,,2006,,,0,MT30-1083,0.0
06RA00009,,  454,00454,,04,1,00,Tx,,,T,2,,0.0,M,0,0,0,0.0,188,0,51,0.0,0.0,0.0,54,4.4,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,0,,196,194,0.0,2.0,MT1674-0054,3,Tx,,,,,QR,S1,A,CULL,0.0,XXX,25,Term,,,,C,0,,0,0,U,,,10752,,,,2006,93,1009,0,MT1674-0054,0.0
06RA00010,,  466,00466,,04,1,00,97,,,B,2,,0.0,M,0,0,0,0.0,252,0,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,.,,.,0.0,0.0,,,,,279,,257,194,0.0,2.0,THIN Culham,3,,,,,,RR,S2,AA,STUD,100.0,15,12,Term,,,1,W,80,,0,0,E,,,523324,,,,2006,,,0,MI37-286,0.0
