UID,ETAG,YR,SEA,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SHOU,SIDE,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,SEMEN,YRREC
93RA00001, 1574,92,1,TX,07,,,,0,Y,0,0,0,0.0,137,137,137,0.0,7.9,8.0,3.1,60,12.0,64.4,7.7,22.0,64,,,3+,0.0,0.0,,,,182,189,0.0,1.0,"TX, SM.TESTES",1,CTL,0,109,,,S2,AA,,,S,1993
93RA00002, 1957,92,1,TX,07,,,,0,Y,0,0,0,0.0,122,122,137,0.0,9.1,9.1,3.6,64,10.9,68.3,7.4,19.1,80,,,3+,0.0,0.0,,,,166,189,0.0,1.0,TEXAS RAM,1,FW,0,113,,,S4,AAA,52.0,G.5,S,1993
93RA00003, 1958,92,1,TX,07,,,,0,Y,0,0,0,0.0,179,179,137,0.0,9.2,9.0,3.6,58,14.2,66.5,9.4,20.6,64,,,3+,0.0,0.0,,,,196,189,0.0,1.0,TEXAS RAM,1,FW,0,128,,,S2,AA,99.9,33,S,1993
93RA00004, 6139,91,1,TX,07,,,,0,M,0,0,0,0.0,180,0,139,0.0,0.0,0.0,0.0,62,9.5,60.4,5.7,21.9,64,,,3+,0.0,0.0,,,,250,189,0.0,2.0,TEXAS RAM,1,CTL,0,0,,,S3,AA,99.9,80,S,1993
93RA00005,K5160,91,1,68,06,631,2,2,50,M,87,101,131,0.723,187,147,139,0.163,6.8,7.1,2.7,54,13.5,54.8,7.4,27.7,56,1,2,3,1.59,116.6,334663,2117,63,252,189,0.246,2.0,,2,,90,98,,K2117,S0,B,,196,,1993
93RA00006,K5165,91,1,68,06,633,2,2,50,M,87,102,137,0.681,167,148,139,0.167,9.1,9.1,3.6,54,12.8,65.0,8.3,26.6,56,1,1,3,1.59,104.6,398563,2405,63,223,189,0.271,2.0,,2,,100,114,,K2405,S3,AA,,201,,1993
93RA00007,K5204,91,1,68,06,601,2,2,40,M,89,103,129,0.662,196,147,139,0.156,7.8,8.4,3.2,60,13.3,58.3,7.8,27.0,56,1,1,3+,1.93,130.0,388463,2657,63,244,189,0.257,2.0,,2,,94,106,,K2657,S1,A,,XXX,,1993
93RA00008,K5205,91,1,68,06,631,2,1,60,M,89,114,129,0.641,196,158,139,0.156,5.8,6.4,2.4,60,13.8,48.4,6.7,25.2,58,1,2,4-,1.87,126.6,334663,1490,63,265,189,0.301,2.0,CHK.FACE,2,,111,92,,K1490,S0,B,,XXX,,1993
93RA00009,K5242,91,1,68,06,611,2,2,70,M,90,86,128,0.634,176,133,139,0.167,6.4,6.6,2.6,58,12.6,54.0,6.8,28.7,54,1,2,2-,1.78,124.5,393963,1141,63,229,189,0.266,2.0,,2,,98,92,,K1141,D3,DUD,,MKT,,1993
93RA00010,K5247,91,1,68,06,611,2,2,40,M,90,95,128,0.648,179,140,139,0.16,7.1,7.0,2.8,54,14.2,55.4,7.9,30.2,50,1,2,2,1.6,111.6,393963,3010,63,233,189,0.278,2.0,,2,,102,101,,K3010,S7,AAA,,201,,1993
93RA00521,Z1498,92,1,97,97,971,2,2,20,*,97,94,126,0.708,145,145,140,0.181,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,1.5,91.0,0A10,9752,80,183,189,0.269,1.0,KEEP,1,BF,0,0,,X9752,S4,AAA,,,S,1993
93RA00522,Z1519,92,1,97,97,971,2,2,40,*,98,101,125,0.694,143,143,140,0.149,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,2.25,141.5,0A10,5936,80,191,189,0.272,1.0,ENTR,1,BF,0,0,,X5936,S1,A,,,S,1993
93RA00523,Z1520,92,1,97,97,971,2,2,40,*,98,102,125,0.693,156,156,140,0.191,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,2,,2.25,141.5,0A10,5936,80,197,189,0.287,1.0,,1,BF,0,0,,X5936,S1,A,,,S,1993
93RA00524,Z1539,92,1,97,97,972,2,2,30,*,98,98,125,0.718,145,145,140,0.167,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,1.33,113.0,606580,8382,80,178,189,0.242,1.0,SIZE?,4,MKT,0,0,,X8382,,,,,,1993
93RA00525,Z1554,92,1,97,97,972,1,1,20,*,99,108,124,0.649,150,150,140,0.149,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,2,,1.0,117.0,606580,9742,80,184,189,0.23,1.0,THIN 7\93,4,MKT,0,0,,X9742,,,,,,1993
93RA00526,Z1583,92,1,97,97,972,2,2,70,*,100,104,123,0.655,155,155,140,0.181,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,1.57,144.9,606580,8610,97,199,189,0.287,1.0,,1,BF,0,0,,M8610,S4,AAA,75.0,974,S,1993
93RA00527,Z1616,92,1,97,97,971,1,1,20,*,101,122,122,0.759,150,150,140,0.099,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,1.0,122.0,0A10,9744,80,188,189,0.199,1.0,THIN,4,BF,0,0,,X9744,,,,,,1993
93RA00528,Z1696,92,1,97,97,972,1,1,40,*,103,126,120,0.743,148,148,140,0.078,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,1.5,144.0,606580,5938,80,189,189,0.19,1.0,,1,BF,0,0,,X5938,S4,AAA,,,S,1993
93RA00529,Z1984,92,1,97,97,971,1,1,30,*,114,115,109,0.793,168,168,140,0.188,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,1,,0.67,73.0,0A10,8183,80,215,189,0.302,1.0,,1,BF,0,0,,X8183,S2,AA,,,S,1993
93RA00530, 9217,92,1,97,97,DON,2,2,30,Y,34,,,,,,,,,,,,,,,,,,,1,,,890521,8904,,,,,1.0,SYRINGA RAM,1,BF,,,, 8904,S1,A,99.9,971,E,1993
