UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,FERT,LOT,NAX,STUDY,STUDY2,STUDY3,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,FLPBV,FLBVB,FLBVG,FLBVR
03RA00001,00744,00,00,1,88,30,L45,.,3,2,1.5,,140,74,88,0.727,0,158,72,0.3,0.0,0.0,58,10.6,10.6,0.0,0.0,0.0,0.0,0,.,,.,2.3,145.5,A5346,04,A5885,04,,,,0,0.322,3.0,Polypay Ram,3,LIM,,,,,S2,AA,,0.0,LIB,,HETR,MKT,cull,0,,,,,,,,0,,1,3,2,03,93,0505,0,-0.788,-1.2429,-0.7426,-0.0109
03RA00002,01117,00,00,1,88,30,L41,.,2,2,5.0,M,145,73,83,0.759,193,132,72,0.211,0.0,0.0,60,8.4,8.4,0.0435,0.0,0.0,0.0,0,.,,.,2.2,133.4,A4328,04,A4345,04,,,,0,0.261,3.0,FIX tag 01117,V,LIM,,,,,D4,DUD,,0.0,TEAZ,,HOMO,BHV,TEAZ,0,,,,,,,,0,,5,12,9,03,,,0,-1.003,-1.1711,-1.1335,-0.0097
03RA00003,01541,00,00,1,68,06,L05,G,2,1,4.0,M,155,72,73,0.849,272,167,72,0.339,0.0,0.0,60,15.8,15.8,0.0581,0.0,0.0,0.0,0,.,,.,1.58,116.2,K0116,64, 8580,00,,,,0,0.331,3.0,EYE INFECTION,6,ADG,US,,,,S1,A,,0.0,LIB,,HETR,BHV,dead,0,,,,,,,,0,,3,5,4,03,06,0702,0,,,,
03RA00004,A6529,04,99,1,88,30,44-,.,3,1,4.5,M,110,84,111,0.682,256,140,72,0.195,3.3,3.3,62,10.0,10.0,0.0391,24.0,0.0,0.0,60,1,1,3+,2.3,150.7,A3678,04,A4918,04,,,,0,0.246,4.0,SHORT STAPLE,3,GXE,,97,96,,S1,A,STUD,97.0,.,Nax,FLWT,.,cull,0,,,,,,,,0,,4,10,9,03,93,0602,0,-1.847,-2.0009,-1.5287,-0.0147
03RA00005,A7106,04,00,1,82,30,28,C,2,2,5.0,,99,90,122,0.664,0,157,72,0.233,0.0,0.0,60,9.8,9.8,0.0,0.0,0.0,0.0,0,.,1,.,2.2,99.5,A5406,04,A4207,04,,,,0,0.241,3.0,TEASER RAM,3,CTL,,,,,D3,DUD,,0.0,-5-,,TEAZ,TEAZ,cull,0,,,,,,,,0,,5,12,6,03,93,0506,0,-1.48,-1.3064,-0.8904,-0.0107
03RA00006,A7109,04,00,1,82,30,23,C,2,2,4.0,,99,74,122,0.524,0,155,72,0.282,0.0,0.0,62,7.2,7.2,0.0,0.0,0.0,0.0,0,.,1,.,2.05,111.0,A5082,04,A5529,04,,,,0,0.277,3.0,PREPUCE BLED,3,CTL,,,,,D3,DUD,,0.0,LIB,,HOMO,.,cull,0,,,,,,,,0,,4,8,6,03,93,0506,0,-1.386,-1.5631,-1.0922,-0.013
03RA00007,A7158,04,00,1,82,30,21,C,3,2,5.0,,101,82,120,0.611,0,166,72,0.293,0.0,0.0,58,10.6,10.6,0.0,0.0,0.0,0.0,0,.,1,.,2.09,104.7,A5530,04,A4327,04,,,,0,0.295,3.0,,3,CTL,,,,,D4,DUD,,0.0,LIB,,HETR,MKT,cull,0,,,,,,,,0,,4,11,8,03,93,0505,0,-0.593,-0.9653,-0.5663,-0.0078
03RA00008,A7198,04,00,1,88,30,46-,.,2,2,5.5,M,102,86,119,0.65,186,152,72,0.23,0.0,0.0,60,7.2,7.2,0.0387,0.0,0.0,0.0,0,.,1,.,1.87,103.3,A5230,04,A3742,04,,,,0,0.232,3.0,"UGLY, -SIZE",V,GXE,,,,,D4,DUD,,0.0,BHV,,HOMO,BHV,Behave,0,,,,,,,,0,,4,9,6,03,,,0,-1.282,-0.6796,-0.323,-0.0062
03RA00009,A7199,04,00,1,88,30,46-,.,2,2,5.5,M,102,96,119,0.72,223,174,72,0.272,3.6,3.6,56,7.8,7.8,0.035,27.0,0.0,0.0,56,2,1,2-,1.87,103.3,A5230,04,A3742,04,,,,0,0.304,3.0,,1,GXE,,82,84,,S2,AA,STUD,76.0,03P,,FLWT,.,FLWT,0,,,,,,,,0,,4,9,6,03,,,0,-2.322,-1.7784,-1.1937,-0.0137
03RA00010,A7239,04,00,1,81,30,03,M,2,2,6.0,M,102,97,119,0.72,231,170,72,0.254,0.0,0.0,60,10.2,10.2,0.0442,0.0,0.0,0.0,0,.,1,.,2.1,136.6,A5232,04,A2908,04,,,,0,0.298,3.0,,V,LWW,,,,,D3,DUD,,0.0,BHV,,HOMO,BHV,Behave,0,,,,,,,,0,,6,14,12,03,,,0,-0.299,-0.6782,-0.0224,-0.0074
