UID,ID9,ABEWE,YR,SEX,BRD,ETAG,LINE,DAYSH,BAND,TEETH,SPWT,GRFL,L,CLFL,FLGR1,SIGR,THGR,SQEZ,H,J,FACE,DEWLAP,NECK,TYPE,COND,WTFEB,N_FEB,T_FEB,C_FEB,FTRT,DIAM,VARD,CRIMP,DIGR,WT_JULY,YEAR,STM,AGE
90SH00001, 88000001, 0,88,1,00,00001,,137,M,,210,14.8,92,,5,2,3,,2,1, 7,,,,,,,,,,,,,,244,90,02,2.0
90SH00002, 88008068, 0,88,1,00,08068,,137,M,,198,12.4,91,,2,2,3,,1,2, 9,,,,,,,,,,,,,,224,90,02,2.0
90SH00003, 88008083, 0,88,1,00,08083,,137,M,,203,21.7,90,,2,1,2,,1,2, 9,,,,,,,,,,,,,,230,90,02,2.0
90SH00004, 88008155, 0,88,1,00,08155,,137,M,,240,15.4,99,,2,1,2,,1,7, 8,,,,,,,,,,,,,,273,90,02,2.0
90SH00005, 88008289, 0,88,1,00,08289,,137,M,,193,17.9,93,,3,3,4,,2,1, 9,,,,,,,,,,,,,,228,90,02,2.0
90SH00006, 83023908, 0,83,2,02,Y3908,73,137,X,,147,7.0,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00007, 83023910, 0,83,2,02,Y3910,81,125,J,,150,9.0,,,5,,,,,,,,,,,,,,,7,,,,,,90,30,7.0
90SH00008, 83023914, 0,83,2,02,Y3914,72,137,5,,169,9.3,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00009, 83023918, 0,83,2,02,Y3918,74,136,5,,149,10.3,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00010, 83023924, 0,83,2,02,Y3924,74,137,5,,183,10.9,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00011, 83023926, 0,83,2,02,Y3926,73,137,5,,183,8.3,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00012, 83023933, 0,83,2,02,Y3933,74,136,5,,148,10.6,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00013, 83023959, 0,83,2,02,Y3959,74,136,X,,170,9.6,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00014, 83023966, 0,83,2,02,Y3966,72,136,5,,159,7.0,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00015, 83024039, 0,83,2,02,Y4039,73,137,5,,149,9.5,,,4,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00016, 83024076, 0,83,2,02,Y4076,73,136,5,,164,10.0,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00017, 83024142, 0,83,2,02,Y4142,75,136,5,,146,9.8,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00018, 83024157, 0,83,2,02,Y4157,74,137,5,,166,8.0,,,4,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00019, 83024169, 0,83,2,02,Y4169,75,137,5,,132,9.8,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00020, 83024231, 0,83,2,02,Y4231,75,136,5,,156,7.1,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00021, 83024314, 0,83,2,02,Y4314,80,136,2,,125,10.5,,,7,,,,,,,,,,,,,,,7,,,,,,90,30,7.0
90SH00022, 83024355, 0,83,2,02,Y4355,72,136,5,,166,9.3,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00023, 83024365, 0,83,2,02,Y4365,72,137,5,,134,7.0,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00024, 83024400, 0,83,2,02,Y4400,73,137,5,,156,10.0,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00025, 83024430, 0,83,2,02,Y4430,76,137,5,,173,8.3,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00026, 83024462, 0,83,2,02,Y4462,74,137,5,,183,8.9,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00027, 83024473, 0,83,2,02,Y4473,72,137,5,,175,9.3,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00028, 83024504, 0,83,2,02,Y4504,72,137,5,,153,7.9,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00029, 83024549, 0,83,2,02,Y4549,75,137,5,,160,9.2,,,2,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00030, 83024576, 0,83,2,02,Y4576,72,136,5,,142,7.7,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00031, 83024606, 0,83,2,02,Y4606,72,137,5,,172,9.6,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00032, 83024650, 0,83,2,02,Y4650,74,136,5,,173,7.9,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00033, 83024663, 0,83,2,02,Y4663,75,137,5,,162,11.1,,,4,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
