UID,ID9,ETAG,BRD,SEX,LINE,RGRP,GRP,STM,YR,YLD,BAND,DAYSH,DATE,TIME,GRADE,FLGR1,GRFL,SPWT,LOT,MSG,PD,RMK,TABL,L,YEAR,AGE
92SH00001, 90000010,00010,00,1,97,,,97,90,,Q,135,0514,0000,48,9,9.2,237,,,1,BOUGHT 1991,X,,92,2.0
92SH00002, 85631235,K1235,63,2,61,,,06,85,,1,132,0511,1346,54,7,12.6,186,,,1,,A,,92,7.0
92SH00003, 85631237,K1237,63,2,60,,,06,85,,1,132,0511,1153,58,5,14.3,180,,,1,,A,,92,7.0
92SH00004, 85631249,K1249,63,2,63,,,06,85,,1,132,0511,1318,54,7,12.8,180,,,1,,B,,92,7.0
92SH00005, 85631266,K1266,63,2,60,,,06,85,,1,132,0511,1353,56,6,10.2,155,,,1,,B,,92,7.0
92SH00006, 85631336,K1336,63,2,63,7,,06,85,,3,72,0312,0950,58,5,7.6,157,34D,Grn 4,1,,A,,92,7.0
92SH00007, 85631413,K1413,63,2,60,,,06,85,,1,132,0511,1353,58,5,10.7,173,,,1,tureRBAG,B,,92,7.0
92SH00008, 85631421,K1421,63,2,60,,,06,85,,1,132,0511,1346,56,6,11.0,179,,,1,BIG-BAG,B,,92,7.0
92SH00009, 85631426,K1426,63,2,63,7,,06,85,,3,72,0312,0957,54,7,9.2,186,29A,Red 3,1,LTS,A,,92,7.0
92SH00010, 85631468,K1468,63,2,60,7,,06,85,,3,72,0312,0913,56,6,9.6,183,35A,Red 5,1,,A,,92,7.0
92SH00011, 85631485,K1485,63,2,60,,,06,85,,1,132,0511,1355,54,7,14.1,189,,,1,LT'S,A,,92,7.0
92SH00012, 85631490,K1490,63,2,60,,,06,85,,2,132,0511,1721,56,6,10.1,193,,,1,CHOKER,A,,92,7.0
92SH00013, 85631496,K1496,63,2,61,,,06,85,,X,134,0513,1133,54,7,12.5,156,,,1,X,B,,92,7.0
92SH00014, 85631497,K1497,63,2,60,,,06,85,,2,132,0511,1720,54,7,12.4,180,,,1,,B,,92,7.0
92SH00015, 85631501,K1501,63,2,61,,,06,85,,1,132,0511,1350,58,5,10.4,180,,,1,"?BAG,4TEATS",B,,92,7.0
92SH00016, 85631520,K1520,63,2,60,7,,06,85,,3,72,0312,1104,56,6,8.8,185,30A,Red 0,1,,A,,92,7.0
92SH00017, 85631536,K1536,63,2,60,,,06,85,,1,132,0511,1323,64,2,11.5,171,,,1,DYSTOCIA,A,,92,7.0
92SH00018, 85631582,K1582,63,2,63,,,06,85,,2,132,0511,1718,58,5,11.8,187,,,1,,B,,92,7.0
92SH00019, 85631604,K1604,63,2,63,,,06,85,,2,132,0511,1737,50,8,14.2,167,,,1,,B,,92,7.0
92SH00020, 85631605,K1605,63,2,63,,,06,85,,1,132,0511,1200,56,6,11.0,195,,,1,TENDER,A,,92,7.0
92SH00021, 85631609,K1609,63,2,61,,,06,85,,1,132,0511,1146,54,7,11.2,159,,,1,,B,,92,7.0
92SH00022, 85631639,K1639,63,2,60,,,06,85,,2,133,0512,1536,60,4,11.6,173,,,1,,B,,92,7.0
92SH00023, 85631664,K1664,63,2,60,7,,06,85,,3,72,0312,0952,56,6,8.2,171,31D,Grn 1,1,,A,,92,7.0
92SH00024, 85631673,K1673,63,2,61,,,06,85,,2,132,0511,1656,58,5,9.7,202,,,1,?FXEWE,B,,92,7.0
92SH00025, 85631702,K1702,63,2,61,7,,06,85,1,3,72,0312,1014,56,6,10.1,180,30B,Grn 0,1,CULLWRECK,A,,92,7.0
92SH00026, 85631719,K1719,63,2,61,,,06,85,,X,134,0513,1059,54,7,10.6,171,,,1,DYSTOCIA,B,,92,7.0
92SH00027, 85631723,K1723,63,2,68,,,06,85,,2,132,0511,1717,54,7,13.4,211,,,1,LTS,B,,92,7.0
92SH00028, 85631725,K1725,63,2,63,,,06,85,,1,132,0511,1347,56,6,13.4,184,,,1,,A,,92,7.0
92SH00029, 85631759,K1759,63,2,68,,,06,85,,1,132,0511,1159,56,6,14.6,190,,,1,,A,,92,7.0
92SH00030, 85631778,K1778,63,2,68,,,06,85,,1,132,0511,1126,50,8,10.4,208,,,1,,B,,92,7.0
92SH00031, 86631823,K1823,63,2,60,,,06,86,,1,132,0511,1154,60,4,10.7,168,,,1,,A,,92,6.0
92SH00032, 86631830,K1830,63,2,61,,,06,86,,2,132,0511,1653,54,7,10.1,147,,,1,,B,,92,6.0
92SH00033, 86631831,K1831,63,2,61,,,06,86,,1,132,0511,1153,54,7,10.9,149,,,1,ABT.3/11/91,A,,92,6.0
92SH00034, 86631840,K1840,63,2,63,7,,06,86,,3,72,0312,0907,58,5,9.7,156,30A,Red 0,1,CULLY,A,,92,6.0
92SH00035, 86631848,K1848,63,2,61,,,06,86,,1,132,0511,1348,54,7,11.6,179,,,1,L.EYE.CONJ.,B,,92,6.0
92SH00036, 86631849,K1849,63,2,61,,,06,86,,1,132,0511,1123,56,6,11.6,173,,,1,THINEWE,B,,92,6.0
92SH00037, 86631868,K1868,63,2,61,,,06,86,,X,134,0513,1110,54,7,12.4,175,,,1,X,A,,92,6.0
92SH00038, 86631869,K1869,63,2,61,,,06,86,,1,132,0511,1123,54,7,12.4,198,,,1,,A,,92,6.0
92SH00039, 86631880,K1880,63,2,60,,,06,86,,1,132,0511,1319,56,6,10.8,168,,,1,FLTS,A,,92,6.0
92SH00040, 86631882,K1882,63,2,61,,,06,86,,1,133,0512,1315,54,7,11.2,180,,,1,,B,,92,6.0
92SH00041, 86631883,K1883,63,2,60,,,06,86,,2,132,0511,1736,56,6,11.0,175,,,1,ULCER.R.EYE,A,,92,6.0
92SH00042, 86631884,K1884,63,2,60,,,06,86,,1,132,0511,1354,56,6,14.0,166,,,1,,B,,92,6.0
92SH00043, 86631907,K1907,63,2,61,,,06,86,,2,132,0511,1740,54,7,11.4,157,,,1,,A,,92,6.0
92SH00044, 86631910,K1910,63,2,63,7,,06,86,,3,72,0312,1301,54,7,7.9,173,29C,Grn 3,1,,A,,92,6.0
