UID,ID9,YR,BRD,ETAG,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
94SH00001, 91635464,91,63,K5464,2,61,146,4.0,8.8,58,5,ABORTED,75,1994-03-16,1994-05-03,X,,94,06,3.0
94SH00002, 92102370,92,10,S2370,2,13,150,3.0,6.6,64,2,,75,1994-03-16,1994-05-04,1,,94,07,2.0
94SH00003, 90635011,90,63,K5011,2,60,197,3.8,8.4,58,5,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00004, 91101533,91,10,S1533,2,10,179,3.8,8.4,64,2,,75,1994-03-16,1994-04-19,2,,94,07,3.0
94SH00005, 91101453,91,10,S1453,2,12,170,3.8,8.4,64,2,,75,1994-03-16,1994-05-09,2,,94,42,3.0
94SH00006, 91101470,91,10,S1470,2,13,185,4.1,9.0,60,4,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00007, 92102484,92,10,S2484,2,10,148,3.9,8.6,62,3,,75,1994-03-16,1994-04-19,1,,94,42,2.0
94SH00008, 88633115,88,63,K3115,2,61,225,4.5,9.9,58,5,,75,1994-03-16,1994-04-19,1,,94,06,6.0
94SH00009, 92635972,92,63,K5972,2,60,177,3.8,8.4,58,5,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00010, 91101829,91,10,S1829,2,12,198,4.7,10.4,64,2,,75,1994-03-16,1994-04-19,2,,94,42,3.0
94SH00011, 91101556,91,10,S1556,2,13,176,3.5,7.7,64,2,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00012, 91101937,91,10,S1937,2,12,164,3.0,6.6,62,3,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00013, 92636290,92,63,K6290,2,68,163,4.4,9.7,54,7,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00014, 91635623,91,63,K5623,2,61,201,4.4,9.7,58,5,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00015, 90100610,90,10,S0610,2,13,181,4.7,10.4,64,2,,75,1994-03-16,1994-04-19,1,,94,07,4.0
94SH00016, 92636134,92,63,K6134,2,61,186,4.3,9.5,56,6,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00017, 88633275,88,63,K3275,2,61,229,3.6,7.9,60,4,,75,1994-03-16,1994-04-19,1,,94,06,6.0
94SH00018, 90634470,90,63,K4470,2,62,224,5.9,13.0,54,7,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00019, 88633259,88,63,K3259,2,62,213,3.6,7.9,58,5,,75,1994-03-16,1994-04-19,2,,94,06,6.0
94SH00020, 89633888,89,63,K3888,2,61,216,5.1,11.2,56,6,,75,1994-03-16,1994-05-04,1,,94,06,5.0
94SH00021, 91635478,91,63,K5478,2,61,181,3.4,7.5,60,4,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00022, 90634742,90,63,K4742,2,61,200,4.6,10.1,54,7,,75,1994-03-16,1994-04-25,1,,94,06,4.0
94SH00023, 87197828,87,19,S7828,2,13,184,4.8,10.6,62,3,,75,1994-03-16,1994-04-19,1,,94,07,7.0
94SH00024, 91635644,91,63,K5644,2,61,215,3.5,7.7,56,6,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00025, 89634220,89,63,K4220,2,61,264,5.3,11.7,54,7,,75,1994-03-16,1994-05-31,2,,94,06,5.0
94SH00026, 91101900,91,10,S1900,2,11,167,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,2,,94,42,3.0
94SH00027, 91102011,91,10,S2011,2,12,181,4.7,10.4,62,3,,75,1994-03-16,1994-04-19,1,,94,07,3.0
94SH00028, 92102539,92,10,S2539,2,10,135,3.0,6.6,60,4,,75,1994-03-16,1994-04-25,1,,94,42,2.0
94SH00029, 90100795,90,10,S0795,2,13,148,4.4,9.7,60,4,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00030, 90100932,90,10,S0932,2,10,183,3.9,8.6,58,5,,75,1994-03-16,1994-04-19,1,,94,07,4.0
94SH00031, 92635916,92,63,K5916,2,61,167,3.8,8.4,62,3,,75,1994-03-16,1994-04-29,2,,94,06,2.0
94SH00032, 88198904,88,19,S8904,2,11,188,3.7,8.2,58,5,,75,1994-03-16,1994-04-29,2,,94,07,6.0
94SH00033, 89199862,89,19,S9862,2,11,211,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,2,,94,07,5.0
94SH00034, 92636433,92,63,K6433,2,68,188,4.7,10.4,58,5,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00035, 91635473,91,63,K5473,2,60,163,4.9,10.8,54,7,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00036, 91101749,91,10,S1749,2,12,158,4.1,9.0,64,2,,75,1994-03-16,1994-04-29,2,,94,42,3.0
94SH00037, 90100597,90,10,S0597,2,10,182,4.9,10.8,58,5,,75,1994-03-16,1994-04-19,2,,94,41,4.0
94SH00038, 91635403,91,63,K5403,2,62,171,3.7,8.2,56,6,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00039, 92102942,92,10,S2942,2,13,0,4.0,8.8,60,4,,75,1994-03-16,,,,94,07,2.0
94SH00040, 90100536,90,10,S0536,2,13,176,3.1,6.8,64,2,,75,1994-03-16,1994-05-10,5,,94,07,4.0
94SH00041, 90634515,90,63,K4515,2,60,213,4.1,9.0,56,6,,75,1994-03-16,1994-04-19,1,,94,06,4.0
94SH00042, 90100644,90,10,S0644,2,12,154,4.7,10.4,60,4,,75,1994-03-16,1994-04-29,2,,94,41,4.0
94SH00043, 90100469,90,10,S0469,2,11,157,4.1,9.0,62,3,,75,1994-03-16,1994-04-19,2,,94,41,4.0
94SH00044, 92102521,92,10,S2521,2,10,147,3.5,7.7,62,3,,75,1994-03-16,1994-04-25,1,,94,07,2.0
94SH00045, 91101358,91,10,S1358,2,11,120,3.7,8.2,64,2,,75,1994-03-16,1994-05-25,1,,94,42,3.0
94SH00046, 90100844,90,10,S0844,2,13,149,3.0,6.6,62,3,,75,1994-03-16,1994-05-04,1,,94,07,4.0
94SH00047, 91101391,91,10,S1391,2,10,180,4.7,10.4,56,6,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00048, 89199904,89,19,S9904,2,12,166,3.3,7.3,64,2,,75,1994-03-16,1994-04-19,2,,94,07,5.0
94SH00049, 91101690,91,10,S1690,2,11,160,3.7,8.2,62,3,,75,1994-03-16,1994-04-19,1,,94,07,3.0
94SH00050, 90100824,90,10,S0824,2,11,170,5.5,12.1,58,5,,75,1994-03-16,1994-04-25,1,,94,41,4.0
94SH00051, 90101016,90,10,S1016,2,13,161,3.3,7.3,64,2,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00052, 89199946,89,19,S9946,2,10,199,3.5,7.7,62,3,,75,1994-03-16,1994-05-10,5,,94,07,5.0
94SH00053, 92636015,92,63,K6015,2,60,180,3.7,8.2,62,3,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00054, 92635917,92,63,K5917,2,61,186,3.7,8.2,62,3,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00055, 87197969,87,19,S7969,2,10,166,3.0,6.6,62,3,,75,1994-03-16,1994-04-19,1,,94,07,7.0
94SH00056, 91635564,91,63,K5564,2,60,223,5.1,11.2,58,5,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00057, 91101436,91,10,S1436,2,10,162,4.1,9.0,62,3,,75,1994-03-16,1994-04-19,2,,94,42,3.0
94SH00058, 90634891,90,63,K4891,2,60,208,3.6,7.9,58,5,,75,1994-03-16,1994-04-19,1,,94,06,4.0
94SH00059, 92102619,92,10,S2619,2,11,147,3.1,6.8,64,2,,75,1994-03-16,1994-05-04,1,,94,42,2.0
94SH00060, 91101904,91,10,S1904,2,13,148,3.2,7.1,64,2,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00061, 90635109,90,63,K5109,2,61,214,5.0,11.0,54,7,,75,1994-03-16,1994-04-19,2,,94,06,4.0
94SH00062, 90634953,90,63,K4953,2,62,211,5.0,11.0,54,7,,75,1994-03-16,1994-04-19,2,,94,06,4.0
94SH00063, 91635656,91,63,K5656,2,60,137,3.6,7.9,54,7,,75,1994-03-16,1994-05-25,1,,94,06,3.0
94SH00064, 91635228,91,63,K5228,2,61,206,4.0,8.8,60,4,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00065, 90634727,90,63,K4727,2,62,211,6.4,14.1,54,7,,75,1994-03-16,1994-04-19,2,,94,06,4.0
94SH00066, 91101315,91,10,S1315,2,13,160,3.8,8.4,62,3,,75,1994-03-16,1994-04-19,2,,94,07,3.0
94SH00067, 90100392,90,10,S0392,2,10,171,4.5,9.9,60,4,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00068, 92636530,92,63,K6530,2,61,181,4.3,9.5,56,6,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00069, 89100121,89,10,S0121,2,12,165,4.1,9.0,62,3,,75,1994-03-16,1994-04-29,2,,94,07,5.0
94SH00070, 90634686,90,63,K4686,2,62,0,4.9,10.8,58,5,,75,1994-03-16,,,,94,06,4.0
94SH00071, 92102378,92,10,S2378,2,11,143,3.1,6.8,64,2,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00072, 90100777,90,10,S0777,2,13,128,4.3,9.5,62,3,,75,1994-03-16,1994-05-09,2,,94,41,4.0
94SH00073, 89100128,89,10,S0128,2,10,191,3.7,8.2,62,3,,75,1994-03-16,1994-05-04,1,,94,07,5.0
94SH00074, 90100823,90,10,S0823,2,12,196,5.4,11.9,64,2,,75,1994-03-16,1994-04-19,2,,94,41,4.0
94SH00075, 91101376,91,10,S1376,2,12,134,3.5,7.7,60,4,,75,1994-03-16,1994-04-19,1,,94,42,3.0
94SH00076, 92102933,92,10,S2933,2,13,154,3.0,6.6,64,2,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00077, 91101925,91,10,S1925,2,13,136,3.4,7.5,58,5,,75,1994-03-16,1994-05-04,1,,94,07,3.0
94SH00078, 91101894,91,10,S1894,2,11,178,4.2,9.3,62,3,,75,1994-03-16,1994-04-19,2,,94,07,3.0
94SH00079, 90100901,90,10,S0901,2,13,171,3.9,8.6,62,3,,75,1994-03-16,1994-04-25,1,,94,07,4.0
94SH00080, 90635047,90,63,K5047,2,62,201,4.6,10.1,54,7,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00081, 90100812,90,10,S0812,2,13,165,3.8,8.4,62,3,,75,1994-03-16,1994-04-19,1,,94,07,4.0
94SH00082, 92102699,92,10,S2699,2,10,135,3.0,6.6,62,3,,75,1994-03-16,1994-04-25,1,,94,07,2.0
94SH00083, 92102299,92,10,S2299,2,12,142,3.3,7.3,64,2,,75,1994-03-16,1994-04-25,1,,94,42,2.0
94SH00084, 92636388,92,63,K6388,2,60,200,4.1,9.0,60,4,,75,1994-03-16,1994-05-10,5,,94,06,2.0
94SH00085, 90100637,90,10,S0637,2,10,196,3.7,8.2,64,2,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00086, 90100389,90,10,S0389,2,12,158,5.1,11.2,56,6,,75,1994-03-16,1994-04-29,2,,94,41,4.0
94SH00087, 90100463,90,10,S0463,2,10,148,2.9,6.4,64,2,,75,1994-03-16,1994-04-25,1,,94,07,4.0
94SH00088, 90100801,90,10,S0801,2,10,175,3.7,8.2,62,3,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00089, 92102345,92,10,S2345,2,10,137,3.5,7.7,62,3,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00090, 92635860,92,63,K5860,2,68,169,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00091, 91101640,91,10,S1640,2,11,193,3.9,8.6,64,2,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00092, 90100909,90,10,S0909,2,12,184,3.7,8.2,60,4,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00093, 90100690,90,10,S0690,2,11,168,4.1,9.0,62,3,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00094, 90634952,90,63,K4952,2,61,198,5.1,11.2,60,4,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00095, 92636313,92,63,K6313,2,60,165,3.5,7.7,56,6,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00096, 92102317,92,10,S2317,2,11,151,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,2,,94,07,2.0
94SH00097, 90635030,90,63,K5030,2,61,178,4.3,9.5,56,6,,75,1994-03-16,1994-04-25,1,,94,06,4.0
94SH00098, 90100512,90,10,S0512,2,12,152,4.0,8.8,60,4,,75,1994-03-16,1994-04-19,2,,94,41,4.0
94SH00099, 89100060,89,10,S0060,2,13,161,3.1,6.8,60,4,,75,1994-03-16,1994-05-09,2,,94,07,5.0
94SH00100, 90100826,90,10,S0826,2,10,163,4.1,9.0,62,3,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00101, 91635164,91,63,K5164,2,61,196,3.7,8.2,60,4,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00102, 92636383,92,63,K6383,2,61,204,3.8,8.4,60,4,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00103, 92102438,92,10,S2438,2,13,154,2.7,6.0,64,2,,75,1994-03-16,1994-05-04,1,,94,07,2.0
94SH00104, 90634972,90,63,K4972,2,61,219,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,1,,94,06,4.0
94SH00105, 92636216,92,63,K6216,2,61,166,4.0,8.8,58,5,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00106, 90100996,90,10,S0996,2,10,161,4.0,8.8,58,5,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00107, 92636184,92,63,K6184,2,60,168,3.7,8.2,60,4,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00108, 91635673,91,63,K5673,2,68,198,4.5,9.9,58,5,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00109, 92103015,92,10,S3015,2,12,167,4.0,8.8,60,4,,75,1994-03-16,1994-04-19,2,,94,07,2.0
94SH00110, 89199746,89,19,S9746,2,12,190,2.9,6.4,64,2,,75,1994-03-16,1994-04-19,1,,94,07,5.0
94SH00111, 90100433,90,10,S0433,2,12,133,3.7,8.2,60,4,,75,1994-03-16,1994-04-29,2,,94,41,4.0
94SH00112, 92102692,92,10,S2692,2,11,157,3.7,8.2,54,7,,75,1994-03-16,1994-04-19,1,,94,07,2.0
94SH00113, 91635466,91,63,K5466,2,62,181,3.0,6.6,58,5,,75,1994-03-16,1994-04-29,2,,94,06,3.0
