UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
98SH00001,1997814415,81,Z4415,2,00,6.8,0,0,1998-03-14,73,B,,80,1.0,161,1998-05-26,2,,98
98SH00002,1997813908,81,Z3908,2,97,4.5,0,0,1998-03-14,73,B,Missed Card,97,1.0,112,1998-05-28,B,,98
98SH00003,1997814516,81,Z4516,2,00,4.2,0,0,1998-03-14,73,B,,80,1.0,142,1998-05-26,2,,98
98SH00004,1997814356,81,Z4356,2,00,6.0,0,0,1998-03-14,73,B,,80,1.0,141,1998-06-18,5,,98
98SH00005,1997814385,81,Z4385,2,00,5.8,0,0,1998-03-14,73,B,,80,1.0,164,1998-05-12,2,,98
98SH00006,1997813997,81,Z3997,2,97,4.4,0,0,1998-03-14,73,B,,97,1.0,112,1998-05-28,B,,98
98SH00007,1997813932,81,Z3932,2,97,5.6,0,0,1998-03-14,73,B,,97,1.0,123,1998-05-28,B,,98
98SH00008,1997813956,81,Z3956,2,97,5.4,0,0,1998-03-14,73,B,,97,1.0,165,1998-05-28,B,,98
98SH00009,1997813964,81,Z3964,2,97,4.0,0,0,1998-03-14,73,B,,97,1.0,129,1998-05-28,B,,98
98SH00010,1997814573,81,Z4573,2,00,5.2,0,0,1998-03-14,73,B,,81,1.0,143,1998-05-08,1,,98
98SH00011,1997814432,81,Z4432,2,00,4.8,0,0,1998-03-14,73,B,,80,1.0,124,1998-05-01,2,,98
98SH00012,1997814055,81,Z4055,2,97,4.0,0,0,1998-03-14,73,B,,97,1.0,147,1998-05-28,B,,98
98SH00013,1997813886,81,Z3886,2,97,5.0,0,0,1998-03-14,73,B,,97,1.0,138,1998-05-28,B,,98
98SH00014,1997813946,81,Z3946,2,97,4.6,0,0,1998-03-14,73,B,,97,1.0,134,1998-05-28,B,,98
98SH00015,1997814375,81,Z4375,2,00,6.2,0,0,1998-03-14,73,B,,80,1.0,156,1998-05-12,2,,98
