UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
02SH00001,1992443593,2,2002-03-04,63,O,44,T3593,9.4,56,6,AKA T3593,02,10,0,,*,0,02
02SH00002,1998008059,2,2002-03-04,63,O,00, 8059,9.6,62,3,,43,4.0,179,2002-05-30,5,0,02
02SH00003,1992811961,2,2002-03-04,63,O,81,Z1961,8.4,62,3,,58,10,154,2002-05-30,5,0,02
02SH00004,1997044601,2,2002-03-04,63,O,04,A4601,6.4,60,4,,30,5.0,194,2002-05-30,5,0,02
02SH00005,2000001486,2,2002-03-04,63,O,00,01486,9.2,60,4,,02,2.0,157,2002-05-30,5,0,02
02SH00006,1995444793,2,2002-03-04,63,O,44,T4793,7.6,62,3,,02,7.0,181,2002-05-30,5,0,02
02SH00007,1996445706,2,2002-03-04,63,O,44,T5706,8.0,60,4,,02,6.0,175,2002-05-30,5,0,02
02SH00008,1998446436,2,2002-03-04,63,O,44,T6436,8.6,60,4,,02,4.0,206,2002-06-27,5,0,02
02SH00009,1999046130,2,2002-03-04,63,O,04,A6130,5.8,58,5,,30,3.0,172,2002-05-30,5,0,02
02SH00010,2000000483,2,2002-03-04,63,O,00,00483,5.6,62,3,,07,2.0,129,2002-05-30,5,0,02
02SH00011,1997108978,2,2002-03-04,63,O,10,S8978,7.6,60,4,,07,5.0,191,2002-05-30,5,0,02
02SH00012,2000111522,2,2002-03-04,63,O,11,R1522,11.6,60,4,,07,2.0,173,2002-05-30,5,0,02
02SH00013,1999046688,2,2002-03-04,63,O,04,A6688,9.4,58,5,,30,3.0,208,2002-05-30,5,0,02
02SH00014,1999046443,2,2002-03-04,63,O,04,A6443,7.4,60,4,,30,3.0,159,2002-06-27,5,0,02
02SH00015,1992039594,2,2002-03-04,63,O,03,L9594,7.6,58,5,SLICK GUMMER,30,9.5,139,2002-05-30,5,0,02
02SH00016,1993039813,2,2002-03-04,63,O,03,L9813,6.4,58,5,,30,9.0,200,2002-05-30,5,0,02
02SH00017,1997814264,2,2002-03-04,63,O,81,Z4264,7.6,60,4,,31,5.0,211,2002-05-30,5,0,02
02SH00018,1997044457,2,2002-03-04,63,O,04,A4457,7.6,58,5,S4457?,30,5.0,236,2002-05-30,5,0,02
02SH00019,1996107270,2,2002-03-04,63,O,10,S7270,15.2,60,4,,07,6.0,193,2002-05-30,5,0,02
02SH00020,1998446931,2,2002-03-04,63,O,44,T6931,10.2,60,4,,02,4.0,178,2002-05-30,5,0,02
02SH00021,1997639726,2,2002-03-04,63,O,63,K9726,8.6,56,6,,06,5.0,199,2002-05-30,5,0,02
02SH00022,1999046437,2,2002-03-04,63,O,04,A6437,9.6,56,6,,30,3.0,208,2002-05-30,5,0,02
02SH00023,1997446410,2,2002-03-04,63,O,44,T6410,9.0,62,3,,02,5.0,186,2002-05-30,5,0,02
02SH00024,1996106884,2,2002-03-04,63,O,10,S6884,12.8,60,4,,43,6.0,201,2002-05-30,5,0,02
02SH00025,1997639525,2,2002-03-04,63,O,63,K9525,8.8,60,4,,06,5.0,201,2002-05-30,5,0,02
02SH00026,1993443882,2,2002-03-04,63,O,44,T3882,9.2,62,3,TAG CUT '2002,02,9.0,188,2002-05-30,5,0,02
02SH00027,1997108879,2,2002-03-04,63,O,10,S8879,9.6,58,5,,43,5.0,221,2002-05-30,5,0,02
02SH00028,1998446454,2,2002-03-04,63,O,44,T6454,11.0,62,3,,02,4.0,186,2002-05-30,5,0,02
