UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,PSHDAY,GRFL_365,AGE
06SH00001,1998008084,00, 8084,7.0,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,7.5,8.0
06SH00002,2000000097,00,00097,8.6,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.2,6.0
06SH00003,2004114588,11,R4588,8.4,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.0,2.0
06SH00004,1998008757,00, 8757,8.4,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.0,8.0
06SH00005,1999109988,10,S9988,8.4,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,9.0,7.0
06SH00006,2004114819,11,R4819,8.2,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.8,2.0
06SH00007,2003114181,11,R4181,10.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,11.6,3.0
06SH00008,2002113820,11,R3820,7.6,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.1,4.0
06SH00009,2000111884,11,R1884,9.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,10.5,6.0
06SH00010,2004114769,11,R4769,7.0,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,7.5,2.0
06SH00011,2001112284,11,R2284,10.0,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,10.7,5.0
06SH00012,2001112834,11,R2834,9.2,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.8,5.0
06SH00013,2004114522,11,R4522,7.8,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.3,2.0
06SH00014,2001112776,11,R2776,8.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.4,5.0
06SH00015,2003642760,64,K2760,6.6,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,7.0,3.0
06SH00016,2002642616,64,K2616,9.4,56,6,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,10.0,4.0
06SH00017,1999090883,09,90883,8.6,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.2,7.0
06SH00018,2000111366,11,R1366,8.0,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,8.5,6.0
06SH00019,1999110739,11,R0739,9.2,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.8,7.0
06SH00020,2001112501,11,R2501,9.2,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.8,5.0
06SH00021,1999640706,64,K0706,11.6,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,12.4,7.0
06SH00022,2002113806,11,R3806,11.8,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,12.6,4.0
06SH00023,1999110227,11,R0227,9.0,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,9.7,7.0
06SH00024,2001641849,64,K1849,11.0,56,6,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,11.7,5.0
06SH00025,2001641982,64,K1982,9.0,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.6,5.0
06SH00026,2001112328,11,R2328,8.4,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.0,5.0
06SH00027,2004643191,64,K3191,9.0,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.6,2.0
06SH00028,1999110347,11,R0347,8.5,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,9.1,7.0
06SH00029,2001112689,11,R2689,8.8,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.4,5.0
06SH00030,2000000534,00,00534,9.8,54,7,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,10.5,6.0
06SH00031,2002114004,11,R4004,7.6,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.1,4.0
06SH00032,2002113377,11,R3377,8.6,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.2,4.0
06SH00033,1998109613,10,S9613,8.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,9.4,8.0
06SH00034,1999110725,11,R0725,7.4,62,3,2,2006-02-18,49,Band1 Ewe,1,SHORT,2005-03-15,7.9,7.0
06SH00035,2002113271,11,R3271,7.4,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,7.9,4.0
06SH00036,2002112984,11,R2984,5.8,62,3,2,2006-02-18,49,Band1 Ewe,1,SHORT,2005-03-14,6.2,4.0
06SH00037,1999090312,09,90312,8.4,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.0,7.0
06SH00038,2001112280,11,R2280,8.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.4,5.0
06SH00039,2004114779,11,R4779,10.0,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,10.7,2.0
06SH00040,1998008641,00, 8641,8.0,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,8.5,8.0
06SH00041,2004114788,11,R4788,8.8,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.4,2.0
06SH00042,2000111320,11,R1320,7.8,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,8.3,6.0
