UID,ETAG,SEX,GRFL,FLWT,SHEAR_DATE
09SH00001,Z9538,2,6.8,68,02/17/09
09SH00002,T1492,2,7.0,70,02/17/09
09SH00003,T0529,2,11.6,116,02/17/09
09SH00004,K4143,2,9.6,96,02/17/09
09SH00005,K2825,2,9.6,96,02/17/09
09SH00006,X5263,2,9.2,92,02/17/09
09SH00007,T1454,2,8.8,88,02/17/09
09SH00008,T1334,2,9.6,96,02/17/09
09SH00009,X4322,2,8.2,82,02/17/09
09SH00010,T1433,2,8.8,88,02/17/09
09SH00011,K3505,2,8.8,88,02/17/09
09SH00012,T1621,2,7.6,76,02/17/09
09SH00013,T1047,2,8.6,86,02/17/09
09SH00014,T1056,2,7.8,78,02/17/09
09SH00015,K3939,2,10.6,106,02/17/09
09SH00016,R4442,2,11.0,110,02/17/09
09SH00017,A8505,2,7.4,74,02/17/09
09SH00018,K3527,2,8.4,84,02/17/09
09SH00019,K3656,2,7.6,76,02/17/09
09SH00020,Z8953,2,11.0,110,02/17/09
09SH00021,T1131,2,9.0,90,02/17/09
09SH00022,T1300,2,9.4,94,02/17/09
09SH00023,Z9898,2,9.6,96,02/17/09
09SH00024,R2825,2,7.6,76,02/17/09
09SH00025,K3935,2,8.4,84,02/17/09
09SH00026,K4078,2,10.2,102,02/17/09
09SH00027,T1299,2,7.6,76,02/17/09
09SH00028,T0791,2,9.0,90,02/17/09
09SH00029,R2328,2,8.2,82,02/17/09
09SH00030,T1293,2,8.4,84,02/17/09
09SH00031,K3886,2,11.6,116,02/17/09
09SH00032,H1397,2,6.8,68,02/17/09
09SH00033,T0809,,8.4,84,02/17/09
09SH00034,K4103,2,10.4,104,02/17/09
09SH00035,T1359,2,10.8,108,02/17/09
09SH00036,T1781,2,8.8,88,02/17/09
09SH00037,H3118,2,7.2,72,02/17/09
09SH00038,T1284,2,8.2,82,02/17/09
09SH00039,K3651,2,11.0,110,02/17/09
09SH00040,A9715,2,9.8,98,02/17/09
09SH00041,T1507,2,7.8,78,02/17/09
09SH00042,T0301,2,6.4,64,02/17/09
09SH00043,K3736,2,9.6,96,02/17/09
09SH00044,T0248,2,9.2,92,02/17/09
09SH00045,Z8704,2,9.8,98,02/17/09
09SH00046,H2683,2,8.2,82,02/17/09
09SH00047,T0199,2,8.6,86,02/17/09
09SH00048,K3398,2,10.4,104,02/17/09
09SH00049,T0852,2,9.2,92,02/17/09
09SH00050,T0866,2,10.2,102,02/17/09
09SH00051,K3780,2,9.2,92,02/17/09
09SH00052,T0417,2,10.8,108,02/17/09
09SH00053,T9596,2,10.8,108,02/17/09
09SH00054,K3763,2,9.2,92,02/17/09
09SH00055,X2988,2,10.6,106,02/17/09
09SH00056,K3238,2,10.4,104,02/17/09
09SH00057,K4096,2,9.4,94,02/17/09
09SH00058,Z8750,2,7.0,70,02/17/09
09SH00059,A8394,2,5.2,52,02/17/09
09SH00060,K3588,2,10.0,100,02/17/09
09SH00061,R4688,2,10.0,100,02/17/09
09SH00062,H2189,2,7.0,70,02/17/09
09SH00063,R6835,2,10.0,100,02/17/09
09SH00064,T1005,2,10.2,102,02/17/09
09SH00065,X4865,2,6.8,68,02/17/09
09SH00066,H1564,2,5.4,54,02/17/09
09SH00067,T0517,2,9.6,96,02/17/09
09SH00068,K3237,2,8.0,80,02/17/09
09SH00069,K3586,2,9.4,94,02/17/09
09SH00070,T0518,2,9.2,92,02/17/09
09SH00071,A8670,2,6.2,62,02/17/09
09SH00072,H2952,2,8.2,82,02/17/09
09SH00073,T1436,2,7.6,76,02/17/09
09SH00074,K3690,2,10.6,106,02/17/09
09SH00075,H3389,2,5.4,54,02/17/09
09SH00076,K3804,2,11.0,110,02/17/09
09SH00077,T1670,2,9.6,96,02/17/09
09SH00078,K3133,2,7.4,74,02/17/09
09SH00079,R7044,2,9.0,90,02/17/09
09SH00080,T1155,2,8.6,86,02/17/09
09SH00081,T9534,2,7.2,72,02/17/09
09SH00082,T1243,2,9.6,96,02/17/09
09SH00083,Z8686,2,9.4,94,02/17/09
09SH00084,T1340,2,8.2,82,02/17/09
09SH00085,T1514,2,6.2,62,02/17/09
09SH00086,K3580,2,11.2,112,02/17/09
09SH00087,T1311,2,7.2,72,02/17/09
09SH00088,X3630,2,8.2,82,02/17/09
09SH00089,T0601,2,9.8,98,02/17/09
09SH00090,T1003,2,9.8,98,02/17/09
09SH00091,K4082,2,9.6,96,02/17/09
09SH00092,T9723,2,10.2,102,02/17/09
09SH00093,T1312,2,8.0,80,02/17/09
09SH00094,K4043,,6.8,68,02/17/09
09SH00095,T1357,2,7.6,76,02/17/09
09SH00096,K2521,2,9.0,90,02/17/09
09SH00097,T9812,2,7.8,78,02/17/09
09SH00098,R6945,2,8.6,86,02/17/09
09SH00099,T0685,2,10.4,104,02/17/09
09SH00100,T1313,2,9.2,92,02/17/09
09SH00101,K4087,2,9.0,90,02/17/09
09SH00102,T1754,2,7.6,76,02/17/09
09SH00103,X5084,2,8.2,82,02/17/09
