UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH00001,H3723,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00002,H6209,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00003,H6960,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00004,H7767,2,0,6.0,60,,49,30,Band 1 Ewe,0,
14SH00005,K4898,2,0,0.0,0,,0,06,Band 2 Ewe,0,
14SH00006,K4904,1,0,0.0,0,,0,06,Mature Ram,0,
14SH00007,K4944,1,0,0.0,0,,0,06,Yrlng Ram,0,
14SH00008,L0953,1,0,0.0,0,,0,PC,Mature Ram,0,
14SH00009,R6260,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH00010,R9099,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH00011,R9165,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH00012,R9199,1,0,0.0,0,,0,07,Mature Ram,0,
14SH00013,R9214,1,0,0.0,0,,0,07,Mature Ram,0,
14SH00014,R9316,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH00015,T3605,2,0,0.0,0,,0,02,Band 2 Ewe,0,
14SH00016,T4101,2,0,0.0,0,,0,02,Band 2 Ewe,0,
14SH00017,T4103,2,0,8.8,88,,49,02,Band 2 Ewe,0,
14SH00018,T4587,2,0,0.0,0,,0,02,Band 2 Ewe,0,
14SH00019,T4626,1,0,0.0,0,,0,02,Mature Ram,0,
14SH00020,T4891,1,0,0.0,0,,0,02,Yrlng Ram,0,
14SH00021,X6668,2,0,0.0,0,,0,T3,T3  Band 1 Ewe,0,
14SH00022,X8018,2,0,0.0,0,,0,S3,S3  Band 1 Ewe,0,
14SH00023,X8991,2,0,5.0,50,,50,TC,TC  Band 2 Ewe,0,
14SH00024,X9851,1,0,10.8,108,,50,C3,C3  Mature Ram,0,
14SH00025,Z0707,2,0,3.6,36,,50,R3,R3  Band 1 Ewe,0,
14SH00026,Z1142,1,0,8.0,80,,50,CM,CM  Mature Ram,0,
14SH00027,Z1179,1,0,0.0,0,,0,S,S   Mature Ram,0,
14SH00028,H7791,2,0,6.6,66,,49,30,Band 1 Ewe,0,
14SH00029,H6634,2,0,5.0,50,,49,30,Band 1 Ewe,0,
14SH00030,R8213,2,0,8.6,86,,49,07,Band 1 Ewe,0,
14SH00031,R9566,2,0,9.8,98,,49,07,Band 1 Ewe,0,
14SH00032,R9210,2,0,9.7,97,,49,07,Band 1 Ewe,0,
14SH00033,K4872,2,0,8.4,84,,49,06,Band 1 Ewe,0,
14SH00034,H7556,2,0,7.4,74,,49,30,Band 1 Ewe,0,
14SH00035,R9244,2,0,8.6,86,,49,07,Band 1 Ewe,0,
14SH00036,R9437,2,0,9.8,98,,49,07,Band 1 Ewe,0,
14SH00037,R8932,2,0,9.2,92,,49,07,Band 1 Ewe,0,
14SH00038,H7555,2,0,5.8,58,,49,30,Band 1 Ewe,0,
14SH00039,R9455,2,0,8.6,86,,49,07,Band 1 Ewe,0,
14SH00040,H7506,2,0,8.0,80,,49,30,Band 1 Ewe,0,
14SH00041,H7418,2,0,6.6,66,,49,30,Band 1 Ewe,0,
14SH00042,R9185,2,0,8.9,89,,49,07,Band 1 Ewe,0,
14SH00043,R9546,2,0,8.0,80,,49,07,Band 1 Ewe,0,
14SH00044,R9093,2,0,10.2,102,,49,07,Band 1 Ewe,0,
