UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
17SH00001,H5570,6.4,64,46,30,,7.0
17SH00002,H5592,6.0,60,46,30,,7.0
17SH00003,H5686,5.8,58,46,30,,7.0
17SH00004,H5696,6.0,60,46,30,,7.0
17SH00005,H5706,5.6,56,46,30,,7.0
17SH00006,H5730,7.8,78,46,30,,7.0
17SH00007,H5768,6.6,66,46,30,,7.0
17SH00008,H5842,6.8,68,46,30,,7.0
17SH00009,H5843,7.2,72,46,30,,7.0
17SH00010,H5844,5.6,56,46,30,,7.0
17SH00011,H5970,6.0,60,46,30,,7.0
17SH00012,H6016,4.8,48,46,30,,7.0
17SH00013,H6032,7.0,70,46,30,,7.0
17SH00014,H6037,5.8,58,46,30,,7.0
17SH00015,H6058,6.0,60,46,30,,7.0
17SH00016,H6064,4.4,44,46,30,,7.0
17SH00017,H6068,5.4,54,46,30,,7.0
17SH00018,H6094,7.8,78,46,30,,7.0
17SH00019,H6177,7.4,74,46,30,,7.0
17SH00020,H6272,8.4,84,46,30,,7.0
17SH00021,H6388,8.0,80,46,30,,7.0
17SH00022,H6480,6.6,66,46,30,,7.0
17SH00023,H6526,5.8,58,46,30,,7.0
17SH00024,H6539,6.4,64,46,30,,6.0
17SH00025,H6548,8.2,82,46,30,,6.0
17SH00026,H6597,6.6,66,46,30,,6.0
17SH00027,H6601,7.8,78,46,30,,6.0
17SH00028,H6632,6.2,62,46,30,,6.0
17SH00029,H6634,5.8,58,46,30,,6.0
17SH00030,H6671,8.4,84,46,30,,6.0
17SH00031,H6672,9.8,98,46,30,,6.0
17SH00032,H6680,5.4,54,46,30,,6.0
17SH00033,H6729,6.4,64,46,30,,6.0
17SH00034,H6739,5.6,56,46,30,,6.0
17SH00035,H6751,6.4,64,46,30,,6.0
17SH00036,H6807,5.8,58,46,30,,6.0
17SH00037,H6832,7.6,76,46,30,,6.0
17SH00038,H6848,6.0,60,46,30,,6.0
17SH00039,H6850,6.4,64,46,30,,6.0
17SH00040,H6885,6.0,60,46,30,,6.0
17SH00041,H6900,5.6,56,46,30,,6.0
17SH00042,H6917,4.8,48,46,30,,6.0
17SH00043,H6921,4.4,44,46,30,,6.0
17SH00044,H6925,5.0,50,46,30,,6.0
17SH00045,H7023,6.8,68,46,30,,6.0
17SH00046,H7081,4.2,42,46,30,,6.0
17SH00047,H7082,7.8,78,46,30,,6.0
17SH00048,H7124,7.2,72,46,30,,6.0
17SH00049,H7143,6.2,62,46,30,,6.0
17SH00050,H7162,8.8,88,46,30,,6.0
17SH00051,H7179,7.4,74,46,30,,6.0
17SH00052,H7186,5.6,56,46,30,,6.0
17SH00053,H7245,7.0,70,46,30,,6.0
17SH00054,H7315,5.4,54,46,30,,6.0
17SH00055,H7379,7.0,70,46,30,,6.0
17SH00056,H7418,7.2,72,46,30,,5.0
17SH00057,H7423,8.6,86,46,30,,5.0
17SH00058,H7426,5.0,50,46,30,,5.0
17SH00059,H7439,7.2,72,46,30,,5.0
17SH00060,H7496,6.4,64,46,30,,5.0
17SH00061,H7497,4.2,42,46,30,,5.0
17SH00062,H7498,5.2,52,46,30,,5.0
17SH00063,H7506,8.0,80,46,30,,5.0
17SH00064,H7516,7.0,70,46,30,,5.0
17SH00065,H7526,3.6,36,46,30,,5.0
17SH00066,H7553,6.0,60,46,30,,5.0
17SH00067,H7576,6.8,68,46,30,,5.0
17SH00068,H7592,5.8,58,46,30,,5.0
17SH00069,H7601,5.8,58,46,30,,5.0
17SH00070,H7603,5.2,52,46,30,,5.0
17SH00071,H7612,7.8,78,46,30,,5.0
17SH00072,H7621,7.6,76,46,30,,5.0
17SH00073,H7767,5.2,52,46,30,,5.0
17SH00074,H7828,6.4,64,46,30,,5.0
17SH00075,H7848,5.0,50,46,30,,5.0
17SH00076,H7866,7.4,74,46,30,,5.0
17SH00077,H7877,8.0,80,46,30,,5.0
17SH00078,H7892,6.6,66,46,30,,5.0
17SH00079,H7935,12.6,126,46,30,,5.0
17SH00080,H7947,5.8,58,46,30,,4.0
17SH00081,H7973,3.8,38,46,30,,4.0
17SH00082,H7986,4.2,42,46,30,,4.0
17SH00083,H7990,6.2,62,46,30,,4.0
17SH00084,H7991,6.8,68,46,30,,4.0
17SH00085,H8005,7.2,72,46,30,,4.0
17SH00086,H8036,7.2,72,46,30,,4.0
17SH00087,H8054,7.4,74,46,30,,4.0
17SH00088,H8063,5.8,58,46,30,,4.0
17SH00089,H8083,5.6,56,46,30,,4.0
17SH00090,H8092,7.8,78,46,30,,4.0
17SH00091,H8096,3.8,38,46,30,,4.0
17SH00092,H8097,7.8,78,46,30,,4.0
17SH00093,H8120,6.8,68,46,30,,4.0
17SH00094,H8135,7.2,72,46,30,,4.0
17SH00095,H8146,8.6,86,46,30,,4.0
17SH00096,H8154,5.6,56,46,30,,4.0
17SH00097,H8155,6.6,66,46,30,,4.0
17SH00098,H8209,7.2,72,46,30,,4.0
17SH00099,H8210,12.6,126,47,30,,4.0
17SH00100,H8248,6.2,62,46,30,,4.0
17SH00101,H8256,8.8,88,46,30,,4.0
17SH00102,H8262,5.4,54,46,30,,4.0
17SH00103,H8293,5.8,58,46,30,,4.0
17SH00104,H8300,4.4,44,46,30,,4.0
17SH00105,H8302,5.2,52,46,30,,4.0
17SH00106,H8307,6.4,64,46,30,,4.0
17SH00107,H8317,6.4,64,46,30,,4.0
17SH00108,H8328,6.0,60,46,30,,4.0
17SH00109,H8410,7.6,76,46,30,,4.0
17SH00110,H8450,6.6,66,46,30,,4.0
17SH00111,H8452,6.6,66,46,30,,4.0
17SH00112,H8468,6.8,68,46,30,,3.0
17SH00113,H8485,10.2,102,47,30,,3.0
17SH00114,H8491,7.4,74,46,30,,3.0
17SH00115,H8492,6.8,68,46,30,,3.0
17SH00116,H8495,7.8,78,46,30,,3.0
17SH00117,H8507,11.0,110,47,30,,3.0
17SH00118,H8508,9.2,92,46,30,,3.0
17SH00119,H8511,5.0,50,46,30,,3.0
17SH00120,H8514,5.4,54,46,30,,3.0
17SH00121,H8516,8.2,82,46,30,,3.0
17SH00122,H8519,4.6,46,46,30,,3.0
17SH00123,H8524,4.2,42,46,30,,3.0
17SH00124,H8530,7.4,74,46,30,,3.0
17SH00125,H8540,5.0,50,46,30,,3.0
17SH00126,H8545,8.4,84,46,30,,3.0
17SH00127,H8547,8.2,82,46,30,,3.0
17SH00128,H8549,5.6,56,46,30,,3.0
17SH00129,H8571,8.6,86,46,30,,3.0
17SH00130,H8591,7.4,74,46,30,,3.0
17SH00131,H8601,5.0,50,46,30,,3.0
17SH00132,H8602,8.4,84,46,30,,3.0
17SH00133,H8615,6.8,68,46,30,,3.0
17SH00134,H8620,8.0,80,46,30,,3.0
17SH00135,H8640,7.2,72,46,30,,3.0
17SH00136,H8664,5.8,58,46,30,,3.0
17SH00137,H8667,6.0,60,46,30,,3.0
17SH00138,H8668,5.8,58,46,30,,3.0
17SH00139,H8687,8.6,86,46,30,,3.0
17SH00140,H8691,5.8,58,46,30,,3.0
17SH00141,H8692,6.8,68,46,30,,3.0
17SH00142,H8694,10.8,108,46,30,,3.0
17SH00143,H8697,4.8,48,46,30,,3.0
17SH00144,H8703,7.8,78,46,30,,3.0
17SH00145,H8709,6.8,68,46,30,,3.0
17SH00146,H8721,7.0,70,46,30,,3.0
17SH00147,H8722,5.8,58,46,30,,3.0
17SH00148,H8747,7.8,78,46,30,,3.0
17SH00149,H8756,6.6,66,46,30,,3.0
17SH00150,H8760,6.2,62,46,30,,3.0
17SH00151,H8765,7.4,74,46,30,,3.0
17SH00152,H8768,7.4,74,46,30,,3.0
17SH00153,H8780,4.6,46,46,30,,3.0
17SH00154,H8782,7.2,72,46,30,,3.0
17SH00155,H8785,6.4,64,46,30,,3.0
17SH00156,H8786,5.4,54,46,30,,3.0
17SH00157,H8787,9.6,96,47,30,,3.0
17SH00158,H8788,7.2,72,46,30,,3.0
17SH00159,H8802,7.0,70,46,30,,3.0
17SH00160,H8809,5.6,56,46,30,,3.0
17SH00161,H8811,9.0,90,46,30,,3.0
17SH00162,H8822,6.0,60,46,30,,3.0
17SH00163,H8824,5.8,58,46,30,,3.0
17SH00164,H8828,7.4,74,46,30,,3.0
17SH00165,H8829,6.4,64,46,30,,3.0
17SH00166,H8837,9.0,90,47,30,,2.0
17SH00167,H8838,8.6,86,46,30,,2.0
17SH00168,H8840,8.2,82,47,30,,2.0
17SH00169,H8850,7.0,70,46,30,,2.0
17SH00170,H8858,6.6,66,46,30,,2.0
17SH00171,H8860,6.0,60,46,30,,2.0
17SH00172,H8862,12.0,120,47,30,,2.0
17SH00173,H8863,6.4,64,46,30,,2.0
17SH00174,H8866,5.8,58,46,30,,2.0
17SH00175,H8872,7.2,72,46,30,,2.0
17SH00176,H8874,5.6,56,46,30,,2.0
17SH00177,H8876,6.6,66,46,30,,2.0
17SH00178,H8882,5.2,52,46,30,,2.0
17SH00179,H8889,6.0,60,46,30,,2.0
17SH00180,H8892,7.6,76,46,30,,2.0
17SH00181,H8894,8.8,88,47,30,,2.0
17SH00182,H8897,8.6,86,47,30,,2.0
17SH00183,H8903,8.0,80,46,30,,2.0
17SH00184,H8908,7.2,72,46,30,,2.0
17SH00185,H8909,8.0,80,46,30,,2.0
17SH00186,H8914,7.6,76,46,30,,2.0
17SH00187,H8925,6.6,66,46,30,,2.0
17SH00188,H8927,6.8,68,46,30,,2.0
17SH00189,H8931,7.2,72,46,30,,2.0
17SH00190,H8933,6.2,62,46,30,,2.0
17SH00191,H8935,7.0,70,46,30,,2.0
17SH00192,H8939,6.0,60,46,30,,2.0
17SH00193,H8946,6.2,62,46,30,,2.0
17SH00194,H8953,8.2,82,46,30,,2.0
17SH00195,H8955,5.6,56,46,30,,2.0
17SH00196,H8956,8.6,86,47,30,,2.0
17SH00197,H8958,6.0,60,46,30,,2.0
17SH00198,H8965,9.4,94,46,30,,2.0
17SH00199,H8968,6.4,64,46,30,,2.0
17SH00200,H8973,6.0,60,46,30,,2.0
17SH00201,H8978,7.8,78,46,30,,2.0
17SH00202,H8981,6.0,60,46,30,,2.0
17SH00203,H8988,9.2,92,46,30,,2.0
17SH00204,H8989,5.4,54,46,30,,2.0
17SH00205,H8990,7.6,76,46,30,,2.0
17SH00206,H9002,8.0,80,46,30,,2.0
17SH00207,H9007,7.0,70,46,30,,2.0
17SH00208,H9009,6.6,66,46,30,,2.0
17SH00209,H9012,6.8,68,46,30,,2.0
17SH00210,H9013,5.0,50,46,30,,2.0
17SH00211,H9019,8.4,84,46,30,,2.0
17SH00212,H9025,7.4,74,46,30,,2.0
17SH00213,H9026,6.0,60,46,30,,2.0
17SH00214,H9029,5.0,50,46,30,,2.0
17SH00215,H9042,5.6,56,46,30,,2.0
17SH00216,H9047,7.2,72,46,30,,2.0
17SH00217,H9050,9.0,90,46,30,,2.0
17SH00218,H9051,6.8,68,46,30,,2.0
17SH00219,H9054,7.8,78,46,30,,2.0
17SH00220,H9055,5.4,54,46,30,,2.0
17SH00221,H9060,7.0,70,46,30,,2.0
17SH00222,H9062,7.2,72,46,30,,2.0
17SH00223,H9064,7.4,74,47,30,,2.0
17SH00224,H9065,10.8,108,47,30,,2.0
17SH00225,H9066,7.6,76,46,30,,2.0
17SH00226,H9067,8.2,82,46,30,,2.0
17SH00227,H9069,7.8,78,46,30,,2.0
17SH00228,H9072,9.8,98,46,30,,2.0
17SH00229,H9074,6.8,68,46,30,,2.0
17SH00230,H9094,6.4,64,46,30,,2.0
17SH00231,H9095,8.8,88,46,30,,2.0
17SH00232,H9105,5.4,54,46,30,,2.0
17SH00233,H9108,5.6,56,46,30,,2.0
17SH00234,H9117,5.6,56,46,30,,2.0
17SH00235,H9129,7.2,72,46,30,,2.0
17SH00236,H9130,8.6,86,47,30,,2.0
17SH00237,H9134,8.6,86,46,30,,2.0
17SH00238,H9136,7.4,74,47,30,,2.0
17SH00239,H9149,10.0,100,46,30,,2.0
17SH00240,H9150,8.6,86,46,30,,2.0
17SH00241,H9158,7.8,78,46,30,,2.0
17SH00242,H9167,6.8,68,46,30,,2.0
17SH00243,H9170,7.2,72,46,30,,2.0
17SH00244,H9172,7.4,74,46,30,,2.0
17SH00245,H9173,8.2,82,46,30,,2.0
17SH00246,H9189,5.0,50,46,30,,2.0
17SH00247,H9190,5.8,58,46,30,,2.0
17SH00248,H9193,6.6,66,46,30,,2.0
17SH00249,H9194,7.4,74,46,30,,2.0
17SH00250,H9195,4.8,48,46,30,,2.0
17SH00251,H9199,8.2,82,46,30,,2.0
17SH00252,H9200,4.8,48,46,30,,2.0
17SH00253,H9211,6.4,64,46,30,,2.0
17SH00254,H9214,7.8,78,46,30,,2.0
17SH00255,H9216,5.8,58,46,30,,2.0
17SH00256,H9221,4.0,40,46,30,,2.0
17SH00257,H9225,5.0,50,46,30,,2.0
17SH00258,H9229,9.0,90,46,30,,2.0
17SH00259,H9230,7.6,76,46,30,,2.0
17SH00260,H9231,8.2,82,46,30,,2.0
17SH00261,H9232,6.6,66,46,30,,2.0
17SH00262,H9233,9.2,92,47,30,,2.0
17SH00263,H9235,6.0,60,46,30,,2.0
17SH00264,H9237,7.2,72,46,30,,2.0
17SH00265,H9240,6.0,60,46,30,,2.0
17SH00266,H9242,8.2,82,46,30,,2.0
17SH00267,H9243,7.2,72,46,30,,2.0
17SH00268,H9251,5.8,58,46,30,,2.0
17SH00269,H9270,6.8,68,46,30,,2.0
17SH00270,H9272,3.2,32,47,30,,1.0
17SH00271,H9279,5.8,58,47,30,,1.0
17SH00272,H9288,6.8,68,47,30,,1.0
17SH00273,H9290,4.0,40,47,30,,1.0
17SH00274,H9291,7.2,72,47,30,,1.0
17SH00275,H9292,7.4,74,47,30,,1.0
17SH00276,H9293,7.6,76,47,30,,1.0
17SH00277,H9294,7.8,78,47,30,,1.0
17SH00278,H9296,5.0,50,47,30,,1.0
17SH00279,H9299,5.0,50,47,30,,1.0
17SH00280,H9300,3.0,30,47,30,,1.0
17SH00281,H9303,8.8,88,47,30,,1.0
17SH00282,H9304,4.4,44,47,30,,1.0
17SH00283,H9306,8.6,86,47,30,,1.0
17SH00284,H9310,3.6,36,47,30,,1.0
17SH00285,H9312,5.0,50,47,30,,1.0
17SH00286,H9315,6.6,66,47,30,,1.0
17SH00287,H9317,4.6,46,47,30,,1.0
17SH00288,H9319,4.8,48,47,30,,1.0
17SH00289,H9320,4.8,48,47,30,,1.0
17SH00290,H9322,7.6,76,47,30,,1.0
17SH00291,H9325,6.4,64,47,30,,1.0
17SH00292,H9327,5.0,50,47,30,,1.0
17SH00293,H9329,5.8,58,47,30,,1.0
17SH00294,H9330,3.8,38,47,30,,1.0
17SH00295,H9332,6.0,60,47,30,,1.0
17SH00296,H9339,7.0,70,47,30,,1.0
17SH00297,H9341,6.4,64,47,30,,1.0
17SH00298,H9346,6.0,60,47,30,,1.0
17SH00299,H9356,6.0,60,47,30,,1.0
17SH00300,H9357,3.6,36,47,30,,1.0
17SH00301,H9358,7.0,70,47,30,,1.0
17SH00302,H9359,5.0,50,47,30,,1.0
17SH00303,H9360,5.8,58,47,30,,1.0
17SH00304,H9361,7.0,70,47,30,,1.0
17SH00305,H9362,5.0,50,47,30,,1.0
17SH00306,H9370,6.4,64,47,30,,1.0
17SH00307,H9371,8.8,88,47,30,,1.0
17SH00308,H9374,9.2,92,47,30,,1.0
17SH00309,H9378,4.4,44,47,30,,1.0
17SH00310,H9380,5.2,52,47,30,,1.0
17SH00311,H9383,5.2,52,47,30,,1.0
17SH00312,H9384,6.8,68,47,30,,1.0
17SH00313,H9385,6.4,64,47,30,,1.0
17SH00314,H9389,6.0,60,47,30,,1.0
17SH00315,H9393,6.4,64,47,30,,1.0
17SH00316,H9396,7.4,74,47,30,,1.0
17SH00317,H9403,4.8,48,47,30,,1.0
17SH00318,H9405,4.6,46,47,30,,1.0
17SH00319,H9408,6.6,66,47,30,,1.0
17SH00320,H9411,7.4,74,47,30,,1.0
17SH00321,H9412,5.0,50,47,30,,1.0
17SH00322,H9414,5.8,58,47,30,,1.0
17SH00323,H9415,4.6,46,47,30,,1.0
17SH00324,H9416,1.4,14,47,30,,1.0
17SH00325,H9418,5.6,56,47,30,,1.0
17SH00326,H9419,7.6,76,47,30,,1.0
17SH00327,H9420,6.0,60,47,30,,1.0
17SH00328,H9421,7.0,70,47,30,,1.0
17SH00329,H9422,9.4,94,47,30,,1.0
17SH00330,H9423,6.0,60,47,30,,1.0
