UID,ETAG,DATE,DAY,KG,LBS,FLWT,GRFL
20SH00001,A0006,2020-02-19,50,72,157,60,6.0
20SH00002,A0009,2020-02-18,49,82,180,80,8.0
20SH00003,A0013,2020-02-19,50,93,204,110,11.0
20SH00004,A0023,2020-02-18,49,76,167,70,7.0
20SH00005,A0024,2020-02-19,50,83,183,70,7.0
20SH00006,A0025,2020-02-18,49,73,161,90,9.0
20SH00007,A0032,2020-02-18,49,72,157,90,9.0
20SH00008,A0049,2020-02-18,49,71,156,100,10.0
20SH00009,A0051,2020-02-19,50,100,219,90,9.0
20SH00010,A0052,2020-02-19,50,87,190,60,6.0
20SH00011,A0059,2020-02-18,49,79,173,80,8.0
20SH00012,A0061,2020-02-18,49,66,145,70,7.0
20SH00013,A0069,2020-02-18,49,79,174,80,8.0
20SH00014,A0070,2020-02-18,49,77,168,70,7.0
20SH00015,A0072,2020-02-19,50,86,188,80,8.0
20SH00016,A0073,2020-02-19,50,93,205,90,9.0
20SH00017,A0078,2020-02-18,49,61,134,80,8.0
20SH00018,A0081,2020-02-18,49,71,155,80,8.0
20SH00019,A0089,2020-02-18,49,77,168,100,10.0
20SH00020,A0103,2020-02-18,49,73,160,70,7.0
20SH00021,A0106,2020-02-18,49,78,172,60,6.0
20SH00022,A0110,2020-02-18,49,72,158,100,10.0
20SH00023,A0121,2020-02-18,49,76,166,50,5.0
20SH00024,A0128,2020-02-18,49,85,186,110,11.0
20SH00025,A0132,2020-02-18,49,78,171,80,8.0
20SH00026,A0134,2020-02-19,50,88,193,70,7.0
20SH00027,A0136,2020-02-19,50,83,183,80,8.0
20SH00028,A0144,2020-02-18,49,75,164,60,6.0
20SH00029,A0148,2020-02-18,49,68,150,70,7.0
20SH00030,A0149,2020-02-19,50,77,169,70,7.0
20SH00031,A0158,2020-02-19,50,77,169,60,6.0
20SH00032,A0159,2020-02-19,50,80,175,100,10.0
20SH00033,A0164,2020-02-18,49,89,195,70,7.0
20SH00034,A0167,2020-02-19,50,77,169,100,10.0
20SH00035,A0173,2020-02-19,50,92,201,80,8.0
20SH00036,A0175,2020-02-19,50,74,162,100,10.0
20SH00037,A0179,2020-02-18,49,65,143,90,9.0
20SH00038,A0184,2020-02-18,49,78,171,80,8.0
20SH00039,A0187,2020-02-19,50,80,175,80,8.0
20SH00040,A0188,2020-02-18,49,72,157,90,9.0
20SH00041,A0189,2020-02-18,49,80,175,110,11.0
20SH00042,A0192,2020-02-18,49,64,141,70,7.0
20SH00043,A0193,2020-02-19,50,69,152,80,8.0
20SH00044,A0196,2020-02-18,49,81,177,100,10.0
20SH00045,A0199,2020-02-18,49,74,162,110,11.0
20SH00046,A0202,2020-02-18,49,86,188,50,5.0
20SH00047,A0203,2020-02-18,49,85,187,90,9.0
20SH00048,A0207,2020-02-18,49,72,158,100,10.0
20SH00049,A0209,2020-02-19,50,89,196,90,9.0
20SH00050,A0214,2020-02-18,49,64,141,80,8.0
20SH00051,A0216,2020-02-18,49,67,147,80,8.0
20SH00052,A0221,2020-02-18,49,71,155,50,5.0
20SH00053,A0223,2020-02-18,49,70,153,70,7.0
20SH00054,A0224,2020-02-19,50,94,207,90,9.0
20SH00055,A0227,2020-02-19,50,82,180,90,9.0
20SH00056,A0232,2020-02-18,49,79,173,90,9.0
20SH00057,A0235,2020-02-19,50,100,219,100,10.0
20SH00058,A0236,2020-02-18,49,73,161,70,7.0
20SH00059,A0240,2020-02-18,49,84,185,130,13.0
20SH00060,A0244,2020-02-18,49,85,186,80,8.0
