UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH00001,A0009,2022-02-10,41,111.0,244,4.5,100,10.0
22SH00002,A0049,2022-02-10,41,92.0,202,5.0,80,8.0
22SH00003,A0059,2022-02-10,41,99.0,218,4.5,70,7.0
22SH00004,A0073,2022-02-10,41,111.5,245,4.5,110,11.0
22SH00005,A0103,2022-02-10,41,96.5,212,5.0,80,8.0
22SH00006,A0106,2022-02-10,41,90.0,198,4.0,70,7.0
22SH00007,A0110,2022-02-10,41,93.0,205,4.0,80,8.0
22SH00008,A0164,2022-02-10,41,119.0,262,5.0,90,9.0
22SH00009,A0175,2022-02-10,41,91.0,200,5.0,120,12.0
22SH00010,A0184,2022-02-10,41,96.5,212,4.5,100,10.0
22SH00011,A0188,2022-02-10,41,91.0,200,4.5,80,8.0
22SH00012,A0192,2022-02-10,41,73.0,161,4.0,70,7.0
22SH00013,A0193,2022-02-10,41,87.5,193,4.5,70,7.0
22SH00014,A0196,2022-02-10,41,106.0,233,4.0,100,10.0
22SH00015,A0203,2022-02-10,41,110.0,242,5.0,90,9.0
22SH00016,A0207,2022-02-10,41,107.5,237,4.0,90,9.0
22SH00017,A0216,2022-02-10,41,111.0,244,4.5,100,10.0
22SH00018,A0232,2022-02-10,41,96.0,211,4.5,80,8.0
22SH00019,A0244,2022-02-10,41,112.5,248,5.0,100,10.0
22SH00020,A0253,2022-02-10,41,91.5,201,4.5,60,6.0
22SH00021,A0268,2022-02-10,41,99.5,219,4.0,90,9.0
22SH00022,A0287,2022-02-10,41,113.5,250,5.0,80,8.0
22SH00023,A0309,2022-02-10,41,111.0,244,5.0,90,9.0
22SH00024,A0311,2022-02-10,41,114.5,252,5.0,120,12.0
22SH00025,A0313,2022-02-10,41,94.5,208,4.5,90,9.0
22SH00026,A0327,2022-02-10,41,105.5,232,4.5,90,9.0
22SH00027,A0350,2022-02-10,41,105.5,232,4.0,50,5.0
22SH00028,A0354,2022-02-10,41,104.0,229,4.5,110,11.0
22SH00029,A0356,2022-02-10,41,99.0,218,4.0,80,8.0
22SH00030,A0363,2022-02-10,41,79.5,175,4.5,60,6.0
22SH00031,A0370,2022-02-10,41,88.5,195,4.5,70,7.0
22SH00032,A0380,2022-02-10,41,87.5,193,5.0,90,9.0
22SH00033,A0389,2022-02-10,41,110.5,243,4.5,100,10.0
22SH00034,A0404,2022-02-10,41,94.5,208,4.5,80,8.0
22SH00035,A0407,2022-02-10,41,113.5,250,4.5,100,10.0
22SH00036,A0432,2022-02-10,41,93.0,205,4.5,130,13.0
22SH00037,A0435,2022-02-10,41,87.5,193,4.0,100,10.0
22SH00038,A0437,2022-02-10,41,89.5,197,4.5,120,12.0
22SH00039,A0444,2022-02-10,41,96.5,212,4.5,70,7.0
22SH00040,A0456,2022-02-10,41,90.0,198,4.0,90,9.0
22SH00041,A0459,2022-02-11,42,112.0,246,4.0,100,10.0
22SH00042,A0460,2022-02-10,41,101.0,222,4.5,100,10.0
22SH00043,A0479,2022-02-10,41,86.5,190,4.5,80,8.0
22SH00044,A0498,2022-02-10,41,101.0,222,4.5,90,9.0
22SH00045,A0499,2022-02-10,41,103.5,228,4.5,130,13.0
22SH00046,A0506,2022-02-10,41,94.0,207,4.0,60,6.0
22SH00047,A0508,2022-02-11,42,115.0,253,4.5,110,11.0
22SH00048,A0516,2022-02-10,41,96.5,212,4.5,100,10.0
22SH00049,A0524,2022-02-11,42,99.5,219,4.5,100,10.0
22SH00050,A0533,2022-02-10,41,96.0,211,4.5,90,9.0
22SH00051,A0535,2022-02-10,41,93.5,206,5.0,110,11.0
22SH00052,A0545,2022-02-10,41,95.5,210,4.5,120,12.0
22SH00053,A0564,2022-02-10,41,96.0,211,4.0,80,8.0
22SH00054,A0569,2022-02-10,41,89.5,197,4.5,90,9.0
22SH00055,A0587,2022-02-10,41,82.0,180,4.0,90,9.0
22SH00056,A0590,2022-02-10,41,98.5,217,4.0,100,10.0
22SH00057,A0591,2022-02-10,41,95.5,210,4.5,60,6.0
22SH00058,A0607,2022-02-10,41,104.0,229,4.5,110,11.0
22SH00059,A0609,2022-02-10,41,95.5,210,5.0,90,9.0
22SH00060,A0611,2022-02-10,41,96.0,211,4.5,80,8.0
22SH00061,A0615,2022-02-10,41,114.5,252,5.0,110,11.0
22SH00062,A0622,2022-02-10,41,101.5,223,4.0,60,6.0
22SH00063,A0632,2022-02-10,41,96.0,211,4.5,100,10.0
22SH00064,A0641,2022-02-10,41,80.5,177,4.0,80,8.0
22SH00065,A0648,2022-02-10,41,106.0,233,4.5,100,10.0
22SH00066,A0654,2022-02-10,41,95.0,209,4.5,70,7.0
22SH00067,A0668,2022-02-10,41,92.5,204,4.0,100,10.0
22SH00068,A0673,2022-02-10,41,91.0,200,4.5,110,11.0
22SH00069,A0678,2022-02-11,42,106.0,233,4.5,120,12.0
22SH00070,A0687,2022-02-10,41,99.5,219,5.0,90,9.0
22SH00071,A0720,2022-02-10,41,90.0,198,5.0,120,12.0
22SH00072,A0733,2022-02-10,41,84.0,185,4.0,90,9.0
22SH00073,A0737,2022-02-11,42,84.5,186,3.5,70,7.0
22SH00074,A0741,2022-02-10,41,104.5,230,4.0,90,9.0
22SH00075,A0745,2022-02-10,41,83.0,183,4.0,90,9.0
22SH00076,A0761,2022-02-10,41,85.0,187,4.5,90,9.0
22SH00077,A0766,2022-02-10,41,97.5,215,4.5,100,10.0
22SH00078,A0769,2022-02-10,41,66.5,146,4.0,90,9.0
22SH00079,A0784,2022-02-10,41,87.0,191,4.0,100,10.0
22SH00080,A0792,2022-02-11,42,89.5,197,4.0,80,8.0
22SH00081,A0803,2022-02-11,42,94.5,208,4.0,120,12.0
22SH00082,A0809,2022-02-10,41,88.5,195,4.0,80,8.0
22SH00083,A0812,2022-02-10,41,90.5,199,4.0,70,7.0
22SH00084,A0816,2022-02-10,41,83.5,184,4.5,90,9.0
22SH00085,A0819,2022-02-10,41,120.0,264,4.5,80,8.0
22SH00086,A0829,2022-02-10,41,66.5,146,3.0,80,8.0
22SH00087,A0844,2022-02-10,41,92.0,202,4.5,90,9.0
22SH00088,A0850,2022-02-10,41,86.5,190,4.5,60,6.0
22SH00089,A0851,2022-02-11,42,98.0,216,4.5,110,11.0
22SH00090,A0857,2022-02-10,41,82.0,180,4.5,70,7.0
22SH00091,A0860,2022-02-10,41,86.0,189,4.0,90,9.0
22SH00092,A0861,2022-02-10,41,89.0,196,4.0,60,6.0
22SH00093,A0866,2022-02-10,41,89.0,196,4.0,90,9.0
22SH00094,A0871,2022-02-10,41,73.0,161,4.0,110,11.0
22SH00095,A0899,2022-02-10,41,78.0,172,5.0,120,12.0
22SH00096,A0901,2022-02-11,42,75.5,166,3.5,110,11.0
22SH00097,A0904,2022-02-10,41,86.5,190,4.0,60,6.0
22SH00098,A0905,2022-02-10,41,77.5,171,4.5,60,6.0
22SH00099,A0907,2022-02-10,41,82.5,182,4.5,70,7.0
22SH00100,A0916,2022-02-10,41,83.5,184,4.0,90,9.0
22SH00101,A0918,2022-02-10,41,89.5,197,4.0,100,10.0
22SH00102,A0938,2022-02-10,41,73.0,161,4.0,130,13.0
22SH00103,A0947,2022-02-11,42,94.5,208,4.0,110,11.0
